Fiscal Year,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP,Cleaned Employer Name,USCIS Company Name,slug,companyURL,companyMembersURL,employeesCount,LinkedIn Company Name,LinkedIn Company IDs
2022,5,0,21,0,54,965,AL,DECATUR,35601,3 GIS,3 GIS LLC,3-gis,https://www.linkedin.com/company/3-gis,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22296951%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,3-GIS,130,296951
2022,4,0,9,0,54,1020,AL,HARVEST,35749,ADVENTA CORPORATION,ADVENTA CORPORATION,adventa,https://www.linkedin.com/company/adventa,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222017132%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Adventa,37,2017132
2022,4,0,5,0,61,1097,AL,NORMAL,35762,ALABAMA A&M UNIVERSITY,ALABAMA A&M UNIVERSITY,alabamaa%26muniversitycobpa,https://www.linkedin.com/company/alabamaa%26muniversitycobpa,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2216251557%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Alabama A&M University College of Business and Public Affairs,5,16251557
2022,1,0,9,0,52,2164,AL,MONTGOMERY,36116,ALFA MUTUAL INSURANCE COMPANY,ALFA MUTUAL INSURANCE COMPANY,alfa-insurance,https://www.linkedin.com/company/alfa-insurance,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2221609%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Alfa Insurance,1889,21609
2022,10,1,28,0,54,1856,AL,HUNTSVILLE,35805,AMPHENOL TECVOX,AMPHENOL TECVOX LLC,amphenol-tecvox-llc,https://in.linkedin.com/company/amphenol-tecvox-llc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2252366259%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Amphenol Tecvox,47,52366259
2022,37,0,29,2,61,724,AL,AUBURN,36849,AUBURN UNIVERSITY,AUBURN UNIVERSITY,auburn-ise,https://www.linkedin.com/company/auburn-ise,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2211701165%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Auburn University Industrial and Systems …,15,11701165
2022,0,0,26,0,52,3830,AL,BIRMINGHAM,35244,BLUE CROSS AND BLUE SHIELD OF ALAB,BLUE CROSS AND BLUE SHIELD OF ALAB,blue-cross-blue-shield-of-alabama,https://www.linkedin.com/company/blue-cross-blue-shield-of-alabama,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22279147%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Blue Cross and Blue Shield of Alabama,2438,279147
2022,5,0,8,1,62,661,AL,TUSCALOOSA,35401,CAPSTONE HEALTH SERVICES FOUNDATION,CAPSTONE HEALTH SERVICES FOUNDATION,capstone-health-services-foundation,https://www.linkedin.com/company/capstone-health-services-foundation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2215350240%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPSTONE HEALTH SERVICES FOUNDATION,3,15350240
2022,1,0,6,0,54,6621,AL,ENTERPRISE,36330,CARR RIGGS & INGRAM,CARR RIGGS & INGRAM LLC,cricpa,https://www.linkedin.com/company/cricpa,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2267555%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"Carr, Riggs & Ingram",1838,67555
2022,6,0,17,0,54,2373,AL,MOBILE,36695,COMPUTER PROGRAMS AND SYSTEMS,COMPUTER PROGRAMS AND SYSTEMS INC,cpsi,https://www.linkedin.com/company/cpsi,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2220773%22%2C%222909139%22%2C%22252427%22%2C%222049524%22%2C%22762521%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CPSI,1731,20773|2909139|252427|2049524|762521
