Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP,Cleaned Employer Name
2022,2A USA INC,1,0,1,0,33,2681,AL,AUBURN,36832,2A
2022,3 GIS LLC,5,0,21,0,54,0965,AL,DECATUR,35601,3 GIS
2022,A&R CONSTRUCTION MGMT & DEVELOPMEN,0,0,1,0,72,9421,AL,GULF SHORES,36542,A&R CONSTRUCTION MGMT & DEVELOPMEN
2022,A&R CONSTRUCTION MGMT & DEVELOPMEN,1,0,0,0,23,9421,AL,GULF SHORES,36542,A&R CONSTRUCTION MGMT & DEVELOPMEN
2022,ABATUS LLC,1,0,1,0,54,3794,AL,BIRMINGHAM,35203,ABATUS
2022,ADAH ENTERPRISES INC,0,0,3,0,54,1248,AL,BIRMINGHAM,35203,ADAH ENTERPRISES
2022,ADTRAN INC,1,0,1,0,33,8200,AL,HUNTSVILLE,35806,ADTRAN
2022,ADVENTA CORPORATION,4,0,9,0,54,1020,AL,HARVEST,35749,ADVENTA CORPORATION
2022,AFFINITY CARDIOVASCULAR SPECIALIST,3,0,0,0,62,6603,AL,GADSDEN,35903,AFFINITY CARDIOVASCULAR SPECIALIST
2022,ALABAMA A&M UNIVERSITY,4,0,5,0,61,1097,AL,NORMAL,35762,ALABAMA A&M UNIVERSITY
2022,ALABAMA CANCER CARE LLC,1,0,1,0,62,8311,AL,TUSCALOOSA,35406,ALABAMA CANCER CARE
2022,ALABAMA ONCOLOGY HEMATOLOGY ASSOCIATES LLC,0,0,2,0,62,7262,AL,MONTGOMERY,36106,ALABAMA ONCOLOGY HEMATOLOGY ASSOCIATES
2022,ALABAMA PROVIDENCE HEALTHCARE SVCS,1,0,2,0,62,7744,AL,MOBILE,36608,ALABAMA PROVIDENCE HEALTHCARE SVCS
2022,ALABAMA SCHOOL OF FINE ARTS,0,0,1,0,61,0186,AL,BIRMINGHAM,35203,ALABAMA SCHOOL OF FINE ARTS
2022,ALABAMA SCHOOL OF MATH AND SCIENCE,1,0,0,0,61,0619,AL,MOBILE,36604,ALABAMA SCHOOL OF MATH AND SCIENCE
2022,ALABAMA STATE UNIVERSITY,4,0,1,1,61,1101,AL,MONTGOMERY,36101,ALABAMA STATE UNIVERSITY
2022,ALFA MUTUAL INSURANCE COMPANY,1,0,9,0,52,2164,AL,MONTGOMERY,36116,ALFA MUTUAL INSURANCE COMPANY
2022,ALPHA HOSPITALIST SERVICES,1,0,0,0,62,2598,AL,GADSDEN,35901,ALPHA HOSPITALIST SERVICES
2022,AM NS CALVERT LLC,2,0,3,0,33,6522,AL,CALVERT,36513,AM NS CALVERT
2022,"AMERICAN PROCESS MANAGEMENT, LLC",3,0,1,0,54,8209,AL,VESTAVIA HILLS,35243,"AMERICAN PROCESS MANAGEMENT,"
2022,AMPHENOL TECVOX LLC,10,1,28,0,54,1856,AL,HUNTSVILLE,35805,AMPHENOL TECVOX
2022,ANDALUSIA PHYSICIAN SVCS LLC,0,0,2,0,62,6585,AL,ANDALUSIA,36420,ANDALUSIA PHYSICIAN SVCS
2022,ANGLIN REICHMANN ARMSTRONG P C,2,0,3,1,54,2841,AL,HUNTSVILLE,35806,ANGLIN REICHMANN ARMSTRONG P C
2022,ANNISTON ISLAMIC CENTER INC IQRA M,1,0,0,0,81,2703,AL,ANNISTON,36207,ANNISTON ISLAMIC CENTER IQRA M
2022,APPLIED OLAP INC,0,0,1,0,51,7064,AL,HUNTSVILLE,35801,APPLIED OLAP
