slug,companyURL,companyMembersURL,companyNameNAICS,LinkedIn Company Name,employeesCount,LinkedIn Company IDs
1800flowers-com,https://www.linkedin.com/company/1800flowers-com,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228474%22%2C%2213095%22%2C%2211712711%22%2C%221123727%22%2C%222527930%22%2C%22131053%22%2C%2210168654%22%2C%221308961%22%2C%2211674239%22%2C%22109165%22%2C%2211685606%22%2C%22137284%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,1 800 FLOWERS COM INC,"1-800-FLOWERS.COM, INC.",3627,8474|13095|11712711|1123727|2527930|131053|10168654|1308961|11674239|109165|11685606|137284
g1-therapeutics-inc-,https://www.linkedin.com/company/g1-therapeutics-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%225314569%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,1 TO 1 THERAPIES INC,"G1 Therapeutics, Inc.",175,5314569
1-world-education-inc.,https://www.linkedin.com/company/1-world-education-inc.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2263330800%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"1 WORLD EDUCATION, INC.","1 WORLD EDUCATION, INC.",4,63330800
100-chiropractic,https://www.linkedin.com/company/100-chiropractic,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221305186%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC,100% Chiropractic Franchise,176,1305186
10bitsofficial,https://www.linkedin.com/company/10bitsofficial,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2212992790%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,10BITS LLC,10bits,23,12992790
10xgenomics,https://www.linkedin.com/company/10xgenomics,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223684165%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,10X GENOMICS INC,10x Genomics,1946,3684165
120-degreez,https://www.linkedin.com/company/120-degreez,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2237533040%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,120 DEGREEZ ENGINEERING,120 DEGREEZ MEP Engineering,14,37533040
14-street-medical-arts-pc,https://www.linkedin.com/company/14-street-medical-arts-pc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2258813823%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,14 STREET MEDICAL PC,"14 Street Medical Arts, PC",14,58813823
goat-group,https://www.linkedin.com/company/goat-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223649864%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,1661 INC D/B/A GOAT,GOAT Group,980,3649864
168-trading-limited,https://www.linkedin.com/company/168-trading-limited,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2279695522%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,168 TRADING US FUND LP,168 Trading Limited,8,79695522
first-coast-no-more-homeless-pets-inc,https://www.linkedin.com/company/first-coast-no-more-homeless-pets-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22268319%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,1ST COAST NO MORE HOMELESS PETS IN,First Coast No More Homeless Pets,74,268319
21staff,https://www.linkedin.com/company/21staff,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2282366785%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,21 STAFF LLC,21Staff,6,82366785
22squaredinc.,https://www.linkedin.com/company/22squaredinc.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22162206%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,22SQUARED INC,22Squared,492,162206
23andme,https://www.linkedin.com/company/23andme,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2257783%22%2C%225071852%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,23ANDME INC,23andMe,932,57783|5071852
24-7-ai,https://in.linkedin.com/company/24-7-ai,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22248075%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,24 7 AI INC,[24]7.ai,8410,248075
mechanical-systems-&-services-inc-,https://www.linkedin.com/company/mechanical-systems-&-services-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221431726%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,252 SOLUTIONS LLC,"MSS Solutions, LLC",327,1431726
2k-games,https://www.linkedin.com/company/2k-games/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2212908%22%2C%22166819%22%2C%2219082483%22%2C%2268616%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,2K GAMES INC,2K,2728,12908|166819|19082483|68616
2m-architecture,https://www.linkedin.com/company/2m-architecture,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22236178%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,2M ARCHITECTURE,2M Architecture,3,236178
2seventybio,https://www.linkedin.com/company/2seventybio,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2276564884%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,2SEVENTY BIO INC,2seventy bio,393,76564884
3-gis,https://www.linkedin.com/company/3-gis,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22296951%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,3 GIS LLC,3-GIS,130,296951
3-key-consulting-inc-,https://www.linkedin.com/company/3-key-consulting-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22340848%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,3 KEY CONSULTING INC,"3 Key Consulting, Inc.",7,340848
3-rocks-engineering,https://www.linkedin.com/company/3-rocks-engineering,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2240872204%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,3 ROCKS ENGINEERING LLC,3 Rocks Engineering,8,40872204
3vg,https://www.linkedin.com/company/3vg,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2279163838%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,300 ENGRG GROUP PA,300 Venture Group,4,79163838
360-customer-inc.,https://www.linkedin.com/company/360-customer-inc.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22399999%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,360 DEGREE CUSTOMER INC,360 Customer Inc.,54,399999
