"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"2A USA INC",1,0,1,0,33,2681,AL,AUBURN,36832
2022,"3 GIS LLC",0,0,5,0,54,0965,AL,DECATUR,35601
2022,"A&R CONSTRUCTION MGMT & DEVELOPMEN",0,0,1,0,72,9421,AL,"GULF SHORES",36542
2022,"A&R CONSTRUCTION MGMT & DEVELOPMEN",1,0,0,0,23,9421,AL,"GULF SHORES",36542
2022,"ABATUS LLC",1,0,0,0,54,3794,AL,BIRMINGHAM,35203
2022,"ADAH ENTERPRISES INC",0,0,2,0,54,1248,AL,BIRMINGHAM,35203
2022,"ADTRAN INC",0,0,1,0,33,8200,AL,HUNTSVILLE,35806
2022,"ADVENTA CORPORATION",0,0,1,0,54,1020,AL,HARVEST,35749
2022,"AFFINITY CARDIOVASCULAR SPECIALIST",1,0,0,0,62,6603,AL,GADSDEN,35903
2022,"AFFINITY CARDIOVASCULAR SPECIALISTS LLC",2,0,0,0,62,6603,AL,GADSDEN,35903
2022,"ALABAMA A&M UNIVERSITY",4,0,5,0,61,1097,AL,NORMAL,35762
2022,"ALABAMA CANCER CARE LLC",1,0,1,0,62,8311,AL,TUSCALOOSA,35406
2022,"ALABAMA ONCOLOGY HEMATOLOGY ASSOCIATES LLC",0,0,1,0,62,7262,AL,MONTGOMERY,36106
2022,"ALABAMA PROVIDENCE HEALTHCARE SVCS",0,0,1,0,62,7744,AL,MOBILE,36608
2022,"ALABAMA SCHOOL OF FINE ARTS",0,0,1,0,61,0186,AL,BIRMINGHAM,35203
2022,"ALABAMA SCHOOL OF MATH AND SCIENCE",1,0,0,0,61,0619,AL,MOBILE,36604
2022,"ALABAMA STATE UNIVERSITY",3,0,1,1,61,1101,AL,MONTGOMERY,36101
2022,"ALABAMA STATE UNIVERSITY",1,0,0,0,61,1101,AL,MONTGOMERY,36104
2022,"ALFA MUTUAL INSURANCE COMPANY",1,0,9,0,52,2164,AL,MONTGOMERY,36116
2022,"ALPHA HOSPITALIST SERVICES",1,0,0,0,62,2598,AL,GADSDEN,35901
2022,"AM NS CALVERT LLC",1,0,2,0,33,6522,AL,CALVERT,36513
2022,"AM/NS CALVERT LLC",1,0,1,0,33,6522,AL,CALVERT,36513
2022,"AMERICAN PROCESS MANAGEMENT, LLC",1,0,0,0,54,8209,AL,"VESTAVIA HILLS",35243
2022,"AMPHENOL TECVOX LLC",0,0,1,0,54,1856,AL,HUNTSVILLE,35805
2022,"AMPHENOL TRECVOX LLC",0,0,2,0,54,1856,AL,HUNTSVILLE,35805
2022,"ANDALUSIA PHYSICIAN SVCS LLC",0,0,2,0,62,6585,AL,ANDALUSIA,36420
2022,"ANGLIN REICHMANN ARMSTRONG P C",1,0,0,0,54,2841,AL,HUNTSVILLE,35806
2022,"ANNISTON ISLAMIC CENTER INC IQRA M",1,0,0,0,81,2703,AL,ANNISTON,36207
2022,"APPLIED OLAP INC",0,0,1,0,51,7064,AL,HUNTSVILLE,35801
2022,"ARD LOGISTICS ALABAMA LLC",2,0,0,0,54,3213,AL,VANCE,35490
2022,"ARKAL AUTOMOTIVE USA INC",0,0,1,0,33,7029,AL,AUBURN,36832
2022,"ARSENAL INSURANCE MANAGEMENT LLC",0,0,1,0,52,3990,AL,MONTGOMERY,36116
2022,"ATHENS INTERNAL MEDICINE & NEPHROLOGY ASSO P C",0,0,1,0,62,4879,AL,ATHENS,35611
2022,"AUBURN UNIVERSITY",15,0,8,1,61,0724,AL,AUBURN,36849
2022,"AUBURN UNIVERSITY",1,0,0,0,61,0724,AL,"AUBURN UNIV",36849
2022,"AUBURN UNIVERSITY",15,0,17,0,61,0724,AL,"AUBURN UNIVERSITY",36849
2022,"AUBURN UNIVERSITY",6,0,4,1,61,0724,AL,MONTGOMERY,36117
2022,"AUTOCAR LLC",1,0,0,0,52,9858,AL,BIRMINGHAM,35215
2022,"AUTOCAR LLC",2,0,1,0,33,9858,AL,BIRMINGHAM,35215
2022,"BACKSTAGE PRODUCTIONS LLC",0,0,1,0,71,7915,AL,CULLMAN,35055
2022,"BAJAJ CONEAGLE LLC",1,0,0,0,42,6579,AL,MILLBROOK,36054
2022,"BAPTIST HEALTH CENTERS LLC",0,0,1,0,62,5859,AL,BIRMINGHAM,35243
2022,"BBB INDUSTRIES LLC",0,0,4,0,33,7357,AL,DAPHNE,36526
2022,"BBVA USA",2,0,0,0,52,6286,AL,BIRMINGHAM,35233
2022,"BHATE ENVIRONMENTAL ASSOCIATES INC",1,0,0,0,56,5702,AL,BIRMINGHAM,35205
2022,"BLOX LLC",3,0,2,0,54,2553,AL,BESSEMER,35020
2022,"BLUE CROSS AND BLUE SHIELD OF ALAB",0,0,2,0,52,3830,AL,BIRMINGHAM,35244
2022,"BLUE CROSS AND BLUE SHIELD OF ALABAMA",0,0,20,0,52,3830,AL,BIRMINGHAM,35244
2022,"BLUE CROSS AND BLUE SHIELD OF ALABAMA",0,0,2,0,52,3830,AL,HOOVER,35244
2022,"BOLTA US LTD",0,0,1,0,33,5583,AL,NORTHPORT,35476
2022,"BUILDING & EARTH SCIENCES INC",0,0,1,0,54,5354,AL,BIRMINGHAM,35210
2022,"CADDELL CONSTRUCTION CO DE LLC",0,0,1,0,23,3916,AL,MONTGOMERY,36104
2022,"CALIZA LLC D B A THE LANDING",2,0,2,0,53,1545,AL,BIRMINGHAM,35203
2022,"CALIZA LLC DBA THE LANDING",0,0,2,0,53,1545,AL,BIRMINGHAM,35203
2022,"CAPSTONE HEALTH SERVICES FOUNDATION",2,0,4,0,62,0661,AL,TUSCALOOSA,35401
2022,"CAPSTONE HLTH SVCS FOUNDATION",1,0,1,0,62,0661,AL,TUSCALOOSA,35401
2022,"CARDIOLOGY P C",0,0,1,0,62,0054,AL,BIRMINGHAM,35211
2022,"CARR RIGGS & INGRAM LLC",0,0,2,0,54,6621,AL,ENTERPRISE,36330
2022,"CELLULOSE SOLUTIONS LLC",0,0,1,0,54,0746,AL,"SPANISH FORT",36527
2022,"CEMEX SOUTHEAST LLC",0,0,1,0,32,4454,AL,BIRMINGHAM,35210
2022,"CFD RESEARCH CORPORATION",0,0,1,0,54,4385,AL,HUNTSVILLE,35806
2022,"CHEROKEE FABRICATION COMPANY INC",0,0,1,0,33,2399,AL,SALEM,36874
2022,"CHONEX INC",1,0,0,0,11,7772,AL,BIRMINGHAM,35203
2022,"CITW INC",2,0,0,0,54,7171,AL,BIRMINGHAM,35244
2022,"CITW INC",1,0,0,0,54,7171,AL,HOOVER,35244
2022,"CITY OF HUNTSVILLE UTILITIES",0,0,2,0,92,1297,AL,HUNTSVILLE,35801
2022,"COBBS ALLEN CAPITAL LLC",1,0,0,0,52,7726,AL,BIRMINGHAM,35223
2022,"COMMENTSOLD LLC",0,0,1,0,45,8179,AL,HUNTSVILLE,35805
2022,"COMMUNITY HOSPITAL INC",0,0,1,0,62,7680,AL,TALLASSEE,36078
2022,"COMPREHENSIVE ANESTHESIA SERVICES P C",1,0,0,0,62,2437,AL,HUNTSVILLE,35801
2022,"COMPUTER PROGRAMS AND SYSTEMS INC",1,0,1,0,54,2373,AL,MOBILE,36695
2022,"COMPUTER PROGRAMS AND SYSTEMS INC",0,0,1,0,54,2373,AL,MOBILE,36602
2022,"CONTINENTAL GLOBAL MATERIAL HANDLI",0,0,1,0,33,3197,AL,WINFIELD,35594
