"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACCESS GROUP INC",0,0,1,0,92,5314,AR,"LITTLE ROCK",72211
2022,"ACRETRADER INC",0,0,1,0,52,1285,AR,FAYETTEVILLE,72701
2022,"ACXIOM LLC",2,0,3,0,51,1897,AR,CONWAY,72032
2022,"ACXIOM LLC",3,0,7,0,51,1897,AR,CONWAY,72034
2022,"AEGIS THERAPIES INC",4,0,8,0,62,1574,AR,"FORT SMITH",72903
2022,"AEGIS THERAPIES INC",1,0,1,0,62,1574,AR,"FORT SMITH",72919
2022,"ALLWYN CONSULTING SERVICES, LLC",1,0,0,0,54,2909,AR,BENTONVILLE,72712
2022,"APPTEGY INC",4,0,0,0,54,2684,AR,"LITTLE ROCK",72202
2022,"APPTEGY INC",1,0,0,0,54,,AR,"LITTLE ROCK",72202
2022,"AR STATE UNIVERSITY MID SOUTH",1,0,0,0,61,3838,AR,"WEST MEMPHIS",72301
2022,"ARCBEST TECHNOLOGIES INC",3,0,0,0,54,5116,AR,"FORT SMITH",72903
2022,"ARCBEST TECHNOLOGIES, INC.",4,0,0,0,54,5116,AR,"FORT SMITH",72903
2022,"ARKANSAS CARDIOLOGY P A",0,0,1,0,62,8117,AR,"LITTLE ROCK",72205
2022,"ARKANSAS HEALTH GROUP",6,0,9,0,62,1138,AR,"LITTLE ROCK",72211
2022,"ARKANSAS HEART HOSPITAL",0,0,1,0,62,3245,AR,"LITTLE ROCK",72211
2022,"ARKANSAS METHODIST HOSPITAL CORPORATION D B A ARKANSAS METHODIST MEDICAL CENTER",0,0,1,0,62,0218,AR,PARAGOULD,72450
2022,"ARKANSAS RENAL GROUP P A",1,0,0,0,62,2104,AR,"HOT SPRINGS NATIONAL PARK",71913
2022,"ARKANSAS STATE UNIVERSITY",4,0,3,0,61,0556,AR,JONESBORO,72401
2022,"ARKANSAS STATE UNIVERSITY",1,0,0,0,61,0556,AR,"STATE UNIVERSITY",72467
2022,"ARKANSAS TECH UNIVERSITY",5,0,4,0,61,4834,AR,RUSSELLVILLE,72801
2022,"AUTUMN GRAPHICS US INC",1,0,0,0,32,9960,AR,FAYETTEVILLE,72703
2022,"AXPM DENTAL MANAGEMENT LLC",1,0,0,0,62,9679,AR,"LITTLE ROCK",72202
2022,"BANK OZK",6,0,6,0,52,0170,AR,"LITTLE ROCK",72223
2022,"BAPTIST HEALTH GROUP",15,0,1,0,62,6856,AR,"LITTLE ROCK",72205
2022,"BAPTIST HLTH SVCS",2,0,1,0,62,3043,AR,"LITTLE ROCK",72205
2022,"BELL AND COMPANY PA",0,0,1,0,54,0475,AR,"NORTH LITTLE ROCK",72116
2022,"BENCHMARK GROUP INC",1,0,0,0,54,4417,AR,ROGERS,72756
2022,"BIG RIVER STEEL LLC",1,0,6,0,33,7997,AR,OSCEOLA,72370
2022,"BIG RIVER STEEL LLC",1,0,0,0,33,7997,AR,OSCEOLA,72730
2022,"BIOMOLECULAR INTEGRATIONS INC",1,0,0,0,62,9276,AR,SHERWOOD,72120
2022,"BLUESTEM ARKANSAS LLC DBA MAGNA",0,0,1,0,32,3998,AR,"LITTLE ROCK",72206
2022,"BRADLEY COUNTY MEDICAL CTR",1,0,0,0,62,7499,AR,WARREN,71671
2022,"CAPSPIRE INC",1,0,0,0,54,8301,AR,FAYETTEVILLE,72701
2022,"CARDIOLOGY ASSOCIATES OF JONESBORO INC DBA ST BERNARDS HEART & VASCULAR",2,0,0,0,62,7274,AR,JONESBORO,72401
2022,"CENTRAL ARKANSAS RADIATION THERAPY INSTITUTE INC",1,0,1,0,62,7657,AR,"LITTLE ROCK",72205
2022,"CHI ST VINCENT HOSPITAL HOT SPRING",1,0,0,0,62,6913,AR,"HOT SPRINGS",71913
2022,"CHI ST VINCENT HOSPITAL HOT SPRINGS",1,0,2,0,62,6913,AR,"HOT SPRINGS",71913
2022,"CHI ST VINCENT HOSPITAL HOT SPRINGS",0,0,2,0,62,6913,AR,"HOT SPRINGS NATIONAL",71913
2022,"CLOUD CENTRIC INC",13,0,3,0,54,5781,AR,BENTONVILLE,72712
2022,"COBB VANTRESS INC",0,0,1,0,11,8109,AR,"SILOAM SPRINGS",72761
2022,"COMPREHENSIVE PAIN & NEUROLOGICAL",0,1,0,0,62,4497,AR,"LITTLE ROCK",72205
2022,"CONWAY REGIONAL MEDICAL CENTER INC",1,0,2,0,62,9735,AR,CONWAY,72034
2022,"CREVAVI INC",0,0,1,0,54,0541,AR,BENTONVILLE,72712
2022,"DELTA MEMORIAL HOSPITAL",2,0,0,0,62,6839,AR,DUMAS,71639
2022,"DEWITT HOSPITAL AND NURSING HOME INC",1,0,0,0,62,6822,AR,DEWITT,72042
2022,"E RITTER COMMUNICATIONS HOLDINGS LLC",1,0,0,0,51,0773,AR,JONESBORO,72401
2022,"EMERSON PROFESSIONAL TOOLS MFG LLC",2,0,0,0,33,8043,AR,"ASH FLAT",72513
2022,"FAYETTEVILLE PUBLIC SCHOOLS",0,0,1,0,61,1514,AR,FAYETTEVILLE,72701
2022,"FEDERAL SOFT SYSTEMS INC",7,1,54,2,54,4194,AR,BENTONVILLE,72712
2022,"FINGER PRINTS SERVICES INC",0,0,1,0,54,7678,AR,SPRINGDALE,72766
2022,"FINGER PRINTS SERVICES INC",1,0,0,0,54,7678,AR,SPRINGDALE,72764
2022,"FIRST ORION CORP",4,0,1,0,54,3290,AR,"NORTH LITTLE ROCK",72114
2022,"FIRST SOFT SYSTEMS LLC",1,0,0,0,54,6443,AR,BENTONVILLE,72712
2022,"FORREST CITY SCH DIST",1,0,0,0,61,0499,AR,"FORREST CITY",72335
2022,"FORREST CITY SCHOOL DISTRICT",2,0,0,0,61,0499,AR,"FORREST CITY",72335
2022,"FTN ASSOCIATES LTD",1,0,0,0,54,2992,AR,"LITTLE ROCK",72211
2022,"GAINWELL TECHNOLOGIES LLC",15,0,56,0,54,0177,AR,CONWAY,72034
2022,"GARNAT ENGINEERING LLC",1,0,0,0,54,4318,AR,BRYANT,72022
2022,"GARVER LLC",1,0,0,0,54,3340,AR,ROGERS,72758
2022,"GARVER LLC",1,0,0,0,54,3400,AR,ROGERS,72758
2022,"GBMC & ASSOCIATES INC",1,0,0,0,54,5617,AR,BRYANT,72022
2022,"GEMINI-CFO LLC DBA CFO NETWORK",1,0,0,0,52,7232,AR,"NORTH LITTLE ROCK",72114
2022,"GEORG FISCHER HARVEL LLC",0,0,1,0,32,4278,AR,"LITTLE ROCK",72206
2022,"GLOBAL TEACHERS SOLUTIONS LLC",1,0,2,0,56,6584,AR,MAUMELLE,72113
2022,"GOOD ONE IT SOLUTIONS INC",1,0,0,0,54,0776,AR,BENTONVILLE,72713
2022,"GREENBRIER SCH DIST DBA GREENBRIER",1,0,0,0,99,0570,AR,GREENBRIER,72058
2022,"GTL AMERICAS LP",1,0,0,0,99,6173,AR,"LITTLE ROCK",72201
2022,"HARDING UNIVERSITY INC",1,0,0,0,61,6896,AR,SEARCY,72149
2022,"HEALTHY CONNECTIONS INC",1,0,1,0,62,7744,AR,MENA,71953
2022,"HEARTLAND FORWARD INC",1,0,0,0,54,5642,AR,BENTONVILLE,72712
2022,"HENDERSON STATE UNIV",0,0,2,0,61,0286,AR,ARKADELPHIA,71999
2022,"HYTROL CONVEYOR COMPANY INC",1,0,0,0,33,5469,AR,JONESBORO,72401
2022,"INTELIBLUE LLC",0,0,1,0,54,1652,AR,"LITTLE ROCK",72201
2022,"INVINCIBLE TECH SYSTEMS INC",10,1,22,0,54,1993,AR,BENTONVILLE,72712
2022,"J B HUNT TRANSPORT INC",2,0,156,0,48,1267,AR,LOWELL,72745
2022,"JACK STEVENS HEART INSTITUTE LLC",1,0,1,0,62,0570,AR,"LITTLE ROCK",72205
2022,"JEFFERSON HOSP ASSN INC D/B/A JEFFERSON REGIONAL MED CTR",4,0,3,1,62,9353,AR,"PINE BLUFF",71603
2022,"JEFFERSON HOSPITAL ASSOCIATION INC",1,0,3,1,62,9353,AR,"PINE BLUFF",71603
2022,"JOHN BROWN UNIVERSITY",1,0,0,0,61,9576,AR,"SILOAM SPGS",72761
2022,"K2 CONSULTING SERVICES LLC",1,0,0,0,54,0740,AR,"LITTLE ROCK",72201
2022,"KEE TECHNOLOGIES GROUP INC",4,0,1,0,54,8131,AR,BENTONVILLE,72712
2022,"KISWIRE PINE BLUFF INC",0,0,1,0,33,9612,AR,"WHITE HALL",71602
2022,"KITESTRING CONSULTING INC DBA KITE",0,0,18,0,54,7472,AR,BENTONVILLE,72712
2022,"KITESTRING CONSULTING INC DBA KITESTRING TECHNICAL SERVICES INC",6,1,25,0,54,7472,AR,BENTONVILLE,72712
2022,"LEXICON INC",0,0,1,0,23,9150,AR,"LITTLE ROCK",72206
2022,"LIGHTHOUSE ACADEMIES OF ARKANSAS DBA JACKSONVILLE LIGHTHOUSE CHARTER SCHOOL",0,0,1,0,92,8986,AR,JACKSONVILLE,72076
2022,"LITTLE ROCK SCHOOL DISTRICT",0,0,1,0,61,4717,AR,"LITTLE ROCK",72201
2022,"LITTLE SCHOLARS OF ARKANSAS",14,0,3,0,61,5076,AR,"LITTLE ROCK",72211
2022,"LITTLE SCHOLARS OF ARKANSAS FOUNDA",2,0,3,0,61,5076,AR,"LITTLE ROCK",72211
2022,"LYON COLLEGE",2,0,0,0,61,6213,AR,BATESVILLE,72501
2022,"MAGIC VAPOR LLC",1,0,1,0,45,0191,AR,ROGERS,72758
2022,"MATERIALS TESTING OF ARKANSAS INC",1,0,0,0,54,8030,AR,"LITTLE ROCK",72209
2022,"MEDICAL REHAB GROUP LLP",0,0,1,0,62,4078,AR,JONESBORO,72401
2022,"MENSCHFORCE LLC",6,1,0,0,54,5381,AR,BENTONVILLE,72712
2022,"MERCY CLINIC FORT SMITH COMMUNITIE",0,0,1,0,62,8597,AR,"FORT SMITH",72903
2022,"MERCY CLINIC FORT SMITH COMMUNITIES",1,0,5,0,62,8597,AR,"FORT SMITH",72903
2022,"MERCY HLTH NW AR COMMUNITIES",0,0,2,0,62,4203,AR,ROGERS,72758
2022,"MMHMM INC",0,0,1,0,54,1590,AR,BENTONVILLE,72712
2022,"MONTROSE ENVIRONMENTAL GROUP INC",1,0,0,0,54,5044,AR,"N LITTLE ROCK",72118
2022,"MONTROSE ENVIRONMENTAL GROUP INC",0,0,1,0,54,5044,AR,"NORTH LITTLE ROCK",72118
2022,"MOVISTA INC",3,0,1,0,51,3558,AR,BENTONVILLE,72712
2022,"NATIONAL PARK COLLEGE",0,0,1,0,61,5211,AR,"HOT SPRINGS NATIONAL PARK",71913
2022,"NATIONAL SOFT SYSTEMS INC",0,0,1,0,54,0310,AR,ROGERS,72757
2022,"NATIONAL SOFT SYSTEMS INC",10,0,4,0,54,0310,AR,ROGERS,72756
2022,"NEPHROLOGY ASSOCIATES P A",1,0,0,0,62,8072,AR,"LITTLE ROCK",72205
2022,"NEPHROPATHOLOGY ASSOCIATES PLC DBA ARKANA LABORATORIES",1,0,0,0,62,7813,AR,"LITTLE ROCK",72211
2022,"NEW SITE CONSTRUCTION LLC",1,0,0,0,23,7166,AR,ROGERS,72756
2022,"NEXTGEN INNOVATION LABS LLC DBA FA",0,0,1,0,42,9685,AR,CONWAY,72034
2022,"NORTH ARKANSAS PAIN MGMT P A",1,0,0,0,62,9678,AR,BATESVILLE,72501
2022,"NORTHWEST BENTON COUNTY PHYSICIAN",0,0,1,0,62,9030,AR,BENTONVILLE,72712
2022,"NOVUSTECH INC",2,0,0,0,54,6702,AR,ROGERS,72756
2022,"NUCOR CORPORATION NUCOR STEEL UTAH",0,0,3,0,33,0817,AR,BLYTHEVILLE,72315
2022,"NUCOR CORPORATION, VULCRAFT - INDIANA",0,0,1,0,33,0817,AR,BLYTHEVILLE,72315
2022,"NUCOR YAMATO STEEL COMPANY",1,0,0,0,33,5150,AR,BLYTHEVILLE,72316
2022,"ONESTONE SOLUTIONS GROUP LLC",1,0,0,0,42,5403,AR,ROGERS,72758
2022,"OUTDOOR CAP COMPANY INC",1,0,0,0,31,6970,AR,BENTONVILLE,72712
2022,"OXFORD AMERICAN LITERARY PROJECT I",0,0,1,0,51,5463,AR,CONWAY,72035
2022,"PATHOLOGY SERVICES LABORATORY P A",1,0,0,0,62,7949,AR,RUSSELLVILLE,72801
2022,"PEARLSOFT SOLUTIONS INC",1,0,3,0,54,3948,AR,"LITTLE ROCK",72212
2022,"PERFECTVISION MANUFACTURING INC",0,0,1,0,33,2685,AR,"LITTLE ROCK",72223
2022,"PHILANDER SMITH COLLEGE",0,1,0,0,61,9729,AR,"LITTLE ROCK",72202
2022,"PINNACLE POINTE BEHAVIORAL HEALTHCARE SYSTEMS",1,0,0,0,62,8502,AR,CONWAY,72032
2022,"PINNACLE SPINE & ORTHOPEDIC PLLC",0,0,1,0,62,5086,AR,"NORTH LITTLE ROCK",72114
2022,"PRIME PHYSICIANS LLC",0,0,3,0,62,9059,AR,"FORT SMITH",72916
2022,"PROTECH SOLUTIONS INC",1,0,23,0,54,5867,AR,"LITTLE ROCK",72201
2022,"QUALSERV SOLUTIONS LLC",1,0,0,0,33,9254,AR,"FORT SMITH",72908
2022,"RETAIL INSIGHTS US INC",0,0,1,0,51,8652,AR,BENTONVILLE,72712
2022,"REV 365 LLC",0,0,1,0,54,1082,AR,"LITTLE ROCK",72211
2022,"ROCK CL LLC",1,0,0,0,52,8112,AR,WARD,72176
2022,"ROGERS GROUP INC",0,0,1,0,21,8333,AR,CONWAY,72032
2022,"RYAN ENGINEERING INC",1,0,0,0,54,2608,AR,"SILOAM SPRINGS",72761
2022,"S AND H SYSTEMS INC",1,0,0,0,42,7246,AR,JONESBORO,72401
2022,"SAINT JEAN INDUSTRIES INC",1,0,0,0,33,8618,AR,"HEBER SPRINGS",72543
2022,"SALINE CLINICS LLC",1,0,0,0,62,1831,AR,BENTON,72015
2022,"SALINE CLINICS LLC",0,0,1,0,62,1831,AR,BRYANT,72022
2022,"SELECT JARVIS LLC",1,0,0,0,54,6088,AR,BENTONVILLE,72712
2022,"SGOH ACQUISITION INC DBA OZARKS CO",0,0,1,0,62,2082,AR,GRAVETTE,72736
2022,"SGOH ACQUISITION INC DBA OZARKS COMMUNITY HOSPITAL",0,0,2,0,62,2082,AR,GRAVETTE,72736
2022,"SIMMONS PREPARED FOODS INC",1,0,0,0,31,1981,AR,"SILOAM SPRINGS",72761
2022,"SIMMONS PREPARED FOODS INC",1,0,5,0,31,3727,AR,"SILOAM SPRINGS",72761
2022,"SISSYS LOG CABIN INC",0,0,1,0,44,5164,AR,"PINE BLUFF",71603
2022,"SMITH BLAIR INC",0,0,1,0,33,4021,AR,TEXARKANA,71854
2022,"SOUTHERN ARKANSAS UNIV",5,0,3,0,61,7749,AR,MAGNOLIA,71753
2022,"ST BERNARDS HOSPITAL INC D/B/A ST BERNARDS MEDICAL CENTER",0,0,2,0,62,0019,AR,JONESBORO,72401
2022,"ST MARY S PHYSICIAN SERVICES LLC",1,0,0,0,62,9626,AR,RUSSELLVILLE,72801
2022,"ST MARYS PHYSICIAN SERVICES LLC",2,0,0,0,62,9626,AR,RUSSELLVILLE,72801
2022,"ST VINCENT INFIRMARY MEDICAL CENTE",3,0,0,0,62,6917,AR,"LITTLE ROCK",72205
2022,"ST VINCENT INFIRMARY MEDICAL CENTER",7,0,4,1,62,6917,AR,"LITTLE ROCK",72205
