"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"20 20 FINANCIAL CONSULTING INC DBA 20 20 TAX RESOLUTION INC",1,0,0,0,52,9593,CO,BROOMFIELD,80021
2022,"3 ROCKS ENGINEERING LLC",1,0,0,0,54,0575,CO,"CANON CITY",81212
2022,"6E TECHNOLOGIES LLC",2,0,1,0,54,8072,CO,DENVER,80224
2022,"A AND A QUALITY APPLIANCE INC D/B/A APPLIANCE FACTORY MATRESS KINGDON",0,0,1,0,44,5712,CO,DENVER,80260
2022,"AA TECH GROUP LLC",11,0,6,0,54,4584,CO,PARKER,80134
2022,"AAS SERVICES LLC DBA AMERICAN AUTO",0,0,1,0,52,5053,CO,LAKEWOOD,80401
2022,"ACCESS DATA CONSULTING CORPORATION",1,0,2,0,54,1756,CO,"GREENWOOD VILLAGE",80111
2022,"ACCESS DATA CONSULTING CORPORATION",0,0,1,0,54,1756,CO,ENGLEWOOD,80111
2022,"ADAM JAMES LLC D B A CARTER MACKEN",0,0,1,0,56,8478,CO,ENGLEWOOD,80111
2022,"ADAM JAMES LLC D B A CARTER MACKENZIE INTERNATIONAL",0,0,1,0,56,8478,CO,ENGLEWOOD,80111
2022,"ADAM JAMES LLC D B A CARTER MACKENZIE INTERNATIONAL",1,0,0,0,56,8478,CO,"GREENWOOD VILLAGE",80111
2022,"ADAMS STATE UNIVERSITY",1,0,1,0,61,0542,CO,ALAMOSA,81101
2022,"ADCELLERANT LLC",0,0,1,0,99,1549,CO,DENVER,80216
2022,"ADOLFSON PETERSON INC",1,0,0,0,23,1300,CO,AURORA,80011
2022,"ADSWERVE INC",0,0,1,0,54,7966,CO,DENVER,80202
2022,"ADVANCED ENERGY INDUSTRIES INC",5,0,9,0,33,6841,CO,DENVER,80202
2022,"ADVANCED ENERGY INDUSTRIES INC",0,0,9,0,33,6841,CO,"FORT COLLINS",80525
2022,"ADVISORS ASSET MANAGEMENT INC",0,0,1,0,52,2180,CO,MONUMENT,80132
2022,"AFFECT MARKETING LLC",1,0,0,0,54,5695,CO,DENVER,80202
2022,"AGENTSYNC INC",0,0,1,0,51,5267,CO,DENVER,80205
2022,"AGILE RF SYSTEMS LLC",1,0,0,0,99,7046,CO,BERTHOUD,80513
2022,"AGILE SPACE INDUSTRIES INC",1,0,0,0,33,2062,CO,DURANGO,81301
2022,"AGILEASSETS INC",0,0,1,0,54,5168,CO,BROOMFIELD,80021
2022,"AGILEASSETS INC",0,0,1,0,33,5168,CO,BROOMFIELD,80021
2022,"AGILEASSETS INC",0,0,1,0,33,5168,CO,WESTMINSTER,80021
2022,"AGILEASSETS INC",0,0,1,0,51,5168,CO,WESTMINSTER,80021
2022,"AGILEASSETS INC",0,0,1,0,51,5168,CO,BROOMFIELD,80021
2022,"AGILIAD LLC",9,0,4,0,54,0264,CO,BOULDER,80303
2022,"AIR METHODS CORP",0,0,1,0,62,5893,CO,ENGLEWOOD,80111
2022,"ALASKA IPS MEDICAL SERVICES DBA EN",0,1,0,0,62,8222,CO,"GREENWOOD VILLAGE",80111
2022,"ALCOHOL MONITORING SYSTEMS INC DBA",0,0,2,0,33,7963,CO,LITTLETON,80120
2022,"ALEKSIA THERAPEUTICS INC",1,0,0,0,54,7085,CO,LITTLETON,80127
2022,"ALLIANCE FOR SUSTAINABLE ENERGY LL",42,0,35,1,54,9342,CO,GOLDEN,80401
