"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"168 TRADING US FUND LP",0,0,1,0,52,3776,DE,WILMINGTON,19801
2022,"3KEYS INC",0,0,1,0,54,4510,DE,MIDDLETOWN,19709
2022,"8GLABS INC",0,0,1,0,51,5982,DE,WILMINGTON,19807
2022,"AAA CLUB ALLIANCE INC",0,0,1,0,56,8010,DE,WILMINGTON,19801
2022,"AAA CLUB ALLIANCE INC ACA",0,0,3,1,56,8010,DE,WILMINGTON,19801
2022,"ACROBIOSYSTEMS INC",0,0,1,0,42,9687,DE,NEWARK,19711
2022,"ADESIS INC",3,0,2,1,54,6488,DE,"NEW CASTLE",19720
2022,"ADESIS INC",0,0,1,0,54,6488,DE,"NEW CASTLE",19720
2022,"ADESIS INC",1,0,1,0,99,6488,DE,"NEW CASTLE",19720
2022,"ADESIS INC",1,0,0,0,32,6488,DE,"NEW CASTLE",19720
2022,"ADESIS INC.",2,0,0,0,54,6488,DE,"NEW CASTLE",19720
2022,"AF SOUTHERN BRANDS MEDIA & IMPORT, LLC",1,0,0,0,45,9384,DE,NEWARK,19702
2022,"AFFINITY RESEARCH CHEMICALS INC",1,0,1,0,32,1744,DE,WILMINGTON,19804
2022,"AGILEBITS USA INC",0,0,1,1,51,6691,DE,WILMINGTON,19801
2022,"AGILEDATA TECH LLC",0,1,0,0,54,1953,DE,NEWARK,19713
2022,"AHU TECHNOLOGIES INC",0,0,2,0,56,3870,DE,NEWARK,19713
2022,"AHU TECHNOLOGIES INC",2,0,1,0,54,3870,DE,NEWARK,19713
2022,"AIM RECYCLING PHOENIX LLC",0,0,1,0,42,5061,DE,WILMINGTON,19810
2022,"AIM RESEARCH COMPANY",0,0,1,0,33,1551,DE,HOCKESSIN,19707
2022,"AIRGREEN INC",1,0,0,0,33,9246,DE,"NEW CASTLE",19720
2022,"ALLKARE INC",3,0,0,0,54,6963,DE,DOVER,19901
2022,"ALLTECZIT INC",1,0,0,0,54,9972,DE,NEWARK,19713
2022,"ALPHA TECHNOLOGIES INC",0,0,1,0,54,0472,DE,WILMINGTON,19801
2022,"AMERICAN DENTAL CARE OF DOVER LLC",0,0,1,0,62,0902,DE,DOVER,19901
2022,"AMOR SYSTEMS LLC",1,0,0,0,54,2673,DE,WILMINGTON,19804
2022,"ANP TECHNOLOGIES INC",0,0,1,0,32,8628,DE,NEWARK,19711
2022,"APPOQUINIMINK SCHOOL DIST",1,0,0,0,61,,DE,ODESSA,19730
2022,"APPOQUINIMINK SCHOOL DISTRICT",0,0,1,0,92,0279,DE,WILMINGTON,19801
2022,"APPOQUINIMINK SCHOOL DISTRICT",1,0,0,0,61,0279,DE,ODESSA,19730
2022,"APPOQUINIMINK SCHOOL DISTRICT",3,0,0,0,61,0279,DE,LEWES,19958
