"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"012 GLOBAL INC",0,0,1,0,99,3065,FL,"POMPANO BEACH",33063
2022,"1A1 INNOVATIONS LLC",1,0,0,0,54,9911,FL,"MADEIRA BEACH",33708
2022,"1ST COAST NO MORE HOMELESS PETS IN",0,0,1,0,54,9158,FL,JACKSONVILLE,32208
2022,"27 VIRTUAL CONSULTING LLC",1,0,0,0,54,8133,FL,TAMPA,33629
2022,"300 ENGRG GROUP PA",0,0,1,0,54,2529,FL,MIAMI,33134
2022,"300 ENGRG GROUP PA",1,0,0,0,54,2529,FL,"CORAL GABLES",33134
2022,"3835 MAIN LLC",0,0,1,0,72,1740,FL,"PALM BEACH",33480
2022,"3CINTERACTIVE CORP",1,0,0,0,54,9760,FL,"BOCA RATON",33487
2022,"3E CONSULTING INC",0,0,1,0,54,1599,FL,MIAMI,33180
2022,"630 AEROSPACE INC",1,0,0,0,54,9782,FL,"MIAMI LAKES",33014
2022,64LABS,0,0,3,0,54,8413,FL,TAMPA,33607
2022,"776 MGT LLC DBA SEVEN SEVEN SIX",0,0,1,0,52,8310,FL,JUPITER,33458
2022,"777 PARTNERS LLC",2,0,3,0,55,2656,FL,MIAMI,33131
2022,"911 CLAIMS CORP",0,1,0,0,52,0599,FL,MIAMI,33126
2022,"A TECH SYSTEMS",0,0,1,0,99,9926,FL,"POMPANO BEACH",33071
2022,"A&E MUNDO LLC",0,0,1,0,51,9529,FL,MIAMI,33134
2022,"A-LIGN COMPLIANCE AND SECURITY INC",0,0,1,0,54,5399,FL,TAMPA,33602
2022,"AAAPKR LLC",0,0,1,0,72,7458,FL,CLEARWATER,33765
2022,"AADESH RX LLC",0,0,1,0,44,8432,FL,WAUCHULA,33873
2022,"AAJ COMPUTER SERVICES INC DBA OZ",0,0,2,0,54,2524,FL,"FORT LAUDERDALE",33309
2022,"AAJ COMPUTER SERVICES INC DBA OZ",1,0,0,0,54,2524,FL,"FT LAUDERDALE",33309
2022,"AAKASH LLC",0,0,1,0,44,0045,FL,"LAKE WALES",33853
2022,"AAMP OF FLORIDA INC",0,0,1,0,42,1317,FL,CLEARWATER,33760
2022,"AANEEL INFOTECH",1,0,0,0,54,3439,FL,TAMPA,33625
2022,"AB CONSULTING ENGINEERS INC",1,0,0,0,54,4460,FL,ORLANDO,32807
2022,"AB MAYOR LLC",1,0,0,0,62,4183,FL,SARASOTA,34238
2022,"ABACUS SETTLEMENTS LLC",1,0,0,0,81,6777,FL,ORLANDO,32835
2022,"ABHYANTH SOLUTIONS INC",9,1,2,0,54,2636,FL,MIAMI,33126
2022,"ABILITY PLUS THERAPY INC",0,0,1,0,62,7379,FL,MELBOURNE,32934
2022,"ABSEN INC",1,0,0,0,33,2786,FL,ORLANDO,32809
2022,"ABSORB SOFTWARE NORTH AMERICA LLC",0,0,1,0,51,6041,FL,TAMPA,33602
2022,"AC FLORIDA PAVERS LLC",0,0,1,0,42,5807,FL,"LAKE WORTH",33467
2022,"ACCELIRATE INC",3,0,1,0,54,1273,FL,SUNRISE,33325
2022,"ACCELIRATE INC",0,0,2,0,54,1273,FL,"FORT LAUDERDALE",33325
2022,"ACCESSO LLC",0,0,1,0,54,1860,FL,"LAKE MARY",32746
2022,"ACCLIVITY HEALTH SOLUTIONS INC",1,0,0,0,54,9282,FL,JACKSONVILLE,32207
2022,"ACCO FOREIGN SHIPPING, INC.",1,0,0,0,48,2115,FL,DORAL,33172
2022,"ACE INFOTECH LLC",1,0,0,0,54,8692,FL,TALLAHASSEE,32311
2022,"ACEAPPLICATIONS LLC",1,0,0,0,54,4632,FL,ORLANDO,32826
2022,"ACME INTERNATIONAL LLC",0,0,0,1,42,7959,FL,MIAMI,33156
2022,"ACOSTA INC",1,0,0,0,55,4764,FL,JACKSONVILLE,32216
2022,"ACROSS BORDERS MANAGEMENT CONSULTING GROUP LLC",0,0,3,0,54,9921,FL,"LAKE MARY",32746
2022,"ACROSS BORDERS MGT CONSULTING GR L",0,0,1,0,54,9921,FL,"LAKE MARY",32746
2022,"ACSIA LONG TERM CARE INC",0,0,1,0,52,2578,FL,"FORT MYERS",33919
2022,"ACT HOUSE INC",1,0,0,0,54,7241,FL,TALLAHASSEE,32310
2022,"ADAMS AIR AND HYDRAULICS INC",1,0,0,0,42,0024,FL,TAMPA,33605
2022,"ADB FLORIDA CONTRACTORS LLC",0,0,1,0,99,3283,FL,"PORT SAINT LUCIE",34983
2022,"ADECCO GROUP NA / MODIS INC",34,0,81,2,54,0600,FL,JACKSONVILLE,32256
2022,"ADECCO USA INC",0,0,2,0,54,6700,FL,JACKSONVILLE,32256
2022,"ADECIS ENGRG INC",0,0,1,0,54,5011,FL,NAPLES,34104
2022,"ADELANTE US OPERATIONS INC",0,0,1,0,52,7442,FL,MIAMI,33127
2022,"ADMA BIOLOGICS INC D/B/A ADMA BIOMANUFACTURING LLC",0,0,1,0,32,1419,FL,"BOCA RATON",33487
2022,"ADMIRAL AMERICA ENERGY INC",1,0,0,0,54,1890,FL,PLANTATION,33323
2022,"ADMIRAL FARRAGUT ACADEMY INC",0,1,0,0,61,8365,FL,"SAINT PETERSBURG",33710
2022,"ADO STAFFING INC",1,0,6,0,54,0512,FL,JACKSONVILLE,32256
2022,"ADT LLC",5,0,26,0,56,3781,FL,"BOCA RATON",33431
2022,"ADVANCE REHABILITATION MANAGEMENT GROUP LLC",0,0,1,0,62,9125,FL,"FERNANDINA BEACH",32035
2022,"ADVANCE REHABILITATION MANAGEMENT GROUP LLC",0,0,1,0,62,9125,FL,"FERN BCH",32035
2022,"ADVANCE RESEARCH INSTITUTE INC",0,0,1,0,62,5111,FL,"NEW PORT RICHEY",34653
2022,"ADVANCED ENDODONTICS OF LAKE MARY",0,0,1,0,62,4813,FL,"LAKE MARY",32746
2022,"ADVANCED PERIODONTICS AND IMPLANT CARE LLC",0,0,1,0,62,7175,FL,"LADY LAKE",32159
2022,"ADVANCED STRUCTURAL DESIGN INC",0,0,1,0,54,3711,FL,"WINTER PARK",32792
2022,"ADVANCED SYSTEMS DESIGN INC",0,0,0,1,54,3316,FL,CLEARWATER,33762
2022,"ADVANTAGE ACADEMY OF MIAMI INC",1,0,0,0,61,8749,FL,"CORAL SPRING",33067
2022,"ADVANTAGE ACADEMY OF MIAMI INC",1,0,0,0,61,8749,FL,"CORAL SPRINGS",33067
2022,"ADVANTAGE ACADEMY OF MIAMI INC",1,0,0,0,61,8749,FL,"POMPANO BEACH",33067
2022,"ADVENTHEALTH POLK NORTH INC D/B/A",1,0,0,0,62,3121,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTHEALTH POLK NORTH INC D/B/A ADVENTHEALTH HEART OF FLORIDA",2,0,0,0,62,3121,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTHEALTH RANSOM MEMORIAL INC D/B/A ADVENTHEALTH OTTAWA",2,0,0,0,62,6641,FL,"ALTAMONTE SPRINGS",32751
2022,"ADVENTHEALTH UNIVERSITY, INC.",1,0,0,0,61,9793,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTIST HEALTH POLK SOUTH INC D/B/A ADVENTHEALTH LAKE WALES",3,0,0,0,62,2945,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HE",2,0,35,0,62,8398,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HE",0,0,2,0,62,0012,FL,"ALTAMONTE SPG",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HE",0,0,1,0,62,8398,FL,"ALTAMONTE SPG",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HE",9,0,6,0,62,0012,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP D/B/A ADVENTHEALTH",1,0,0,0,62,0011,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP D/B/A ADVENTHEALTH",0,0,4,0,62,0012,FL,"ALTAMONTE SPG",32714
2022,"ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP D/B/A ADVENTHEALTH",13,1,12,0,62,0012,FL,"ALTAMONTE SPRINGS",32714
2022,"ADVENTIST HEALTH SYSTEM/ SUNBELT INC D/B/A ADVENTHEALTH SEBRING",4,0,2,0,62,5553,FL,"ALTAMONTE SPRINGS",32714
