"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,,0,0,1,0,51,5198,GA,NORCROSS,30092
2022,"22SQUARED INC",1,0,1,0,54,6081,GA,ATLANTA,30309
2022,"24 ON PHYSICIANS PC",0,0,2,0,62,9828,GA,ALPHARETTA,30009
2022,"24 ON PHYSICIANS PC",0,0,1,0,62,9828,GA,ALPHARETTA,30004
2022,"24X7SYSTEMS INC",0,0,1,0,54,5663,GA,ALPHARETTA,30004
2022,"3H SYSTEMS LLC",0,0,1,0,54,2816,GA,SUWANEE,30024
2022,"3I PEOPLE INC",0,0,1,0,54,5372,GA,ALPHARETTA,30022
2022,"4EARTH INC",1,0,0,0,54,1582,GA,ATLANTA,30318
2022,"4P CONSULTING INC",1,0,0,0,54,0940,GA,MARIETTA,30066
2022,"A G RHODES HOME COBB IN CD/B/A A G",1,0,0,0,62,5826,GA,ATLANTA,30329
2022,"A VENTERPRISEINC",21,1,11,1,54,0866,GA,CUMMING,30041
2022,"A&M TAX AND ACCOUNTING LLC",0,1,0,0,45,2906,GA,NORCROSS,30071
2022,"A1 CONSULTING INC",0,0,1,0,54,3010,GA,ALPHARETTA,30005
2022,"A1 WHOLESALE SUPPLY LLC",2,0,0,0,42,8344,GA,TUCKER,30084
2022,"A25 SOLUTIONS LLC",2,0,1,0,54,0140,GA,ALPHARETTA,30004
2022,"AAA GLOBAL TECHNOLOGIES LLC",0,0,3,0,54,6690,GA,ATLANTA,30328
2022,"AAD IT SOLUTION LLC",1,0,0,0,54,5966,GA,CUMMING,30040
2022,"AARNAV IT CONSULTING LLC",2,0,0,0,54,9426,GA,CUMMING,30040
2022,"ABEL SOLUTIONS LLC",0,0,1,0,54,9220,GA,ALPHARETTA,30022
2022,"ABR IT CONSULTING LLC",3,0,0,0,54,4342,GA,CUMMING,30041
2022,"ABRAHAM BALDWIN AGRIC COLLEGE",2,0,1,0,61,2070,GA,TIFTON,31793
2022,"ABV ELECTRONICS INC DBA SIENNA CORPORATION",0,0,1,0,33,3902,GA,SUWANEE,30024
2022,"ACADIA IO LLC",0,0,4,0,54,8877,GA,ATLANTA,30318
2022,"ACADIA TECHNOLOGIES INC",6,1,7,0,54,1942,GA,DULUTH,30097
2022,"ACCELERATE360 DISTRIBUTION LLC",0,0,1,0,42,3568,GA,SMYRNA,30080
2022,"ACCESS CLINICAL PARTNERS LLC",1,0,0,0,62,1513,GA,ATLANTA,30342
2022,"ACCUITY INC",1,0,19,0,51,9625,GA,ALPHARETTA,30005
2022,"ACCUITY INC",0,0,2,0,56,9625,GA,ALPHARETTA,30005
2022,"ACCUSHIELD LLC",1,0,0,0,54,6898,GA,ATLANTA,30339
2022,"ACHIEVA IT INC",2,0,2,0,54,6228,GA,ALPHARETTA,30005
2022,"ACMESOFT GLOBAL INC",3,0,0,0,54,5033,GA,NORCROSS,30092
2022,"ACMESOFT GLOBAL INC",0,0,3,0,54,5033,GA,"PEACHTREE CORNERS",30092
2022,"ACOUSTIC L P",0,0,1,0,54,6846,GA,ATLANTA,30346
2022,"ACUITY BRANDS LIGHTING INC",7,0,31,1,33,3371,GA,CONYERS,30012
2022,"ACUITY BRANDS TECHNOLOGY INC",0,0,2,0,33,2408,GA,CONYERS,30012
2022,"ADAMS MANAGEMENT SERVICES CORP",0,0,1,0,54,4083,GA,ROME,30161
2022,"ADEDGE WATER TECHNOLOGIES LLC",0,0,1,1,33,9158,GA,DULUTH,30096
2022,"ADEPT SCRIPTS LLC",0,0,1,0,54,4476,GA,ALPHARETTA,30009
2022,"ADISSEO USA INC",1,0,1,0,31,2134,GA,ALPHARETTA,30022
2022,"ADPMN INC",10,0,1,0,54,2298,GA,ALPHARETTA,30004
2022,"ADROIX CORP DBA CODEFORCE 360",6,0,36,1,54,9132,GA,ALPHARETTA,30005
