"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ALOHAWAII TRAVEL CORP",0,0,1,0,56,5679,HI,HONOLULU,96815
2022,"ALTRES INC",0,0,1,0,56,2463,HI,HONOLULU,96814
2022,"AMERICAN SAVINGS BANK FSB",0,0,2,0,52,3492,HI,HONOLULU,96804
2022,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY AURA",0,0,1,0,54,8043,HI,HILO,96720
2022,"AURA SPACE TELESCOPE SCIENCE INSTI",0,0,1,0,92,8043,HI,HILO,96720
2022,"AURA SPACE TELESCOPE SCIENCE INSTI",0,0,1,0,54,8043,HI,HILO,96720
2022,"BANK OF HI",0,0,2,0,52,3900,HI,HONOLULU,96846
2022,"BISHOP MUSEUM",0,0,1,0,71,1980,HI,HONOLULU,96817
2022,"BRIGHAM YOUNG UNIVERSITY HAWAII",1,0,3,1,61,3825,HI,LAIE,96762
2022,"CANADA FRANCE HAWAII TELESCOPE CORPORATION",1,0,0,0,54,8736,HI,KAMUELA,96743
2022,"CENTRAL PACIFIC BANK",0,0,1,0,52,0213,HI,HONOLULU,96813
2022,"CHAMINADE UNIV OF HONOLULU",0,0,1,0,61,2261,HI,HONOLULU,96816
2022,"CONTROLPOINT SURVEYING INC",1,0,0,0,54,9240,HI,HONOLULU,96814
2022,"CORNERSTONE COMMUNITY CHIROPRACTIC INC",1,0,0,0,62,8202,HI,"EWA BEACH",96706
2022,"CTR FOR CULTURAL & TECHNICAL INTER",3,1,0,0,54,1603,HI,HONOLULU,96848
2022,"DECISION RESEARCH CORPORATION",1,0,0,0,54,6325,HI,HONOLULU,96814
2022,"DELTA ENGINEERING LLC",1,0,0,0,54,3725,HI,HONOLULU,96816
2022,"DESIGN PARTNERS INC",0,0,1,0,54,2794,HI,HONOLULU,96814
2022,"DOLE FOOD COMPANY HAWAII",1,0,0,0,31,5300,HI,WAHIAWA,96786
2022,"GOMA INC",1,0,1,0,72,8283,HI,HONOLULU,96814
2022,"GOOD LUCK INTL CORP D/B/A ARLUIS W",0,0,1,0,81,5860,HI,HONOLULU,96815
2022,"GREENPATH TECHNOLOGIES INC",0,1,0,0,22,9164,HI,WAIPAHU,96797
2022,"H NU SOLAR LLC DBA HNU ENERGY",0,0,1,0,22,3404,HI,KAHULUI,96732
2022,"HAWAI I PACIFIC HEALTH",1,0,0,0,62,6363,HI,HONOLULU,96813
2022,"HAWAI I PACIFIC UNIV",0,0,1,0,61,3930,HI,HONOLULU,96813
2022,"HAWAI I PACIFIC UNIVERSITY",0,0,2,0,61,3930,HI,HONOLULU,96813
2022,"HAWAII CONFERENCE OF SDA",3,1,0,0,61,2407,HI,HONOLULU,96817
2022,"HAWAII CONFERENCE OF SDA",1,0,0,0,99,2407,HI,HONOLULU,96817
2022,"HAWAII EAR NOSE AND THROAT CONSULTANTS CORP",0,0,1,0,62,0260,HI,HONOLULU,96814
2022,"HAWAII ENERGY SYSTEMS LLC",0,1,0,0,23,0639,HI,AIEA,96701
2022,"HAWAII INFECTIOUS DISEASE ASSOCIATES",1,0,0,0,62,8194,HI,HONOLULU,96813
2022,"HAWAII MEDICAL SERVICE ASSOCIATION",0,0,5,0,52,0115,HI,HONOLULU,96814
2022,"HAWAII REHABILITATION SVCS INC",0,0,1,0,62,4116,HI,"KAILUA KONA",96740
2022,"HAWAIIAN AIRLINES INC",0,0,2,0,48,2880,HI,HONOLULU,96819
2022,"HAWAIIAN OLA BREWING CORPORATON",0,0,1,0,31,4920,HI,"KAILUA KONA",96740
2022,"HDCC GUAM LLC",0,0,2,0,23,8581,HI,HONOLULU,96812
2022,"HI MEDICAL SVC ASSOCIATION",0,0,2,0,52,0115,HI,HONOLULU,96814
2022,"HITACHI RAIL HONOLULU JV",1,0,3,0,48,1075,HI,"PEARL CITY",96782
2022,"HOIKE NETWORKS INC",0,0,1,0,51,6427,HI,HONOLULU,96813
2022,"HONOLULU CIVIL BEAT INC",1,0,0,0,51,3662,HI,HONOLULU,96816
2022,"IES DOWNSTREAM LLC",0,0,1,0,32,6260,HI,KAPOLEI,96707
2022,"INTERNATIONAL MID PAC COLLEGE INC",1,0,0,0,61,2729,HI,HONOLULU,96814
2022,"JAS W GLOVER LTD",0,0,1,0,23,6958,HI,HONOLULU,96809
2022,"JOHNSON PACIFIC ENTERPRISES INC",0,0,1,0,44,3823,HI,HONOLULU,96817
2022,"KAHALA CLINIC FOR CHILD FAMILY INC",1,0,0,0,62,6981,HI,HONOLULU,96816
2022,"KAPI OLANI MEDICAL SPECIALISTS",3,0,3,0,62,2406,HI,HONOLULU,96813
2022,"KEA LANI LLC DBA FAIRMONT KEA LANI MAUI",1,0,0,0,54,2131,HI,WAILEA,97653
2022,"KITCHEN & BEYOND LLC",0,0,1,0,44,2915,HI,HILO,96720
2022,"LDDI LLC",0,0,1,0,54,5447,HI,HONOLULU,96813
2022,"MAHI PONO LLC",0,0,1,0,11,6421,HI,KAHULUI,96732
2022,"N&K CPAS INC",1,0,0,0,54,9131,HI,HONOLULU,96813
2022,"NAN INC",5,0,5,0,23,7519,HI,HONOLULU,96819
2022,"PACIFIC ANESTHESIA INC",1,0,1,0,62,1453,HI,HONOLULU,96817
