"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"252 SOLUTIONS LLC",1,0,0,0,54,6290,ID,POCATELLO,83201
2022,"ACCENDERO SOFTWARE",3,0,0,0,54,3455,ID,"IDAHO FALLS",83404
2022,"ACCENDERO SOFTWARE INC",1,0,0,0,54,3455,ID,"IDAHO FALLS",83404
2022,"ALTURAS PREPARATORY ACADEMY",1,0,0,0,61,8402,ID,"IDAHO FALLS",83404
2022,"AMERICAN GEOTECHNICS",0,0,1,0,54,3479,ID,BOISE,83714
2022,AUTOVOL,0,0,3,0,33,8186,ID,NAMPA,83687
2022,"AXIOM PLLC",0,0,1,0,54,3111,ID,BOISE,83702
2022,"BALSAM BRANDS INC",0,0,1,0,52,5205,ID,BOISE,83702
2022,"BATTELLE ENERGY ALLIANCE LLC",30,1,23,0,22,8324,ID,"IDAHO FALLS",83415
2022,"BENEWAH COMMUNITY HOSPITAL",0,0,1,0,62,4163,ID,"ST MARIES",83861
2022,"BIRHTBASE LLC",1,0,0,0,51,2848,ID,BOISE,83702
2022,"BLUE CROSS OF IDAHO HEALTH SERVICES INC",0,0,2,0,52,4294,ID,MERIDIAN,83642
2022,"BMH INC",0,0,1,0,62,6945,ID,BLACKFOOT,83221
2022,"BOISE STATE UNIVERSITY",9,0,13,0,61,0701,ID,BOISE,83725
2022,"CITY OF IDAHO FALLS",1,0,0,0,92,0208,ID,"IDAHO FALLS",83402
2022,"CLARK SEED, LLC",1,0,0,0,11,9363,ID,"IDAHO FALLS",83406
2022,"CLEARWATER ANALYTICS LLC",10,0,8,1,54,8172,ID,BOISE,83702
2022,"COEUR D ALENE TRIBE",1,0,0,0,92,5476,ID,PLUMMER,83851
2022,"COOPER DEV & MFG LLC DBA COOPER PR",1,0,0,0,33,4017,ID,"HORSESHOE BND",83629
2022,"COUNTIES OF JEFFERSON AND MADISON SCHOOL DISTRICT 251",1,0,1,0,61,0779,ID,RIGBY,83442
2022,"COVR FINANCIAL TECHNOGIES INC",0,0,1,0,54,6767,ID,BOISE,83702
2022,"COYOTE O P INC",0,1,0,0,33,4686,ID,BOISE,83706
2022,"CRADLEPOINT INC",3,0,8,0,51,3402,ID,BOISE,83702
2022,"CRADLEPOINT INC",2,0,3,0,99,3402,ID,BOISE,83702
2022,"DICK CAMPBELL COMPANY",1,0,0,0,33,5152,ID,BOISE,83705
2022,"ECONOMIC MODELING LLC D B A EMSI BURNING GLASS",1,0,0,0,92,5272,ID,MOSCOW,83843
2022,"EON COLLECTIVE LLC",1,0,0,0,54,0026,ID,BOISE,83716
2022,"FARM BUREAU MUTUAL INSURANCE COMPANY OF IDAHO",2,0,0,0,52,9910,ID,POCATELLO,83201
2022,"FRESH AIR MANUFACTURING COMPANY FAMCO",1,0,0,0,33,0214,ID,MERIDIAN,83642
2022,"GENTLE DENTAL CARE PLLC",0,0,1,0,62,9886,ID,NAMPA,83686
2022,"GLANCEY ROCKWELL & ASSOCIATES",1,0,0,0,54,0987,ID,BOISE,83702
2022,"HECLA LIMITED",0,0,1,0,21,6240,ID,"COEUR D ALENE",83815
2022,"HUMMEL ARCHITECTS PLLC",0,0,1,0,54,5056,ID,BOISE,83702
2022,"ID DENTAL ASSOCIATES PC",0,0,1,0,62,6216,ID,"IDAHO FALLS",83404
2022,"IDAHO KIDNEY INSTITUTE LLP",2,0,0,0,62,8521,ID,CHUBBUCK,83202
2022,"IDAHO MILK PRODUCTS INC",1,0,1,0,31,9169,ID,JEROME,83338
2022,"IDAHO STATE UNIVERSITY",5,0,7,0,61,0924,ID,POCATELLO,83209
2022,"IN TIME TEC LLC",0,0,2,0,54,3088,ID,MERIDIAN,83642
2022,"J R SIMPLOT COMPANY",0,0,9,0,11,6611,ID,BOISE,83702
2022,"JR SIMPLOT COMPANY",0,0,1,0,11,6611,ID,BOISE,83702
2022,"JR SIMPLOT COMPANY",0,0,2,0,11,6611,ID,BOISE,83702
2022,"KOCHAVA INC",0,0,1,0,54,6252,ID,SANDPOINT,83864
2022,"KYANI INC",0,0,1,0,42,1309,ID,"IDAHO FALLS",83402
2022,"LAMB WESTON INC",1,0,2,0,42,5395,ID,EAGLE,83616
2022,"LHP POCATELLO LLC DBA PORTNEUF MEDICAL CENTER",1,0,0,0,62,6972,ID,POCATELLO,83201
2022,"LIFEWAYS INC.",1,0,0,0,62,5381,ID,CALDWELL,83605
2022,"LOVEVERY INC",0,0,2,0,33,6811,ID,BOISE,83702
2022,"MEDICAL COLLEGE OF WISCONSIN INC",1,0,1,0,61,6261,ID,CHALLIS,83226
2022,"MELALEUCA INC",6,0,6,0,32,9405,ID,"IDAHO FALLS",83402
2022,"MICRON SEMICONDUCTOR PRODUCTS INC",1,0,3,0,42,3274,ID,BOISE,83716
2022,"MICRON SEMICONDUCTOR PRODUCTS INC",0,0,1,0,33,3274,ID,BOISE,83716
2022,"MICRON SEMICONDUCTOR PRODUCTS INC MSP",1,0,4,0,33,3274,ID,BOISE,83716
2022,"MICRON SEMICONDUCTOR PRODUCTS INC MSP",7,0,13,0,42,3274,ID,BOISE,83716
2022,"MICRON TECHNOLOGY INC",134,1,282,2,33,8004,ID,BOISE,83716
2022,"MICRON TECHNOLOGY INC",0,0,1,0,33,8004,ID,BOISE,83716
2022,"MICRON TECHNOLOGY INC",0,0,1,0,33,8044,ID,BOISE,83716
2022,"NORTHPOINT GROUP LLC DBA ARGANONORTHPOINT",0,0,1,0,54,8832,ID,BOISE,83702
2022,"NORTHWEST NAZARENE UNIVERSITY",0,0,1,0,61,0907,ID,NAMPA,83686
2022,"PALOUSE SPECIALTY PHYSICIANS P S",0,0,1,0,62,4508,ID,MOSCOW,83843
2022,"PERCUSSIONAIRE CORPORATION",0,0,1,0,33,6362,ID,SANDPOINT,83864
2022,"PLEXTRAC INC",0,0,1,0,54,0048,ID,BOISE,83702
2022,"POWER ENGINEERS INC",1,0,2,0,54,4246,ID,HAILEY,83333
2022,"POWER ENGINEERS INC",0,0,1,0,33,4246,ID,HAILEY,83333
2022,"ROCKY MOUNTAIN ENGINEERING AND SURVEYING LLC",1,0,0,0,54,6884,ID,POCATELLO,83201
2022,"SAFELINK INTERNET DBA ANTHEM BROAD",1,0,0,0,99,1517,ID,RUPERT,83350
2022,"SAINT ALPHONSUS HEALTH SYSTEM INC",0,0,1,0,62,0895,ID,BOISE,83706
2022,"ST LUKE S HEALTH SYSTEM LTD",2,0,1,0,62,0681,ID,BOISE,83712
2022,"ST MARY S HOSPITAL INC",0,0,0,1,62,6453,ID,COTTONWOOD,83522
2022,"STRATA INC",1,0,0,0,54,7184,ID,BOISE,83709
2022,"STUKENT INC",1,0,0,0,61,2578,ID,"IDAHO FALLS",83402
2022,"SYRINGA HOSPITAL DISTRICT DBA SYRINGA HOSPITAL & CLINICS",0,0,1,0,62,6476,ID,GRANGEVILLE,83530
2022,"TETON SCHOOL DISTRICT 401",2,0,0,0,61,0887,ID,DRIGGS,83422
2022,"THE COLLEGE OF IDAHO",1,0,0,0,61,0906,ID,CALDWELL,83605
2022,"THE INTERNET TRUCKSTOP LLC",2,1,13,0,54,4075,ID,"NEW PLYMOUTH",83655
2022,"THOMAS HOLDING DBA THOMAS CUISINE",0,0,1,0,72,0020,ID,MERIDIAN,83642
2022,"TRUSTEK INC",1,0,0,0,54,2202,ID,BOISE,83706
2022,"UNIVERSITY OF IDAHO",16,0,8,0,61,0945,ID,MOSCOW,83844
2022,"VALLEY FAMILY HEALTH CARE INC",0,0,1,0,62,1383,ID,PAYETTE,83661
2022,"VTCU CORP",1,0,2,0,33,4302,ID,POCATELLO,83201
2022,"WCSC INC",1,0,0,0,54,5969,ID,MERIDIAN,83642
2022,"WEBB CLOVIS ASSOCIATES PLLC",0,0,1,0,54,2115,ID,"COEUR D ALENE",83814
2022,"WOODGRAIN INC",0,0,2,0,32,3778,ID,FRUITLAND,83619
2022,"Z DATA INC",0,0,2,0,54,8734,ID,BOISE,83702
2022,"ZENNIFY INC",0,0,1,0,99,0058,ID,MERIDIAN,83642
2022,"ZENNIFY INC",0,0,2,0,54,0058,ID,MERIDIAN,83642
