"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"1052 PARTNERS INC DBA PEOPLECADDIE",0,0,1,0,56,3077,IL,"DES PLAINES",60018
2022,"12 INTERACTIVE LLC",1,0,0,0,54,1764,IL,CHICAGO,60654
2022,"1ST CHOICE DENTAL",0,0,1,0,62,5644,IL,BRIDGEVIEW,60455
2022,"1ST FAMILY DENTAL PC",0,0,1,0,62,3363,IL,ADDISON,60101
2022,"1WORLDSYNC INC",0,0,1,0,54,4878,IL,CHICAGO,60606
2022,"213 MANAGEMENT LLC",0,0,1,0,52,7655,IL,CHICAGO,60607
2022,"2FLO VENTURES LLC",1,0,0,0,52,2929,IL,CHICAGO,60654
2022,"2IM GROUP LLC",0,0,1,0,54,9389,IL,CHICAGO,60661
2022,"3Q DIGITAL",0,0,1,0,54,8570,IL,CHICAGO,60602
2022,"3RED PARTNERS LLC",1,0,0,0,52,8791,IL,CHICAGO,60606
2022,"4WEALTH FINANCIAL GROUP LLC",0,0,1,0,54,8535,IL,WILLOWBROOK,60527
2022,"66DEGREES LLC",1,0,3,0,54,3575,IL,CHICAGO,60607
2022,"720 WORLDWIDE INC",0,0,2,0,54,0651,IL,WESTCHESTER,60154
2022,"A T KEARNEY INC",21,0,24,1,54,8565,IL,CHICAGO,60606
2022,"A TO BE USA LLC",0,0,2,0,33,2012,IL,"DOWNERS GROVE",60515
2022,"A2ZUNIQUE INC",1,0,0,0,54,8356,IL,BOLINGBROOK,60490
2022,"AADYA BIO ANALYTICS SERVICES LLC",0,0,1,0,54,1782,IL,LOMBARD,60148
2022,"AARETE LLC",1,0,3,0,54,0001,IL,CHICAGO,60601
2022,"AB TECHNOLOGIES INC",7,1,3,0,54,9220,IL,LIBERTYVILLE,60048
2022,"AB2 CONSULTING INC",1,0,2,0,54,1515,IL,PALATINE,60067
2022,"ABBOTT CARDIOVASCULAR SYSTEMS INC",0,0,3,0,32,2062,IL,"ABBOTT PARK",60064
2022,"ABBOTT CARDIOVASCULAR SYSTEMS INC",1,0,3,0,32,2062,IL,"NORTH CHICAGO",60064
2022,"ABBOTT CARDIOVASCULAR SYSTEMS INC AN ABBOTT LABORATORIES COMPANY",0,0,3,0,32,2062,IL,"ABBOTT PARK",60064
2022,"ABBOTT CARDIOVASCULAR SYSTEMS INC AN ABBOTT LABORATORIES COMPANY",0,0,3,0,32,2062,IL,"NORTH CHICAGO",60064
2022,"ABBOTT DIABETES CARE INC AN ABBOTT",0,0,6,0,32,7373,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIABETES CARE INC AN ABBOTT LABORATORIES COMPANY",1,0,23,0,32,7373,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIABETES CARE INC AN ABBOTT LABORATORIES COMPANY",1,0,6,0,32,7373,IL,"NORTH CHICAGO",60064
2022,"ABBOTT DIABETES CARE SALES CORPORATION AN ABBOTT LABORATORIES COMPANY",0,0,2,0,32,0190,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIABETES CARE SALES CORPORATION AN ABBOTT LABORATORIES COMPANY",0,0,1,0,32,0190,IL,"NORTH CHICAGO",60064
2022,"ABBOTT DIAGNOSTICS SCARBOROUGH INC",2,0,4,0,32,7302,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIAGNOSTICS SCARBOROUGH INC",0,0,1,0,32,7302,IL,"NORTH CHICAGO",60064
2022,"ABBOTT DIAGNOSTICS SCARBOROUGH INC AN ABBOTT LABORATORIES COMPANY",2,0,6,0,32,7302,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIAGNOSTICS SCARBOROUGH INC AN ABBOTT LABORATORIES COMPANY",1,0,1,0,32,7302,IL,"NORTH CHICAGO",60064
2022,"ABBOTT LABORATORIES",11,0,23,0,32,8440,IL,"NORTH CHICAGO",60064
2022,"ABBOTT LABORATORIES",0,0,1,0,32,4946,IL,"ABBOTT PARK",60064
2022,"ABBOTT LABORATORIES",0,0,1,0,32,8440,IL,"ABBOTT PARK",60604
2022,"ABBOTT LABORATORIES",7,0,52,0,32,8440,IL,"ABBOTT PARK",60064
2022,"ABBOTT LABORATORIES INC.",1,0,1,0,32,4946,IL,"ABBOTT PARK",60064
2022,"ABBOTT POINT OF CARE INC AN ABBOTT LABORATORIES COMPANY",0,0,1,0,32,2664,IL,"ABBOTT PARK",60064
2022,"ABBOTT POINT OF CARE INC AN ABBOTT LABORATORIES COMPANY",1,0,0,0,32,2664,IL,"NORTH CHICAGO",60064
2022,"ABBOTT RAPID DIAGNOSTICS INFORMATICS INC AN ABBOTT LABORATORIES COMPANY",0,0,1,0,32,8417,IL,"ABBOTT PARK",60064
2022,"ABBVIE BIORESEARCH CENTER",0,0,8,0,32,7154,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIORESEARCH CENTER AN ABBVIE INC COMPANY",7,0,14,0,32,7154,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIORESEARCH CTR AN ABBVIE",0,0,2,0,32,7154,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIOTHERAPEUTICS INC",7,1,54,2,32,0657,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIOTHERAPEUTICS INC",0,0,1,0,32,0675,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIOTHERAPEUTICS INC AN",3,0,53,1,32,0657,IL,"NORTH CHICAGO",60064
2022,"ABBVIE ENDOCRINOLOGY INC AN ABBVIE COMPANY",0,0,1,0,32,7269,IL,"NORTH CHICAGO",60064
2022,"ABBVIE INC",0,0,1,0,32,5147,IL,"NORTH CHICAGO",60064
2022,"ABBVIE INC",35,0,153,3,32,5147,IL,"NORTH CHICAGO",60064
2022,"ABBVIE INC",1,0,0,0,32,5147,IL,CHICAGO,60607
2022,"ABBVIE INC",0,0,3,0,32,7269,IL,"NORTH CHICAGO",60064
2022,"ABBVIE INC",5,0,11,0,32,7154,IL,"NORTH CHICAGO",60064
2022,"ABBVIE STEMCENTRX LLC",1,0,1,0,32,2222,IL,"NORTH CHICAGO",60064
2022,"ABBVIE US LLC AN ABBVIE COMPANY",5,0,17,0,32,5709,IL,"NORTH CHICAGO",60064
2022,"ABHAY SOLUTIONS INC",3,0,1,0,54,0743,IL,AURORA,60504
2022,"ABLE MASONRY DEVELOPMENT CO",1,0,0,0,23,1999,IL,ROMEOVILLE,60446
2022,"ABN AMRO CLEARING CHICAGO LLC",1,0,1,0,52,8071,IL,CHICAGO,60604
2022,"ABT ELECTRONICS INC",1,0,0,0,44,6342,IL,GLENVIEW,60025
2022,"ACADEMY HIGH SCHOOL",1,0,0,0,61,8992,IL,CHAMPAIGN,61820
2022,"ACCELERON CORP",0,0,1,0,99,9337,IL,CHICAGO,60654
2022,"ACCENTURE LLP",0,0,1,0,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP",13,0,71,0,54,2904,IL,CHICAGO,60661
2022,"ACCENTURE LLP",1082,6,1056,13,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP",0,0,1,0,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP",0,0,1,0,54,2904,IL,CHICAGO,60604
2022,"ACCENTURE LLP",0,0,1,0,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP",0,0,2,0,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP DBA IMAGINEA TECH",2,0,0,0,54,9204,IL,CHICAGO,60601
2022,"ACCESS COMMUNITY HEALTH NETWORK",2,0,2,0,62,7058,IL,CHICAGO,60661
2022,"ACCIONA ENERGY USA GLOBAL LLC",0,0,3,0,22,4628,IL,CHICAGO,60603
2022,"ACCO BRANDS USA LLC",0,0,1,0,54,7051,IL,"LAKE ZURICH",60047
2022,"ACCO BRANDS USA LLC",1,0,11,0,33,7051,IL,"LAKE ZURICH",60047
2022,"ACCURATE GROUP INC",1,0,1,0,54,6030,IL,LINCOLNSHIRE,60069
2022,"ACCURATE PERFORATING COMPANY",0,0,1,0,33,5799,IL,CHICAGO,60632
2022,"ACLARA TECHNOLOGIES LLC",0,0,1,0,33,6600,IL,"NEW BEDFORD",61346
2022,"ACLAT INC",6,0,0,0,54,1769,IL,"ARLINGTON HTS",60004
2022,"ACLAT INC",54,0,5,0,54,1769,IL,"ARLINGTON HEIGHTS",60004
2022,"ACTIVE WELLNESS LLC",1,0,0,0,62,8467,IL,CHICAGO,60614
2022,"ACTIVECAMPAIGN LLC",0,0,20,0,51,5482,IL,CHICAGO,60602
2022,"ACTONIA INC",0,0,1,0,54,5273,IL,CHICAGO,60602
2022,"ACULOCITY LLC",0,0,1,1,54,9068,IL,"HIGHLAND PARK",60035
2022,"ADAGE TECHNOLOGIES",0,0,1,0,54,7241,IL,CHICAGO,60606
2022,"ADAGE TECHNOLOGIES INC",0,0,2,0,54,7241,IL,CHICAGO,60606
2022,"ADELFIA LLC",3,0,0,0,54,9567,IL,CHICAGO,60601
2022,"ADEPTIA INC",0,0,1,0,51,6792,IL,CHICAGO,60604
2022,"ADEPTIA INC",0,0,1,0,51,6792,IL,CHICAGO,60654
2022,"ADIFICE LLC",3,0,0,0,54,8609,IL,CHICAGO,60601
2022,"ADIFICE LLC",0,1,0,0,54,8609,IL,NILES,60714
2022,"ADIFICE LLC DBA ADIFICE TECHNOLOGIES",0,1,0,0,54,8609,IL,NILES,60714
2022,"ADIFICE LLC DBA ADIFICE TECHNOLOGIES",1,0,0,0,54,8609,IL,CHICAGO,60601
2022,"ADLER UNIVERSITY",1,0,2,0,61,5281,IL,CHICAGO,60602
2022,"ADM INVESTOR SERVICES INC",0,0,1,0,31,5552,IL,CHICAGO,60604
2022,"ADTALEM GLOBAL EDUCATION INC",0,0,3,0,92,0143,IL,CHICAGO,60661
2022,"ADVANCE LIFTS INC",0,0,1,0,33,8813,IL,"ST CHARLES",60174
2022,"ADVANCED ANALYTICS LLC",0,0,1,0,54,7846,IL,CHICAGO,60606
2022,"ADVANCED CLINICAL LLC",0,0,1,0,54,5509,IL,DEERFIELD,60015
2022,"ADVANCED DENTAL SPECIALISTS LLC",0,0,1,0,62,3985,IL,EFFINGHAM,62401
2022,"ADVANCED FLOW SOLUTIONS INC",0,0,3,0,33,5720,IL,NORTHBROOK,60062
2022,"ADVANCED ORTHOPEDIC SPINE CARE SC",0,0,1,0,62,2533,IL,"OAK LAWN",60453
2022,"ADVANCED THERAPY SOLUTIONS LLC",0,0,1,0,62,5788,IL,HUNTLEY,60142
2022,"ADVANSOFT INTERNATIONAL INC",3,0,0,0,54,6928,IL,"ARLINGTON HTS",60005
2022,"ADVANSOFT INTERNATIONAL INC",3,0,11,1,54,6928,IL,"ARLINGTON HEIGHTS",60005
