"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"A PLACE FOR MOM INC",0,0,1,0,62,9153,KS,LEAWOOD,66211
2022,"ACROTEK IT SOLUTIONS INC",5,0,0,0,54,8395,KS,"OVERLAND PARK",66212
2022,"AD BANKER AND COMPANY LLC",0,0,2,0,61,2959,KS,"OVERLAND PARK",66213
2022,"AEROSOL RESEARCH AND ENGINEERING LABORATORIES INC",1,0,0,0,54,9895,KS,"OVERLAND PARK",66213
2022,"AGI SURETRACK LLC",0,0,1,0,11,0563,KS,"OVERLAND PARK",66214
2022,"AINSTEIN AI INC",0,0,1,0,54,6483,KS,LAWRENCE,66047
2022,"AINSTEIN AL INC",0,0,2,0,54,6483,KS,LAWRENCE,66047
2022,"ALABAMA INTERACTIVE LLC",1,0,0,0,54,2182,KS,OLATHE,66061
2022,"AMERICAN MULTI CINEMA INC",0,0,4,0,51,8577,KS,LEAWOOD,66211
2022,"ARANYA CLOUD TECHNOLOGIES LLC",5,0,1,0,54,8650,KS,"OVERLAND PARK",66210
2022,"ARIADNE SOFTWARE LLC",1,0,0,0,51,1089,KS,LAWRENCE,66044
2022,"ARTHRITIS AND RHEUMATOLOGY CLINICS",1,0,0,0,62,9877,KS,WICHITA,67206
2022,"ASCEND LEARNING LLC",0,0,1,0,61,2465,KS,LEAWOOD,66211
2022,"ASCENSION MEDICAL GRP VIA CHRISTI",0,0,3,0,62,3446,KS,WICHITA,67208
2022,"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN INC",0,0,1,0,62,6704,KS,MANHATTAN,66502
2022,"ASHATEK LLC",4,0,2,0,54,4075,KS,"OVERLAND PARK",66212
2022,"ASHLAND DISTRICT HOSPITAL DBA ASHLAND HEALTH CENTER",1,0,0,0,62,8752,KS,ASHLAND,67831
2022,"ASHLEY CLINIC, LLC",1,0,0,0,62,5463,KS,CHANUTE,66720
2022,"ATONIX DIGITAL LLC",0,0,1,0,54,6219,KS,STILWELL,66085
2022,"BARDAVON HEALTH INNOVATIONS",1,0,0,0,54,3357,KS,"OVERLAND PARK",66202
2022,"BASIL LLC",1,0,0,0,44,2758,KS,WICHITA,67206
2022,"BASYS PROCESSING INC",0,0,1,0,52,3775,KS,LENEXA,66219
2022,"BC CAPITAL INC",0,0,1,0,54,4598,KS,TOPEKA,66615
2022,"BENEDICTINE COLLEGE",1,0,1,0,61,7079,KS,ATCHISON,66002
2022,"BERKEL AND COMPANY CONTRACTORS INC",0,0,1,0,23,0969,KS,"BONNER SPRINGS",66012
2022,"BERRY GLOBAL INC",0,0,1,0,32,4673,KS,LAWRENCE,66049
2022,"BETHEL COLLEGE",1,1,0,0,61,3782,KS,"NORTH NEWTON",67117
2022,"BIOMUNE COMPANY D B A CEVA BIOMUNE",0,0,1,0,32,0160,KS,LENEXA,66215
2022,"BISHOP WARD HIGH SCHOOL",1,0,0,0,61,4353,KS,"KANSAS CITY",66102
