"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACCELTEK INC",1,0,0,0,54,8374,KY,LEXINGTON,40509
2022,"ACCOCIATES IN PEDIATRIC THERAPY LLC",0,0,1,0,62,5715,KY,SHELBYVILLE,40065
2022,"ACCURATE CORPORATION DBA JUMPIN JA",0,0,1,0,44,2780,KY,OWENSBORO,42301
2022,"ADVANCED ENERGY MATERIALS LLC",2,0,0,0,32,7472,KY,LOUISVILLE,40208
2022,"ADVENT FINANCIAL SYSTEMS LLC",0,1,0,0,54,5258,KY,ELIZABETHTOWN,42701
2022,"AG SCIENCE SOLUTIONS INC",1,0,0,0,33,5949,KY,FRANKLIN,42134
2022,"ALABAMA WIRE PRODUCTS LLC",0,0,1,0,33,9318,KY,ELIZABETHTOWN,42701
2022,"ALICE LLOYD COLLEGE",1,0,0,0,61,2351,KY,"PIPPA PASSES",41844
2022,"ALLTECH INC",2,0,0,0,54,7517,KY,NICHOLASVILLE,40356
2022,"ANDOVER MANAGEMENT GROUP KENTUCKY",1,0,0,0,53,9729,KY,LOUISVILLE,40202
2022,"ANSWERS IN GENESIS INC",0,0,1,0,81,6423,KY,HEBRON,41048
2022,"APERTURE CREDENTIALING LLC",1,0,2,0,52,5256,KY,LOUISVILLE,40223
2022,"APPALACHIAN REGIONAL HEALTHCARE IN",0,0,3,0,62,5508,KY,HAZARD,41701
2022,"APPALACHIAN REGIONAL HEALTHCARE INC",12,1,10,0,62,5508,KY,HAZARD,41701
2022,"APPHARVEST OPERATIONS INC",1,0,0,0,42,5929,KY,LEXINGTON,40507
2022,"APPHARVEST OPERATIONS INC",0,0,1,0,33,5929,KY,LEXINGTON,40507
2022,"ARISTECH SURFACES LLC",0,0,1,0,32,0321,KY,FLORENCE,41042
2022,"ASBURY UNIVERSITY",0,0,1,0,61,8355,KY,WILMORE,40390
2022,"ASHLAND INDEPENDENT SCHOOL DISTRICT",1,0,0,0,61,1384,KY,ASHLAND,41101
2022,"ASHUTOSH LOHE M D P SC",0,0,1,0,62,2287,KY,BARBOURVILLE,40906
2022,"ATRIA MANAGEMENT COMPANY LLC",1,0,0,0,55,1281,KY,LOUISVILLE,40202
2022,"BALLUFF INC",0,0,1,0,33,6111,KY,FLORENCE,41042
2022,"BAMBOO HEALTH INC",0,0,7,0,51,8737,KY,LOUISVILLE,40223
2022,"BAPTIST HEALTH MEDICAL GROUP INC",1,0,3,0,62,7203,KY,LOUISVILLE,40223
