"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"3IGEEKS LLC",0,0,2,0,54,6608,LA,"BATON ROUGE",70827
2022,"ACADEMY OF THE SACRED HEART OF GRAND COTEAU INC",0,0,1,0,61,1179,LA,"GRAND COTEAU",70541
2022,"ACADIANA PEDIATRIC GASTROENTEROLOG",1,0,0,0,56,8617,LA,LAFAYETTE,70506
2022,"ADVANCE PRODUCTS AND SYSTEMS LLC",0,0,1,0,23,0952,LA,SCOTT,70583
2022,"ADVOCATES FOR ARTS BASED EDUCATION",0,0,2,0,61,4839,LA,"NEW ORLEANS",70115
2022,"AFS LOGISTICS L L C",2,0,1,0,48,0766,LA,SHREVEPORT,71106
2022,"ALEXANDRIA CARDIOLOGY CLINIC",1,0,0,0,62,3344,LA,ALEXANDRIA,71301
2022,"AMEDISYS HOLDING LLC",0,0,14,1,62,6454,LA,"BATON ROUGE",70816
2022,"AMPIRICAL SERVICES INC",0,0,3,0,54,6134,LA,COVINGTON,70433
2022,"APTIM FEDERAL SERVICES LLC",0,0,3,0,54,2864,LA,"BATON ROUGE",70809
2022,"ASHAN ENTERPRISES LLC",1,0,0,0,44,0561,LA,"LAKE CHARLES",70601
2022,"AVANI SYSTEMS INC",6,0,5,0,54,0821,LA,LAFAYETTE,70508
2022,"AWC INC",0,0,1,0,42,5761,LA,"BATON ROUGE",70809
2022,"BATON ROUGE CLINIC AMC",1,0,5,0,62,1417,LA,"BATON ROUGE",70808
2022,"BATON ROUGE INTERNATIONAL SCHOOL",1,0,0,0,61,8287,LA,"BATON ROUGE",70809
2022,"BEAR PROCESS SAFETY LLC",1,0,0,0,54,1928,LA,"BATON ROUGE",70810
2022,"BENNY S CAR WASH LLC",1,0,0,0,42,3646,LA,"BATON ROUGE",70815
2022,"BENTELER STEEL TUBE MANUFACTURING",1,0,0,0,33,9333,LA,SHREVEPORT,71115
2022,"BENTELER STEEL TUBE MANUFACTURING CORP",1,0,2,0,33,9333,LA,SHREVEPORT,71115
2022,"BLUE VICTORY HOLDINGS INC",0,0,1,0,54,9633,LA,LAFAYETTE,70503
2022,"BOARD OF GOVERNORS OF DALLAS COUNT",0,0,1,0,62,9542,LA,LAFAYETTE,70508
2022,"BOLLINGER SHIPYARDS LLC",0,0,1,0,33,3961,LA,KRAEMER,70371
2022,"BONTON ASSOCIATES LLC",1,0,0,0,54,6730,LA,"BATON ROUGE",70801
2022,"BOSSIER PARISH COMMUNITY COLLEGE",1,0,0,0,61,0259,LA,"BOSSIER CITY",71111
2022,"BRASK INC",0,0,1,0,33,5569,LA,SULPHUR,70663
2022,"BRIS ENGINEERING LLC",1,0,0,0,54,7665,LA,"BATON ROUGE",70809
2022,"BRUCE PROFESSIONAL COUNSELING SERV",0,0,1,0,62,4193,LA,"NEW ORLEANS",70123
2022,"BRYAN D FISHER LLC",1,0,0,0,54,1021,LA,"BATON ROUGE",70808
2022,"BYRD MEDICAL CLINIC INC",1,0,0,0,62,0786,LA,LEESVILLE,71446
2022,"CALCASIEU PARISH SCHOOL BOARD",1,0,2,0,61,0235,LA,"LAKE CHARLES",70615
2022,"CALCASIEU PARISH SCHOOL BOARD",0,0,1,0,61,0235,LA,"LAKE CHARLES",70602
2022,"CARDIOVASCULAR INSTITUTE OF THE SOUTH APMC",0,0,4,0,62,3441,LA,HOUMA,70360
2022,"CDR GENERAL SERVICES LLC",1,0,0,0,56,5135,LA,PRAIRIEVILLE,70769
2022,"CENLA KIDNEY SPECIALISTS LLC",0,0,1,0,62,8234,LA,ALEXANDRIA,71301
2022,"CENTURY REHABILITATION OF TEXAS LL",0,0,1,0,62,4615,LA,"BATON ROUGE",70809
2022,"CENTURYLINK COMMUNICATIONS LLC",4,0,10,0,51,1739,LA,MONROE,71203
2022,"CHAMPION TECHNOLOGY SERVICES INC",1,0,3,0,54,8703,LA,"BATON ROUGE",70816
2022,"CHILDREN S HOSPITAL",0,0,1,0,62,7503,LA,"NEW ORLEANS",70118
2022,"CIPHERQORE SOLUTIONS INC",3,0,11,0,54,9706,LA,PRAIRIEVILLE,70769
2022,"CLECO SUPPORT GROUP LLC",1,0,1,0,22,0332,LA,PINEVILLE,71360
2022,"COASTAL GULF & INTERNATIONAL INC",1,0,0,0,54,6457,LA,LULING,70070
2022,"CODE WILLING LLC",1,0,0,0,54,6207,LA,"BATON ROUGE",70809
2022,"COMMUNITY COFFEE COMPANY LLC",0,0,1,0,31,8429,LA,"BATON ROUGE",70809
2022,"CONNECTICUT HOME HEALTH CARE DBA PATIENT CARE",0,0,1,0,62,4084,LA,LAFAYETTE,70508
2022,"CONNECTICUT HOME HEALTH CARE INC D",0,0,1,0,62,3720,LA,LAFAYETTE,70508
2022,"CRESCENT CITY PHYSICIANS INC",0,0,1,0,62,9878,LA,"NEW ORLEANS",70118
2022,"CRESCENT CITY SCHOOLS",0,0,1,0,61,1737,LA,"NEW ORLEANS",70117
2022,"CRESCENT COMMUNITY OUTREACH INC",1,0,0,0,62,8434,LA,"NEW ORLEANS",70127
2022,"CSE ICON INC",0,0,3,0,54,1164,LA,LAFAYETTE,70501
2022,"DAVID RAINES COMMUNITY HEALTH CENTER INC",0,0,1,0,62,0630,LA,SHREVEPORT,71107
2022,"DBSYSGRAPH INC",0,0,3,0,54,9413,LA,"BATON ROUGE",70810
2022,"DESIGN ENGINEERING INC",1,0,0,0,54,2573,LA,METAIRIE,70002
2022,"DESTINATION PET VETERINARY GROUP OF TEXAS PC",1,0,0,0,54,8962,LA,"BATON ROUGE",70808
2022,"DIGICOMM SYSTEMS INC",1,0,0,0,54,9647,LA,METAIRIE,70001
2022,"DIRECTMAIL IO LLC",1,0,0,0,54,1130,LA,MANDEVILLE,70448
2022,"DRAX BIOMASS INC",1,0,0,0,32,1042,LA,MONROE,71201
2022,"DUDLEY DEBOSIER APLC",0,0,1,0,54,7159,LA,"BATON ROUGE",70802
2022,"DYNO NOBEL LOUISIANA AMMONIA LLC",0,0,1,0,32,2328,LA,WESTWEGO,70094
2022,"EAST BATON ROUGE PARISH SCHOOL SYSTEMS",1,0,0,0,61,0353,LA,"BATON ROUGE",70806
2022,"EAST CARROLL PARISH SCHOOL BOARD",1,0,0,1,61,0362,LA,"LAKE PROVIDENCE",71254
2022,"ECOLE BILINGUE DE LA NOUVELLE ORLE",0,0,1,0,61,0328,LA,"NEW ORLEANS",70115
2022,"ECOLE BILINGUE DE LA NOUVELLE ORLEANS",2,0,2,0,61,0328,LA,"NEW ORLEANS",70115
2022,"EDG INC",0,0,3,0,54,7181,LA,METAIRIE,70002
2022,"EMERGENCY CARE MANAGEMENT LLC DBA",0,0,2,0,56,3519,LA,LAFAYETTE,70508
2022,"EMERGENT TALENT LLC",3,0,1,0,54,6421,LA,"BATON ROUGE",70801
