"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"14 WEST ADMINISTRATIVE SVCS LLC",0,0,2,0,51,5681,MD,BALTIMORE,21201
2022,"2U INC",0,0,2,0,54,5939,MD,LANHAM,20706
2022,"3CLOGIC INC",0,0,3,0,54,2278,MD,ROCKVILLE,20850
2022,"4A CONSULTING LLC",1,0,2,0,54,0172,MD,"ELLICOTT CITY",21043
2022,"4M HOSPITALIST SERVICES LLC",1,0,0,0,62,5283,MD,GERMANTOWN,20876
2022,"A MORTON THOMAS & ASSOCIATES INC",0,0,1,0,54,8302,MD,ROCKVILLE,20850
2022,"A P VENTURES LLC",0,0,2,0,54,2519,MD,COLUMBIA,21046
2022,"A SQUARE GROUP LLC",1,0,2,0,54,4429,MD,FREDERICK,21704
2022,"A10 CONSULTANCY INC",1,0,2,0,54,4763,MD,ABINGDON,21009
2022,"A2F CONSULTING LLC",3,0,0,0,52,8686,MD,ROCKVILLE,20850
2022,"ABILITIES PHYSICAL THERAPY INC DBA",1,0,0,0,62,2035,MD,DUNDALK,21222
2022,"ABSOLUTE REHABILITATIVE THERAPY INC",0,0,1,0,62,6364,MD,LANHAM,20706
2022,"ABT ASSOCIATES INC",1,0,3,0,54,7643,MD,ROCKVILLE,20852
2022,"ACCELERED LLC",0,0,1,0,54,5282,MD,BETHESDA,20814
2022,"ACCESSIBLE PHYSICAL THERAPY",2,0,0,0,62,6609,MD,"GLEN BURNIE",21061
2022,"ACCU-CRETE INC",0,0,1,0,23,6041,MD,"UPPER MARLBORO",20774
2022,"ACCVISOR INC DBA K K ACCOUNTING",1,0,0,0,54,7497,MD,"ELLICOTT CITY",21043
2022,"ACETECH GROUP CORPORATION",24,0,12,0,54,9621,MD,COLUMBIA,21044
2022,"ACETECH GROUP CORPORATION",1,0,2,1,54,9621,MD,FULTON,20759
2022,"ACSE SOLUTIONS LLC",3,0,2,0,54,1475,MD,"ELLICOTT CITY",21042
2022,"ACTALENT INC",8,0,3,0,54,1777,MD,HANOVER,21076
2022,"ACTALENT SERVICES LLC",12,0,21,2,54,3566,MD,HANOVER,21076
