"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"247JOBHUNT INC",1,0,0,0,54,1766,MI,LIVONIA,48186
2022,"24G LLC",1,0,0,0,54,1668,MI,TROY,48084
2022,"365 RETAIL MARKETS LLC",1,0,5,0,51,7511,MI,TROY,48084
2022,"365 RETAIL MARKETS LLC",0,0,1,0,54,7511,MI,TROY,48084
2022,"3R INFO LLC",2,0,6,0,54,6601,MI,CANTON,48187
2022,"4 SERV SOLUTIONS INC",3,0,3,0,54,1906,MI,WIXOM,48393
2022,"4-SERV SOLUTIONS, INC.",2,0,0,0,54,1906,MI,WIXOM,48393
2022,"4D SYSTEMS LLC",0,0,1,0,54,2589,MI,"FLINT TOWNSHIP",48507
2022,"4D SYSTEMS LLC",2,0,0,0,54,2589,MI,FLINT,48507
2022,"9DOTS TECHNOLOGY INC",1,1,0,0,54,5733,MI,"FARMINGTN HLS",48335
2022,"9DOTS TECHNOLOGY INC",3,0,1,0,54,5733,MI,FARMINGTON,48335
2022,"A LINE STAFFING SOLUTIONS LLC",0,0,1,0,56,9647,MI,UTICA,48317
2022,"A1 PHYSICAL THERAPY INC",0,0,1,0,62,3741,MI,KALAMAZOO,49048
2022,"A123 SYSTEMS LLC",6,0,9,0,33,4405,MI,NOVI,48377
2022,"A2MAC1 LLC",1,0,0,0,42,2503,MI,BELLEVILLE,48111
2022,"AAA LIFE INSURANCE COMPANY",0,0,1,1,52,1929,MI,LIVONIA,48152
2022,"ABAB SOLUTIONS INC",1,0,2,0,54,3181,MI,NOVI,48375
2022,"ABACUS SERVICE CORPORATION",1,0,0,0,54,0203,MI,SOUTHFIELD,48033
2022,"ABILITY WORKS REHAB SERVICES LLC",0,0,4,1,62,9059,MI,"FARMINGTON HILLS",48334
2022,"ABILITY WORKS REHAB SERVICES LLC",0,0,1,0,62,9059,MI,FARMINGTON,48334
2022,"ABM HEALTHCARE SUPPORT SERVICES",0,0,1,0,54,3907,MI,"SAINT CLAIR SHORES",48080
2022,"ABSOMAX INC",0,0,1,0,54,0396,MI,NOVI,48375
2022,"ACADEMY OF THE SACRED HEART",3,0,0,0,61,8173,MI,"BLOOMFIELD HILLS",48304
2022,"ACCENZ LLC",1,0,0,0,54,6131,MI,TROY,48083
2022,"ACCESS PLUS REHAB LLC",0,0,1,0,54,7581,MI,DEARBORN,48126
2022,"ACCIDENT FUND INSURANCE COMPANY OF AMERICA",1,0,6,0,52,7001,MI,LANSING,48933
2022,"ACE CONTROLS INC",0,0,1,0,33,4380,MI,"FARMINGTON HILLS",48335
2022,"ACE HOME CARE NETWORK INC",0,0,1,0,62,8178,MI,"MADISON HEIGHTS",48071
2022,"ACER DATA LABS INC",0,0,1,0,54,7599,MI,NOVI,48375
2022,"ACHIEVE REHAB INC",1,0,0,0,62,4358,MI,FARMINGTON,48334
2022,"ACRO SERVICE CORPORATION",4,0,0,0,56,3629,MI,LIVONIA,48152
2022,"ACRO SERVICE CORPORATION",6,0,4,0,54,3629,MI,LIVONIA,48152
2022,"ACS IT INC",0,0,2,0,54,1030,MI,TROY,48083
2022,"ACUBAHN INC",3,0,0,0,54,4648,MI,SOUTHFIELD,48075
2022,"ADAPT TECHNOLOGY LLC",1,0,1,0,54,6859,MI,"AUBURN HILLS",48326
2022,"ADIENT US LLC",4,0,20,0,33,0735,MI,PLYMOUTH,48170
2022,"ADMIRE DENTAL OF MICHIGAN PLLC DBA ADMIRE DENTAL",1,0,0,0,62,8799,MI,SOUTHGATE,48195
2022,"ADRIAN COLLEGE",1,0,0,0,61,7980,MI,ADRIAN,49221
