"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"3BRIDGE SOLUTIONS LLC DBA THREEBRI",1,0,1,0,54,3477,MN,MINNEAPOLIS,55402
2022,"3M COMPANY",23,1,24,0,33,7775,MN,"SAINT PAUL",55144
2022,"3M COMPANY",0,0,5,0,33,7775,MN,"ST PAUL",55144
2022,"AB CARVAL INVESTORS LP",0,0,1,0,52,3520,MN,MINNEAPOLIS,55416
2022,"ABOUT HEALTHCARE INC",0,0,1,0,52,2899,MN,"ST PAUL",55102
2022,"ABOUT HEALTHCARE INC",0,0,1,0,52,2899,MN,"SAINT PAUL",55102
2022,"ACCENTURE LLP",0,0,1,0,54,2904,MN,EDINA,55435
2022,"ACHIEVE TWIN CITIES",0,0,1,0,61,5264,MN,MINNEAPOLIS,55414
2022,"ADOLFSON PETERSON INC",0,0,1,0,23,1300,MN,MINNEAPOLIS,55416
2022,"AFFINITY PLUS FEDERAL CREDIT UNION",0,0,2,0,52,7541,MN,"SAINT PAUL",55107
2022,"AGENCY SQUID LLC",0,0,1,0,54,1281,MN,MINNEAPOLIS,55406
2022,"AGILEITSERVICE LLC",1,0,5,0,54,5187,MN,"APPLE VALLEY",55124
2022,"AGILEITSERVICE LLC",6,0,3,0,54,5187,MN,"SAINT PAUL",55124
2022,"AGILITI HEALTH INC",1,0,0,0,53,0940,MN,"EDEN PRAIRIE",55344
2022,"ALBERT LEA AREA SCHOOLS",0,0,1,0,61,1171,MN,"ALBERT LEA",56007
2022,"ALDRICH BOARDING CARE HOME LLC DBA",1,0,0,0,62,2011,MN,"SAINT PAUL",55104
2022,"ALEVAR TECHNOLOGIES INC",1,0,0,0,54,6648,MN,EAGAN,55121
2022,"ALEVAR TECHNOLOGIES INC",0,0,2,0,54,6648,MN,"SAINT PAUL",55121
2022,"ALLINA HEALTH SYSTEM",3,0,5,0,62,1413,MN,MINNEAPOLIS,55407
2022,"ALLINA HEALTH SYSTEM",0,0,1,0,62,1413,MN,MINNEAPOLIS,55430
2022,"ALLINA HLTH SYS",0,0,1,0,62,1413,MN,MINNEAPOLIS,55407
2022,"ALLINA HLTH SYS",0,0,1,0,62,1413,MN,MINNEAPOLIS,55430
2022,"AMER ACAD OF TRAD CHI MEDICINE INC",0,0,0,1,62,8683,MN,ROSEVILLE,55113
2022,"AMERICAN ACADEMY TRAD CHINESE MED",1,0,0,1,62,8683,MN,ROSEVILLE,55113
2022,"AMERICAN ENTERPRISE INVESTMENT",0,0,1,0,52,7086,MN,MINNEAPOLIS,55474
2022,"AMERICAN SPIRIT CORPORATION",0,0,1,0,54,2476,MN,"EDEN PRAIRIE",55344
2022,"AMERIPRISE FINANCIAL INC",7,0,67,1,52,0631,MN,MINNEAPOLIS,55474
2022,"AMERIPRISE FINANCIAL SERVICES LLC",1,0,2,0,52,3005,MN,MINNEAPOLIS,55474
2022,"AMES CONSTRUCTION INC",0,0,3,0,23,1375,MN,BURNSVILLE,55337
2022,"AMES CONSTRUCTION INC",0,0,1,0,99,1375,MN,BURNSVILLE,55337
2022,"AMHERST H WILDER FOUNDATION",0,0,1,0,81,3889,MN,"SAINT PAUL",55104
2022,"ANDERSEN CORPORATION",0,0,1,0,32,3208,MN,BAYPORT,55003
2022,"ANDERSEN CORPORATION",1,0,5,0,32,3208,MN,"OAK PARK HEIGHTS",55082
2022,"ANIP ACQUISITIONS INC",17,3,4,0,32,8920,MN,BAUDETTE,56623
