"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"3B STAFFING LLC",3,0,0,0,54,8045,NJ,NEWARK,07102
2022,"3B STAFFING LLC",1,1,4,0,54,8045,NJ,ISELIN,08830
2022,"3EDGEUSA GROUP LLC",2,2,0,0,54,4749,NJ,PISCATAWAY,08854
2022,"3I INFOTECH INC",19,1,65,1,54,3452,NJ,EDISON,08837
2022,"6COM INC",0,0,5,0,54,1629,NJ,PISCATAWAY,08854
2022,"6COM, INC.",0,0,1,0,54,1629,NJ,PISCATAWAY,08854
2022,"A & R INFOTECH INC",0,0,1,0,54,8468,NJ,ISELIN,08830
2022,"A J CONSULTING ENGINEERING SERVICES P C",0,0,4,0,54,6624,NJ,CLIFTON,07012
2022,"A J CONSULTING ENGRG SERVICES PC",0,0,2,0,54,6624,NJ,CLIFTON,07012
2022,"A P REHAB LLC",0,0,1,0,62,3478,NJ,"ENGLEWOOD CLIFFS",07632
2022,"A4G SOLUTIONS LLC",10,0,0,0,54,9588,NJ,"MONMOUTH JUNCTION",08852
2022,"A4G SOLUTIONS LLC",1,0,0,0,54,9588,NJ,"MONMOUTH JCT",08852
2022,"A4G SOLUTIONS LLC",1,0,0,0,54,9588,NJ,"MONMOUTH JN",08852
2022,"A4SOFTECH LLC",0,0,5,0,54,9334,NJ,PARSIPPANY,07054
2022,"AAA ELECTRONICS INC",1,0,0,0,42,5904,NJ,"EAST HANOVER",07936
2022,"AABACO SMALL BUSINESS LLC",0,0,2,0,51,9723,NJ,"BASKING RIDGE",07920
2022,"AACE PHARMACEUTICALS INC",1,0,2,0,32,6016,NJ,FAIRFIELD,07004
2022,"AADHICK SOLUTIONS INC",1,0,0,0,54,6042,NJ,PISCATAWAY,08854
2022,"AARAV SOLUTIONS INC",4,0,3,0,54,4282,NJ,ISELIN,08830
2022,"AARIA PHYSICAL THERAPY INC",0,0,1,0,62,8950,NJ,EDISON,08820
2022,"AARKAY CONSULTING INC",0,0,1,0,54,3370,NJ,"EAST BRUNSWICK",08816
2022,"AARKISH PHARMACEUTICALS NJ INC",0,0,2,0,32,1886,NJ,FAIRFIELD,07004
2022,"AASRITA CONSULTING LLC",7,0,1,0,54,1788,NJ,ISELIN,08830
2022,"AAVAS INC",0,0,1,0,54,1801,NJ,PARLIN,08859
2022,"AB ENERGY USA LLC",1,0,0,0,54,4893,NJ,"PINE BROOK",07058
2022,"AB INFOTEK LLC",2,0,2,0,54,8822,NJ,ISELIN,08830
2022,"ABAL TECHNOLOGIES INC",2,0,20,0,54,6024,NJ,HAMILTON,08619
2022,"ABAL TECHNOLOGIES INC",1,0,6,1,54,6024,NJ,TRENTON,08619
2022,"ABBY ROSE INC",1,0,0,0,42,8980,NJ,YARDVILLE,08691
2022,"ABON PHARMACEUTICALS LLC",0,0,1,0,32,0525,NJ,NORTHVALE,07647
2022,"ABOVE AND BEYOND BUS TOOLS AND",0,0,1,0,52,7537,NJ,PRINCETON,08540
2022,"ABOVE AND BEYOND BUSINESS TOOLS AND SERVICES FOR ENTREPRENEURS INC",0,0,2,0,52,7537,NJ,PRINCETON,08540
2022,"AC INFINITY CONSTRUCTION LLC",0,0,3,0,54,1199,NJ,BOONTON,07005
2022,"ACADEMY DENTAL OF HAMILTON PA",0,0,1,0,62,4013,NJ,TRENTON,08619
2022,"ACCELERATED TECHNOLOGIES INC",5,0,3,0,54,5726,NJ,PRINCETON,08540
2022,"ACCESS BIO INC",1,0,1,0,54,5083,NJ,SOMERSET,08873
2022,"ACCLARENT INC",0,0,1,0,32,2549,NJ,"NEW BRUNSWICK",08933
2022,"ACCODIAN LLC",1,0,2,0,54,9300,NJ,"SOUTH PLAINFIELD",07080
2022,"ACCODIAN LLC",1,0,0,0,54,9300,NJ,"S PLAINFIELD",07080
2022,"ACCODIAN LLC",1,0,0,0,54,9300,NJ,HILLSBOROUGH,08844
2022,"ACCORD POWER INC",0,0,1,0,22,2656,NJ,SOMERSET,08873
2022,"ACCU REFERENCE MEDICAL LABORATORY LLC",1,0,0,0,62,6503,NJ,LINDEN,07036
2022,"ACCURANT BIOTECH INC",0,0,1,0,54,6293,NJ,CRANBURY,08512
2022,"ACE SOFTWARE SOLUTIONS INC",0,0,1,0,54,3451,NJ,ISELIN,08830
2022,"ACEQUEST CORPORATION",2,0,2,0,54,3250,NJ,PISCATAWAY,08854
2022,"ACI INFOTECH INC",8,0,9,0,54,0269,NJ,PISCATAWAY,08854
2022,"ACME PLASTICS OF NEW JERSEY INC",0,0,1,0,42,3493,NJ,"WOODLAND PARK",07424
2022,"ACQUIFIN INC",1,0,0,0,54,9061,NJ,"TOMS RIVER",08754
2022,"ACRONOTICS INC",1,0,0,0,54,2339,NJ,MILLBURN,07041
2022,"ACTAVIS LABORATORIES FL INC",1,0,2,0,32,3602,NJ,PARSIPPANY,07054
2022,"ACTIMIZE INC",2,0,17,0,54,3489,NJ,HOBOKEN,07030
