"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACME WORLDWIDE ENTERPRISES INC",0,0,1,0,54,6034,NM,ALBUQUERQUE,87106
2022,"ADVANCED NETWORK MANAGEMENT INC",0,0,5,0,54,7142,NM,ALBUQUERQUE,87109
2022,"AFFORDABLE SOLAR",0,0,1,0,23,2742,NM,ALBUQUERQUE,87109
2022,"ALBUQUERQUE PUBLIC SCHOOLS",2,0,0,0,61,0101,NM,ALBUQUERQUE,87125
2022,"ALBUQUERQUE SCHOOL OF EXCELLENCE",0,0,1,0,61,6803,NM,ALBUQUERQUE,87112
2022,"ANTOINE PREDOCK ARCHITECT PC",1,0,0,0,54,0855,NM,ALBUQUERQUE,87120
2022,"APPLIED RESEARCH ASSOCIATES INC",3,0,1,0,54,6434,NM,ALBUQUERQUE,87110
2022,"ARMAND HAMMER UNITED WORLD COLLEGE OF THE AMERICAN WEST DBA UWC USA",1,0,0,0,61,7355,NM,MONTEZUMA,87731
2022,"ARRAY TECHNOLOGIES INC",0,0,4,0,33,2479,NM,ALBUQUERQUE,87109
2022,"ARRAY TECHNOLOGIES INC",0,0,1,0,33,7826,NM,ALBUQUERQUE,87109
2022,"ATKIN OLSHIN SCHADE ARCHITECTS INC",1,0,0,0,54,6616,NM,"SANTA FE",87505
2022,"BERNALILLO PUBLIC SCHOOLS",3,0,0,0,61,0791,NM,BERNALILLO,87004
2022,"BESTCARE HIGHLAND LLC DBA HIGHLAND PHARMACY",2,0,0,0,44,6756,NM,ALBUQUERQUE,87102
2022,"BESTCARE PHARMACY GRANTS LLC DBA PARKHURST PHARMACY",1,0,0,0,44,3385,NM,GRANTS,87020
2022,"BIOTECTURE PLANET EARTH INC",1,0,0,0,81,0704,NM,"EL PRADO",87529
2022,"BOHANNAN HUSTON INC",1,0,0,0,54,2170,NM,ALBUQUERQUE,87109
2022,"BRIGHT PATH LABORATORIES INC",1,0,1,0,32,2408,NM,"SANTA FE",87507
2022,"BUILD WITH ROBOTS INC",0,0,1,0,33,4750,NM,ALBUQUERQUE,87102
2022,"CENTRAL CONSOLIDATED SCHOOL DIST",0,0,1,0,61,0095,NM,SHIPROCK,87420
2022,"CENTRAL CONSOLIDATED SCHOOL DISTRI",0,0,3,0,61,0095,NM,SHIPROCK,87420
2022,"CENTRAL NEW MEXICO COMMUNITY COLLEGE CNM",1,0,0,0,61,2915,NM,ALBUQUERQUE,87106
2022,"CHAMA VALLEY SCHOOLS",2,0,2,0,61,4573,NM,"TIERRA AMARILLA",87575
2022,"CITY OF ESPANOLA",1,0,0,0,54,0752,NM,ESPANOLA,87532
2022,"CITY OF GALLUP",0,0,1,0,92,0132,NM,GALLUP,87301
2022,"CLAYTON HEALTH SYSTEMS INC D/B/A UNION COUNTY GENERAL HOSPITAL",1,0,0,0,62,2957,NM,CLAYTON,88415
2022,"CUBA INDIPENDENT SCHOOL DISTRICT",1,0,1,0,61,3381,NM,CUBA,87013
2022,DEKKER/PERICH/SABATINI,0,0,1,0,54,7023,NM,ALBUQUERQUE,87109
2022,"DEMING PUBLIC SCHOOLS",1,0,0,0,61,0122,NM,DEMING,88030
2022,"DESCARTES LABS",0,0,1,0,54,2940,NM,"SANTA FE",87505
