"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"21MEDTECH LLC",0,0,1,0,33,2105,NC,DURHAM,27703
2022,"21MEDTECH LLC D/B/A VIAMER BIOSCIENCES",0,0,1,0,32,2105,NC,DURHAM,27703
2022,"21MEDTECH LLC D/B/A VIAMER BIOSCIENCES",0,0,1,0,33,2105,NC,DURHAM,27703
2022,"3 DOTS IT SOLUTIONS LLC",0,0,0,1,54,2293,NC,CARY,27519
2022,"3ITEK LLC",2,0,3,0,54,3782,NC,CHARLOTTE,28262
2022,"9M SOLUTIONS INC",5,0,6,0,54,4057,NC,CHARLOTTE,28217
2022,"A I ARTIST STUDIO INC",1,0,0,0,61,7041,NC,MATTHEWS,28105
2022,"AADHYA INFOTECH LLC",7,0,0,0,54,9089,NC,CHARLOTTE,28262
2022,"ABB E-MOBILITY INC",2,0,3,0,33,8240,NC,CARY,27511
2022,"ABB ENTERPRISE SOFTWARE INC DBA HI",0,0,6,0,22,3443,NC,RALEIGH,27606
2022,"ABB INC",16,0,36,1,33,0018,NC,CARY,27511
2022,"ACADEMIC ANALYTICS, LLC",1,0,0,0,54,9138,NC,CHARLOTTE,28277
2022,"ACCENTUATE STAFFING INC",0,0,1,0,56,1632,NC,RALEIGH,27612
2022,"ACCRUE SELECT INC",1,0,0,0,54,8097,NC,CARY,27519
2022,"ACCUPATH DIAGNOSTIC LABORATORIES I",0,0,1,0,62,1972,NC,BURLINGTON,27215
2022,"ACCUPATH DIAGNOSTIC LABORATORIES INC A LABCORP SUBSIDIARY",0,0,2,0,62,1972,NC,BURLINGTON,27215
2022,"ACOUSTICAL CONSULTANTS INC DBA STEWART ACOUSTICAL CONSULTANTS",1,0,0,0,54,2012,NC,RALEIGH,27607
2022,"ACR TECHNOLOGY LLC",1,0,0,0,54,5664,NC,CARY,27518
2022,"ACR TECHNOLOGY LLC",3,0,3,0,54,8664,NC,CARY,27518
2022,"ACURIAN INC",0,0,2,0,99,7455,NC,WILMINGTON,28401
2022,"ADDEPTO IT SOLUTIONS LLC",15,6,15,4,54,9649,NC,CHARLOTTE,28262
