"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"701X INC",1,0,0,0,51,3517,ND,FARGO,58103
2022,"7CINFO COM INC",5,1,0,0,54,8168,ND,FARGO,58103
2022,"7CINFO COM INC",0,1,0,0,54,8168,ND,"WEST FARGO",58078
2022,"AIRTONOMY INC",2,0,0,0,54,4963,ND,"GRAND FORKS",58202
2022,"AIRTONOMY INC",0,0,1,0,51,4963,ND,"GRAND FORKS",58202
2022,"ALDEVRON LLC",1,0,0,0,54,1327,ND,FARGO,58104
2022,"ALEXANDER SCHOOL DISTRICT",0,0,1,0,61,2013,ND,ALEXANDER,58831
2022,"ALTRU HEALTH SYSTEM",2,0,6,0,62,0462,ND,"GRAND FORKS",58201
2022,"APPAREO SYSTEMS LLC",0,0,1,0,54,0110,ND,FARGO,58102
2022,"AUTO PILOT MED TECHNOLOGIES INC D/",0,0,0,1,51,6962,ND,FARGO,58102
2022,"BISMARCK PUBLIC SCHOOL DISTRICT NO 1",1,0,0,0,61,0242,ND,BISMARCK,58501
2022,"BLUE CROSS BLUE SHIELD OF ND",0,0,0,1,52,3185,ND,FARGO,58121
2022,"BLUECHIP FINANCIAL",1,0,0,0,52,7294,ND,BELCOURT,58316
2022,"BORDER STATES INDUSTRIES INC",1,0,4,0,42,5004,ND,FARGO,58104
2022,"BUSHEL INC",1,0,0,0,54,7278,ND,FARGO,58102
2022,"CHI OAKES HOSPITAL",1,0,0,0,62,1675,ND,OAKES,58474
2022,"CHI ST ALEXIUS HEALTH",0,0,1,0,62,6711,ND,"TURTLE LAKE",58575
2022,"CHI ST ALEXIUS HEALTH",5,0,3,1,62,6711,ND,BISMARCK,58501
2022,"CHI ST ALEXIUS HEALTH D/B/A ST ALEXIUS MED CTR",1,0,0,1,62,6711,ND,BISMARCK,58501
