"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"360 ENGINEERING GROUP, PLLC",1,0,0,0,54,2416,OK,TULSA,74120
2022,"A & M ENGINEERING AND ENVIRONMENTAL SERVICES INC",0,0,1,0,23,5099,OK,TULSA,74128
2022,"ADVANCED FLOW SOLUTIONS INC",1,0,0,0,33,5720,OK,"OKLAHOMA CITY",73131
2022,"ADVANCED KNOWLEDGE TECH LLC",0,0,3,1,54,8698,OK,ARDMORE,73401
2022,"ADVANCED NEURO SOLUTIONS LLC",0,0,1,0,62,8018,OK,TULSA,74119
2022,"AHS OKLAHOMA HEART LLC D/B/A OKLAH",0,0,1,0,62,,OK,TULSA,74104
2022,"AIRGO SYSTEMS LLC DBA DROV TECHS",1,0,1,0,33,0030,OK,"OKLAHOMA CITY",73128
2022,"ALLIANCE STEEL INC",1,0,1,0,33,2038,OK,"OKLAHOMA CITY",73179
2022,"AMERICAN FIDELITY ASSURANCE COMPAN",0,0,1,0,52,4500,OK,"OKLAHOMA CITY",73114
2022,"AMERICAN FIDELITY ASSURANCE COMPANY",0,0,3,0,52,4500,OK,"OKLAHOMA CITY",73114
2022,"AMERICAN PRECIOUS METALS EXCHANGE INC",0,0,2,0,42,4020,OK,"OKLAHOMA CITY",73102
2022,"ARL BIO PHARMA INC",0,0,4,0,54,8108,OK,"OKLAHOMA CITY",73104
2022,"ASC INC",0,0,1,0,33,0475,OK,TULSA,74132
2022,"AVARA PHARMACEUTICAL TECHNOLOGIES",0,0,1,0,32,3961,OK,NORMAN,73072
2022,"AVARA PHARMACEUTICAL TECHNOLOGIES INC",0,0,2,0,32,3961,OK,NORMAN,73072
2022,"AXEL ROYAL LLC",0,0,1,0,32,4890,OK,TULSA,74127
2022,"B AND T GROUP",0,0,2,0,54,4683,OK,TULSA,74119
2022,"BEALS CUNNINGHAM ADVERTISING AGENC",0,0,1,0,54,7241,OK,"OKLAHOMA CITY",73131
2022,"BOFK NA",0,0,1,0,52,0382,OK,TULSA,74172
2022,"BOKF NA DBA BANK OF OK AND AFFILATES",0,0,2,0,52,0382,OK,TULSA,74172
2022,"BORN INC",0,0,2,0,54,1028,OK,TULSA,74107
2022,"BORN INC",0,0,1,0,33,1028,OK,TULSA,74107
2022,"BUSINESS IMAGING SYSTEMS INC",0,0,1,0,51,4116,OK,EDMOND,73013
2022,"CANADIAN VALLEY ELECTRIC COOPERATI",1,0,0,0,22,1526,OK,SEMINOLE,74818
2022,"CAPTION MANAGEMENT, LLC",1,0,0,0,52,7359,OK,"OKLAHOMA CITY",73102
2022,"CARDIOVASCULAR HEALTH CLINIC PLLC",0,0,1,0,62,6676,OK,"OKLAHOMA CITY",73134
2022,"CB FIRM LLC",1,0,0,0,54,2516,OK,"OKLAHOMA CITY",73114
2022,"CENTRAL OKLAHOMA AMERICAN INDIAN H",0,0,1,0,62,5756,OK,"OKLAHOMA CITY",73127
2022,"CENTRAL OKLAHOMA AMERICAN INDIAN HEALTH COUNCIL INC D/B/A OKLAHOMA CITY INDIAN CLINIC",0,0,2,0,62,5756,OK,"OKLAHOMA CITY",73127
2022,"CENTRAL RURAL ELECTRIC COOPERATIVE",0,0,1,0,22,7775,OK,STILLWATER,74074
2022,"CHEROKEE NATION ASSURANCE LLC",0,0,2,0,54,4424,OK,CATOOSA,74015
2022,"CHEROKEE NATION OPERATIONAL SOLUTI",0,0,1,0,54,6984,OK,CATOOSA,74015
2022,"CHESAPEAKE OPERATING LLC",1,0,0,0,21,3196,OK,"OKLAHOMA CITY",73118
2022,"CHILDRENS HOUSE OF NORMAN INC",0,0,1,0,61,7044,OK,NORMAN,73071
2022,"CHOCTAW MEMORIAL HOSPITAL",2,0,0,0,62,0815,OK,HUGO,74743
2022,"CHOCTAW NATION OF OKLAHOMA",0,0,6,0,92,7979,OK,DURANT,74701
2022,"CHOCTAW NATION OF OKLAHOMA",0,0,1,0,92,7979,OK,TALIHINA,74571
2022,"CHOCTOW NATION HEALTH SERVICES AUT",0,0,1,0,92,7979,OK,DURANT,74701
2022,"CHOCTOW NATION HEALTH SERVICES AUT",0,0,1,0,92,7979,OK,TALIHINA,74571
2022,"CIBER PATHWAY INC",2,0,0,0,54,3738,OK,"OKLAHOMA CITY",73132
2022,"CITIZEN POTAWATOMI NATION DEPT OF ECONOMIC PLANNING",0,0,1,0,92,5447,OK,SHAWNEE,74801
2022,"CITY OF LAWTON",0,0,1,0,54,5287,OK,LAWTON,73501
2022,"CLIMATECRAFT INC",0,0,1,0,33,7959,OK,"OKLAHOMA CITY",73128
2022,"CLIMATEMASTER INC",1,0,0,0,33,7025,OK,"OKLAHOMA CITY",73179
2022,"CLOUD BIG DATA TECHNOLOGIES LLC",1,0,0,0,54,0629,OK,DURANT,74701
2022,"COLLEGE BOUND ACADEMY",1,0,0,0,61,7438,OK,TULSA,74129
2022,"COMANCHE COUNTY HOSP AUTHORITY D/B",4,0,1,0,62,1037,OK,LAWTON,73505
2022,"COMANCHE COUNTY HOSPITAL AUTHORITY",7,0,3,0,62,1037,OK,LAWTON,73505
2022,"COMANCHE COUNTY HOSPITAL AUTHORITY D/B/A COMANCHE COUNTY MEMORIAL HOSPITAL",11,0,8,0,62,1037,OK,LAWTON,73505
2022,"COMMUNITYCARE MANAGED HEALTHCARE PLANS OF OKLAHOMA",1,0,0,0,52,3979,OK,TULSA,74103
2022,"CONSUMERS UNIFIED LLC",1,0,0,0,54,1935,OK,TULSA,74120
2022,"CONTINENTAL RESOURCES INC",0,0,1,0,21,7549,OK,"OKLAHOMA CITY",73102
2022,"CORKEN INC",1,0,0,0,33,5720,OK,"OKLAHOMA CITY",73131
2022,"CPU PARTNERSHIP",0,0,1,0,54,9692,OK,"OKLAHOMA CITY",73112
2022,"CREOKS BEHAVIORAL HEALTH DBA CREOK",0,0,1,0,62,8774,OK,TULSA,74135
2022,"CROWE & DUNLEVY PC",0,0,1,0,54,5796,OK,"OKLAHOMA CITY",73102
2022,"CUYANA INC",0,0,1,0,44,9920,OK,TULSA,74102
2022,"CYTOVANCE BIOLOGICS INC",0,0,1,0,32,3209,OK,"OKLAHOMA CITY",73104
2022,"D A FLORES LLC",1,0,0,0,61,0119,OK,STILLWATER,74074
2022,"DATA3 CORPORATION",0,0,1,0,54,6366,OK,TULSA,74137
2022,"DEAN MCGEE EYE INSTITUTE",1,0,0,0,54,9395,OK,"OKLAHOMA CITY",73104
2022,"DEVCO PROCESS HEATERS LLC",0,0,1,0,54,7262,OK,TULSA,74136
2022,"DEVON ENERGY CORPORATION",0,0,3,0,21,7067,OK,"OKLAHOMA CITY",73102
2022,"DOVE SCHOOLS INC",12,0,4,1,61,8666,OK,"OKLAHOMA CITY",73131
2022,"DOVE VENTURES LLC",1,0,0,0,52,7660,OK,YUKON,73099
2022,"DOWNING WELLHEAD EQUIPMENT LLC",1,0,0,0,21,1350,OK,"OKLAHOMA CITY",73112
