"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ADVANCED PRINT TECHNOLOGIES",0,0,1,0,42,2751,RI,"EAST PROVIDENCE",02914
2022,"AETNA INTERNATIONAL INC",1,0,1,0,52,1642,RI,WOONSOCKET,02895
2022,"AETNA MEDICAID ADMINISTRATORS LLC",3,0,3,0,52,2559,RI,WOONSOCKET,02895
2022,"AETNA RESOURCES LLC",52,0,276,2,52,3207,RI,WOONSOCKET,02895
2022,"AETNA RESOURCES LLC",0,0,1,0,52,9919,RI,WOONSOCKET,02895
2022,"AETNA RESOURCES LLC",0,0,1,0,52,3200,RI,WOONSOCKET,02895
2022,"AETNA RESOURCES LLC",0,0,2,0,44,3207,RI,WOONSOCKET,02895
2022,"AFFINITY PHYSICIANS LLC D/B/A CARE",0,0,3,0,62,7996,RI,PROVIDENCE,02905
2022,"AFFINITY PHYSICIANS LLC D/B/A CARE NEW ENGLAND MEDICAL GROUP LLC",0,0,1,0,62,7996,RI,WARWICK,02886
2022,"AFFINITY PHYSICIANS LLC D/B/A CARE NEW ENGLAND MEDICAL GROUP LLC",0,0,4,0,62,7996,RI,PROVIDENCE,02905
2022,"AFFINITY PHYSICIANS LLC D/B/A CARE NEW ENGLAND MEDICAL GROUP LLC",3,0,1,0,62,7996,RI,PROVIDENCE,02906
2022,"AMICA MUTUAL INSURANCE COMPANY",6,0,13,0,52,8344,RI,LINCOLN,02865
2022,"ANALYTIQS INC",2,0,0,0,54,1488,RI,PROVIDENCE,02904
2022,"ASTHMA & ALLERGY PHYSICIANS OF RHODE ISLAND INC",1,0,0,0,62,3760,RI,WARWICK,02886
2022,"BARRINGTON PUBLIC SCHOOL",1,0,0,0,61,0024,RI,BARRINGTON,02806
2022,"BETWORKS LLC",0,0,1,0,51,6058,RI,PROVIDENCE,02903
2022,"BLUE CROSS & BLUE SHIELD OF RI",0,0,1,0,52,8952,RI,PROVIDENCE,02903
2022,"BLUE MOON INDUSTRIES INC",1,0,0,0,54,7729,RI,PROVIDENCE,02908
2022,"BREWSTER THORNTON GR ARCHITECTS LL",0,0,1,0,54,2547,RI,PROVIDENCE,02908
2022,"BROWN DERMATOLOGY",2,0,0,0,62,7155,RI,PROVIDENCE,02903
2022,"BROWN MEDICINE",8,0,3,0,62,0410,RI,PROVIDENCE,02903
2022,"BROWN NEUROLOGY",2,0,2,0,62,8314,RI,PROVIDENCE,02903
2022,"BROWN SURGICAL ASSOCIATES",1,0,1,0,62,9803,RI,RUMFORD,02916
2022,"BROWN UNIVERSITY",39,0,42,4,61,8809,RI,PROVIDENCE,02912
