"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ALLOTEX INC",0,0,1,0,99,6460,VT,"SOUTH WOODSTOCK",05071
2022,"ASCENSION TECHNOLOGY CORPORATION DBA NORTHERN DIGITAL INC",0,0,1,0,54,7262,VT,SHELBURNE,05482
2022,"BENNINGTON COLLEGE",2,0,3,0,61,9414,VT,BENNINGTON,05201
2022,"BETA AIR LLC DBA BETA TECHNOLOGIES",1,0,1,0,54,0933,VT,"SOUTH BURLINGTON",05403
2022,"BLUE CROSS & BLUE SHIELD OF VERMON",0,0,1,0,52,7307,VT,MONTPELIER,05601
2022,"BRISTOL PARK DENTAL ASSOCIATES, PLLC",1,0,0,0,62,0081,VT,BRISTOL,05443
2022,"BURLINGTON SCHOOL DISTRICT",0,0,1,0,61,1664,VT,BURLINGTON,05401
2022,"CARESOURCE MANAGEMENT SERVICES LLC",0,0,1,0,92,3371,VT,BURLINGTON,05401
2022,"CENTERLINE ARCHITECTS PLANNERS P C",1,0,0,0,54,2949,VT,BENNINGTON,05201
2022,"CHAMPLAIN COLLEGE INC",1,0,1,0,61,0266,VT,BURLINGTON,05401
2022,"CN HOLGINGS INC",0,0,1,1,54,9171,VT,"WHITE RIVER JUNCTION",05001
2022,"COLCHESTER DENTAL LLC D/B/A COLCHESTER DENTAL GROUP",1,0,0,0,62,4707,VT,COLCHESTER,05446
2022,"COMMUNITY HEALTH CENTERS OF BURLINGTON",1,0,0,0,62,2584,VT,BURLINGTON,05401
2022,"DATA INNOVATIONS LLC",0,0,2,0,54,2318,VT,COLCHESTER,05446
2022,"DYNAPOWER COMPANY LLC",0,0,1,0,33,2297,VT,"SOUTH BURLINGTON",05403
2022,"E4H-ENVIRONMENTS FOR HEALTH LLC",0,0,1,0,54,7449,VT,WILLISTON,05495
2022,"ESSGEE ENTERPRISES LLC DBA CALMOUR PHARMACEUTICAL CONSULTING",1,0,0,0,51,6525,VT,"SOUTH BURLINGTON",05403
2022,"FLEXASEAL ENGINEERED SEALS & SYSS",0,0,1,0,33,9227,VT,WILLISTON,05495
2022,"GOLDEN 10 MAPLEVILLE PLLC D/B/A ASSOCIATES IN COMPREHENSIVE DENTAL CARE",1,0,0,0,62,8607,VT,"SAINT ALBANS",05748
2022,"HAZELETT STRIP CASTING CORPORATION",0,0,1,0,33,7228,VT,COLCHESTER,05446
2022,"INSPACE PROXIMITY INC",0,0,1,0,51,8491,VT,BURLINGTON,05401
2022,"ISUN UTILITY, LLC",1,0,0,0,23,4411,VT,WILLISTON,05495
2022,"ITECH US INC",4,0,63,2,54,3754,VT,"SOUTH BURLINGTON",05403
2022,"KATO DESIGN INC",1,0,0,0,54,6262,VT,"MANCHESTER CENTER",05255
2022,"KUNAL LLC",0,0,1,0,72,9496,VT,"SOUTH BURLINGTON",05403
2022,"LAMOILLE HEALTH PARTNERS INC",1,0,0,0,62,8048,VT,MORRISVILLE,05661
2022,"LANCE SMITH INC DBA VERMONT SPORTSCAR",0,0,1,0,33,7791,VT,MILTON,05468
2022,"MARATHON HEALTH LLC",1,0,0,0,62,3977,VT,WINOOSKI,05404
2022,"MOBILE VIRTUAL PLAYER LLC",1,0,0,0,54,7168,VT,BRADFORD,05033
2022,"NATIONAL LIFE INSURANCE COMPANY D/B/A NATIONAL LIFE GROUP",1,0,3,0,52,4090,VT,MONTPELIER,05604
2022,"NATIONAL LIFE INSURANCE COMPANY DBA NATIONAL LIFE GROUP",0,0,1,0,52,4090,VT,MONTPELIER,05602
2022,"NATIONAL LIFE INSURANCE COMPANY DBA NATIONAL LIFE GROUP",1,0,5,0,52,4090,VT,MONTPELIER,05604
2022,"NORTH COUNTY HOSP & HLTH CTR INC",1,0,0,0,62,5556,VT,NEWPORT,05855
