"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"108 INFO SYSTEM LLC",1,0,0,0,54,7012,VA,RESTON,20190
2022,"1RIVET US INC",0,0,1,0,99,4769,VA,RESTON,20191
2022,"22ND CENTURY TECHNOLOGIES INC",2,0,15,0,54,2121,VA,"MC LEAN",22102
2022,"22ND CENTURY TECHNOLOGIES INC",0,0,1,0,54,2121,VA,MCLEAN,22102
2022,"2ND ORDER SOLUTIONS INC",4,0,0,0,52,0506,VA,"GLEN ALLEN",23060
2022,"2RW CONSULTANTS INC",0,0,1,0,54,0035,VA,FAIRFAX,22031
2022,"3D IMAGING AND SIMULATION CORP AMERICAS DBA 3DISC IMAGING",0,0,1,0,33,0469,VA,HERNDON,20170
2022,"3PILLAR GLOBAL INC",0,0,1,0,54,8411,VA,FAIRFAX,22033
2022,"41SQUARE LLC",0,0,1,0,99,6485,VA,ASHBURN,20148
2022,"5 STAR LLC DBA VERNON DANIEL ASSOC",1,0,0,0,23,0862,VA,MCLEAN,22102
2022,"99MEDIALAB LLC",1,0,1,0,54,5635,VA,FREDERICKSBURG,22408
2022,"A-TEK INC",0,0,1,0,54,3662,VA,"MC LEAN",22102
2022,"A9 COM INC",0,0,1,0,45,7176,VA,ARLINGTON,22202
2022,"A9.COM INC",1,0,15,0,45,7176,VA,ARLINGTON,22202
2022,"AAA VIRGINIA CONSULTING INC",4,0,3,0,54,5860,VA,LEESBURG,20176
2022,"AARETECH LLC DBA AARETE TECH SVCS",1,0,1,0,54,1628,VA,VIENNA,22182
2022,"AARISHA INC",1,0,1,0,54,5618,VA,RESTON,20191
2022,"AARNA PRIYA INC",9,1,0,0,51,0067,VA,HERNDON,20171
2022,"ABD SOLUTIONS INC",1,0,8,0,54,5133,VA,CHANTILLY,20151
2022,"ABDEV SOLUTIONS INC",1,0,0,0,54,2550,VA,ASHBURN,20147
2022,"ABEYON LLC",1,0,0,0,54,9889,VA,ALEXANDRIA,22312
2022,"ABOVE GREEN LLC",0,0,1,0,54,3862,VA,MIDDLEBURG,20117
2022,"ACCENTUATE IT SOLUTIONS LLC",6,0,7,0,54,3210,VA,HERNDON,20171
2022,"ACCUTEC INC",2,0,0,0,33,1390,VA,VERONA,24482
2022,"ACE INFO SOLUTIONS INC",0,0,1,0,54,4785,VA,RESTON,20191
2022,"ACE PHYSICAL THERAPY & SPORTS MEDI",0,0,1,0,62,4230,VA,"FALLS CHURCH",22043
2022,"ACEINTEGRATOR INC",3,0,0,0,54,6327,VA,CHANTILLY,20151
2022,"ACENTLE INC",6,0,0,0,54,0912,VA,HERNDON,20171
2022,"ACI GIFT CARDS LLC",2,0,3,0,45,9870,VA,ARLINGTON,22202
2022,"ACLARA SMART GRID SOLUTIONS LLC",0,0,1,0,33,7202,VA,HERNDON,20171
2022,"ACOUSTICAL SOLUTIONS LLC",1,0,0,0,23,9911,VA,HENRICO,23294
2022,"ACTION GRAPHICS & SIGNS INC DBA AG WRAPS",0,0,1,0,54,1326,VA,CHESAPEAKE,23320
2022,"ACTIONABLE INTELLECTUAL PROPERTY INTELLIGENCE LLC",1,0,0,0,54,5407,VA,RESTON,20190
2022,"ACUMEN SOLUTIONS INC",0,0,30,0,54,3952,VA,"MC LEAN",22102
2022,"ACUMEN SOLUTIONS INC",1,0,2,0,54,3952,VA,MCLEAN,22102
2022,"ADAEQUARE INC",11,0,26,1,54,7518,VA,CHANTILLY,20151
2022,"ADAPTAVIST INC",0,0,2,0,54,1953,VA,RESTON,20190
2022,"ADDO CONSULTING INC",1,0,1,0,54,1580,VA,ASHBURN,20147
2022,"ADDO CONSULTING INC",0,0,0,1,54,1580,VA,HERNDON,20170
2022,"ADERAS INC",0,0,1,0,54,4340,VA,RESTON,20190
2022,"ADVANCE AUTO BUSINESS SUPPORT LLC",1,0,9,0,44,9361,VA,ROANOKE,24012
2022,"ADVANCE DIGITAL SYSTEMS INC",1,0,3,0,54,5737,VA,FAIRFAX,22030
2022,"ADVANCE STORES COMPANY INC",0,0,3,0,44,8110,VA,ROANOKE,24012
2022,"ADVANCED COMPUTER CONCEPTS INC",1,0,0,0,54,7667,VA,MCLEAN,22102
2022,"ADVANCED MANAGEMENT TECHNOLOGY INC",0,0,4,0,54,4855,VA,ARLINGTON,22209
2022,"ADVANCED MEDICAL & PRO SOLNS INC",0,0,1,0,62,4142,VA,"FALLS CHURCH",22043
2022,"ADVANCESOFT INC",8,0,6,1,54,0509,VA,ASHBURN,20147
2022,"ADVANCESOFT INC",0,0,1,0,51,0509,VA,ASHBURN,20147
2022,"ADVANSYS INC",0,0,3,1,54,1359,VA,HERNDON,20170
2022,"ADVANTIA HOLDINGS OF MARYLAND LLC",0,0,1,0,62,4029,VA,ARLINGTON,22209
2022,"ADVIK IT SOLUTION INC",0,0,1,0,54,7035,VA,ALDIE,20105
