"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ADVANCED PHYSICAL THERAPY INC",0,0,2,0,62,7667,AK,ANCHORAGE,99507
2022,"ALASKA HEART INST LLC",0,0,1,0,62,5692,AK,ANCHORAGE,99508
2022,"ALASKA NATIVE TRIBAL HEALTH CONSORTIUM",0,0,4,0,62,2721,AK,ANCHORAGE,99508
2022,"ALASKA PACIFIC BEVERAGE COMPANY LLC DBA 49TH STATE BREWING",1,0,0,0,31,6317,AK,ANCHORAGE,99501
2022,"ALASKA PACIFIC UNIVERSITY",0,0,1,0,61,3588,AK,ANCHORAGE,99508
2022,"ANCHORAGE COMMUNITY MENTAL HEALTH",1,0,0,0,62,2394,AK,ANCHORAGE,99508
2022,"ANCHORAGE SCHOOL DISTRICT",2,0,3,0,61,0078,AK,ANCHORAGE,99504
2022,"ARCTIC SLOPE REGIONAL CORPORATION",0,0,1,0,21,4137,AK,ANCHORAGE,99503
2022,"BARTLETT REGIONAL HOSPITAL",1,0,0,0,62,8538,AK,JUNEAU,99801
2022,"BERING STRAIT SCHOOL DISTRICT",4,0,0,0,61,8118,AK,UNALAKLEET,99684
2022,"DENALI BOROUGH SCHOOL DISTRICT",2,0,0,0,61,3357,AK,HEALY,99743
2022,"DIGITAL REACH ONLINE PRESENCE MGMT",0,0,1,0,54,0101,AK,ANCHORAGE,99501
2022,"FOUNDATION HEALTH LLC DBA FAIRBANKS MEMORIAL HOSPITAL",0,0,0,1,62,1580,AK,FAIRBANKS,99701
2022,"GALEN HOSP ALASKA INC D/B/A ALASKA",0,0,1,0,62,0033,AK,ANCHORAGE,99508
2022,"HOLITNA CONSTRUCTION LLC",0,0,0,1,23,5079,AK,ANCHORAGE,99503
2022,"KODIAK ISLAND BOROUGH SCHOOL DISTRICT",1,0,0,0,61,0106,AK,KODIAK,99615
2022,"LOWER YUKON SCHOOL DISTRICT",8,0,0,0,61,7691,AK,"MOUNTAIN VILLAGE",99632
2022,"MANIILAQ ASSOCIATION INC",1,0,0,0,62,1461,AK,KOTZEBUE,99752
2022,"MAT SU VALLEY III LLC",1,0,0,0,62,7348,AK,PALMER,99645
2022,"NORTHWEST ELECTRICAL SERVICES LLC",0,0,1,0,33,4148,AK,ANCHORAGE,99516
2022,"OPTIMERA INC",0,0,1,0,99,0184,AK,UNALASKA,99685
2022,"RIM ARCHITECTS, LLC",1,0,0,0,54,1865,AK,ANCHORAGE,99501
2022,"TECK ALASKA INC",1,0,0,0,21,0390,AK,ANCHORAGE,99503
2022,"UNIV OF ALASKA FAIRBANKS",2,0,6,0,61,0147,AK,FAIRBANKS,99775
2022,"UNIVERSITY OF ALASKA",1,0,0,0,61,0148,AK,ANCHORAGE,99508
2022,"UNIVERSITY OF ALASKA FAIRBANKS",0,0,6,0,61,0147,AK,ANCHORAGE,99508
2022,"UNIVERSITY OF ALASKA FAIRBANKS",7,0,15,0,61,0147,AK,FAIRBANKS,99775
2022,"YUKON KUSKOKWIM HEALTH CORPORATION",0,0,2,0,62,1414,AK,BETHEL,99559
