"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC",1,0,0,0,62,6555,AZ,MESA,85205
2022,"1028 MICROPATENT",0,0,1,0,99,8616,AZ,CHANDLER,85226
2022,"1ST DENTAL CARE LLC",0,0,1,0,62,5408,AZ,"SIERRA VISTA",85635
2022,"4 PEAKS BUSINESS SOLUTION LLC",0,0,0,1,54,3239,AZ,PHOENIX,85045
2022,"4 PEAKS BUSINESS SOLUTION LLC",5,0,3,0,54,3239,AZ,PHOENIX,85048
2022,"ABDUL Q MEMON MD PLLC DBA CARDIOVA",1,0,1,0,62,0588,AZ,GLOBE,85501
2022,"ACCELERATE DIAGNOSTICS, INC.",1,0,0,0,32,2256,AZ,TUCSON,85714
2022,"ACCURATE CORROSION CONTROL INC",0,0,1,0,23,1606,AZ,GLENDALE,85307
2022,"ACE SOFTWARE LLC",0,1,0,0,54,9304,AZ,GLENDALE,85304
2022,"ACTIVECLASS INC",0,0,1,0,54,1400,AZ,SCOTTSDALE,85260
2022,"ADELANTE HEALTHCARE INC",2,0,4,0,62,7821,AZ,PHOENIX,85012
2022,"ADEMCO INC",0,0,2,0,54,1425,AZ,SCOTTSDALE,85254
2022,"ADESA US AUCTION LLC",0,0,1,0,44,5873,AZ,TEMPE,85281
2022,"ADMIRAL INSTRUMENTS LLC",0,0,1,0,33,2415,AZ,TEMPE,85281
2022,"ADP DISTRIBUTORS USA INC",1,0,0,0,42,3171,AZ,MESA,85202
2022,"ADROIT AFFINE LLC",0,0,1,0,54,8516,AZ,PHOENIX,85027
2022,"ADROIT AFFINE, LLC.",1,0,1,0,54,8516,AZ,PHOENIX,85027
2022,"ADVANCED MECHANICAL T3ECHNOLOGIES",0,0,1,0,99,9237,AZ,PHOENIX,85003
2022,"ADVANCED MICRO DEVICES INC",0,0,1,0,33,2300,AZ,PHOENIX,85054
2022,"ADVISOR GROUP INC",0,0,3,0,52,3854,AZ,PHOENIX,85012
2022,"AEM INTERNATIONAL US LTD",1,0,0,0,33,5855,AZ,CHANDLER,85226
2022,"AERIAL SPHERE LLC",0,0,1,0,54,9894,AZ,PHOENIX,85034
2022,"AEROTEC INTERNATIONAL INC",0,0,1,0,33,8073,AZ,PHOENIX,85040
2022,"AGUILA ELEMENTARY SCHOOL DISTRICT 63",2,0,0,0,61,0507,AZ,AGUILA,85320
2022,"AJO UNIFIED SCHOOL DIST 15",0,0,1,0,61,0546,AZ,AJO,85321
2022,"AJO UNIFIED SCHOOL DISTRICT 15",0,0,2,0,61,0546,AZ,AJO,85321
2022,"ALICAT SCIENTIFIC INC",2,0,0,0,33,5584,AZ,TUCSON,85743
2022,"ALIGN TECHNOLOGY INC",0,0,4,0,33,7295,AZ,TEMPE,85281
2022,"ALPHACORE INC",0,0,1,0,54,0048,AZ,TEMPE,85281
2022,"ALTAR VALLEY SCHOOL DISTRICT 51",0,0,1,0,61,7667,AZ,TUCSON,85736
2022,"AMAZON VALLEY ENGINEERING LLC",0,1,0,0,54,5643,AZ,PHOENIX,85009
2022,"AMKOR TECHNOLOGY INC",0,0,2,0,33,2724,AZ,TEMPE,85284
2022,"AMSAFE INC",0,0,1,0,33,3619,AZ,PHOENIX,85043
2022,"ANALYTIC ERA LLC",0,0,1,0,54,2860,AZ,MESA,85202
2022,"AND GO CONCEPTS LLC D/B/A SALAD AND GO",1,0,1,0,72,4415,AZ,PHOENIX,85009
2022,"AND GO CONCEPTS LLC DBA SALAD AND GO",2,0,1,0,72,4415,AZ,PHOENIX,85008
2022,"AND GO CONCEPTS LLC DBA SALAD AND GO",1,0,1,0,72,4415,AZ,PHOENIX,85009
2022,"ANJU SOFTWARE INC",0,0,6,0,54,0454,AZ,TEMPE,85282
2022,"ANNEXUS MGMT CO LLC",0,0,1,0,52,1370,AZ,SCOTTSDALE,85260
2022,"ANTELOPE UNION HIGH SCHOOL DISTRICT NUMBER 50",2,0,0,0,61,7394,AZ,WELLTON,85356
2022,"AP PROFESSIONALS OF PHOENIX LLC",1,0,0,0,56,4506,AZ,SCOTTSDALE,85251
2022,"APL LOGISTICS AMERICAS LTD",1,0,8,0,54,7941,AZ,SCOTTSDALE,85255
2022,"APPLE INC",0,0,1,0,33,4110,AZ,PHOENIX,85014
2022,"APPLIED MICROARRAYS INC",1,0,0,0,33,8576,AZ,TEMPE,85284
2022,"APPSFREEDOM INC D/B/A PILLIR",0,0,1,0,54,3710,AZ,CHANDLER,85226
2022,"APPSFREEDOM, INC. D/B/A PILLIR",0,0,2,0,54,3710,AZ,CHANDLER,85226
2022,"ARCHITECTURAL RESOURCE TEAM INC",2,0,0,0,54,7676,AZ,PHOENIX,85014
2022,"ARCHITEKTON INC",1,0,0,0,54,6693,AZ,TEMPE,85281
2022,"ARCORO HOLDING GROUP D B A ARCORO",0,0,1,0,54,2589,AZ,SCOTTSDALE,85260
2022,"AREVON ENERGY INC",0,0,2,0,22,8418,AZ,SCOTTSDALE,85258
2022,"AREVON ENERGY INC",2,0,4,0,54,8418,AZ,SCOTTSDALE,85258
2022,"ARI MEX FORWARDING AGENTS INC",0,1,0,0,48,2978,AZ,DOUGLAS,85607
2022,"ARIZONA ADVANCED SURGERY LLC",1,0,0,0,62,6310,AZ,MESA,85202
2022,"ARIZONA ARTHRITIS & RHEUMATOLOGY ASSOCIATES, P.C.",1,0,0,0,62,5242,AZ,PHOENIX,85032
2022,"ARIZONA ASSOCIATION OF COMMUNITY HEALTH CENTERS DBA ARIZONA ALLIANCE FOR COMMUNITY HEALTH CENTERS",1,0,0,0,81,4702,AZ,PHOENIX,85034
2022,"ARIZONA AUTISM CHARTER SCHOOLS, INC.",1,0,0,0,61,2127,AZ,PHOENIX,85014
2022,"ARIZONA CENTER FOR HEMATOLOGY AND",0,0,1,0,62,0581,AZ,GLENDALE,85306
2022,"ARIZONA COMMERCE AUTHORITY",1,0,0,0,92,6396,AZ,PHOENIX,85007
2022,"ARIZONA GRAND RESORT GROUP LLC",1,0,0,0,72,6451,AZ,PHOENIX,85044
2022,"ARIZONA INPATIENT MEDICINE ASSO",0,0,1,0,62,7826,AZ,TUCSON,85715
2022,"ARIZONA KIDNEY DISEASE & HYPERTENSION CENTER LLC",3,0,0,0,62,9487,AZ,PHOENIX,85018
2022,"ARIZONA PUBLIC SERVICE COMPANY APSC APS",1,0,5,0,22,1170,AZ,PHOENIX,85004
2022,"ARIZONA REGIONAL MULTIPLE LISTING SERVICE INC",0,0,1,0,53,4302,AZ,TEMPE,85281
2022,"ARIZONA STATE UNIVERSITY",68,0,73,4,61,6696,AZ,TEMPE,85287
2022,"ARIZONA STATE UNIVERSITY",1,0,0,0,61,6696,AZ,TEMPE,85287
2022,"ARRINGTON WATKINS ARCHITECTS LLC",1,0,0,0,54,9271,AZ,PHOENIX,85016
2022,"ARRIVIA INC",0,0,2,0,56,3522,AZ,SCOTTSDALE,85254
