"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"1 TO 1 THERAPIES INC",0,0,1,0,62,1480,CA,TORRANCE,90505
2022,"1 WORLD EDUCATION, INC.",1,0,0,0,61,1468,CA,"LOS ANGELES",90056
2022,"10 FOLD COMMUNICATIONS INC",1,0,0,0,54,8409,CA,"WALNUT CREEK",94596
2022,"100MS INC",1,0,0,0,51,3914,CA,NEWARK,94560
2022,"100PLUS INC",0,0,1,0,56,0014,CA,"SAN FRANCISCO",94105
2022,"10X GENOMICS INC",19,0,29,0,54,4458,CA,PLEASANTON,94588
2022,"10X GENOMICS INC",1,0,0,0,54,4458,CA,PLEASANTON,64588
2022,"120 DEGREEZ ENGINEERING",1,0,0,0,54,0643,CA,"EL SEGUNDO",90245
2022,"15FIVE INC",1,0,0,0,54,2755,CA,"SAN FRANCISCO",94123
2022,"1661 INC D/B/A GOAT",3,0,8,0,45,1406,CA,"LOS ANGELES",90018
2022,"1BYONE PRODUCTS INC",2,0,0,0,42,4817,CA,ONTARIO,91761
2022,"1LIFE HEALTHCARE INC",0,0,2,0,62,7204,CA,"SAN FRANCISCO",94111
2022,"1NTEGER LLC D/B/A KHARON",0,0,2,0,51,6378,CA,"SANTA MONICA",90403
2022,1PERFECTCHOICE,0,0,1,0,42,0454,CA,WALNUT,91789
2022,"2 7 AUGUST APPAREL INC",0,0,1,0,99,9873,CA,"LOS ANGELES",90007
2022,"2 CUBE GLOBAL INC",1,0,0,0,48,3012,CA,ONTARIO,91761
2022,"2010 OFFICE FURNITURE INC",0,0,1,0,44,8418,CA,"SOUTH EL MONTE",91733
2022,"21 STAFF LLC",0,0,9,1,54,3144,CA,PLEASANTON,94588
2022,"23ANDME INC",6,0,12,0,62,7371,CA,SUNNYVALE,94086
2022,"24 7 AI INC",0,0,2,0,54,9939,CA,CAMPBELL,95008
2022,"24 7 AI INC",0,0,6,0,54,9939,CA,"SAN JOSE",95124
2022,"2DREAM INC",0,3,0,0,54,1173,CA,PLEASANTON,94566
2022,"2GO PRODUCTS LLC",1,0,0,0,45,2270,CA,"SAN DIEGO",92122
2022,"2K GAMES INC",3,0,9,0,51,1726,CA,NOVATO,94949
2022,"2M ARCHITECTURE",1,0,0,0,54,2966,CA,"SAN FRANCISCO",94110
2022,"2ND STREET USA INC",0,0,1,0,45,4581,CA,"LOS ANGELES",90046
2022,"3 KEY CONSULTING INC",3,0,1,0,54,6073,CA,"SIMI VALLEY",93063
2022,"314E CORPORATION",1,0,4,0,54,2992,CA,PLEASANTON,94566
2022,"317 LABS INC DBA EMOTIVE",0,0,1,0,54,1122,CA,"SAN JOSE",95154
2022,"317 LABS INC DBA EMOTIVE",1,0,1,0,54,1122,CA,"LOS ANGELES",90064
2022,"360 DEGREE CUSTOMER INC",0,0,3,0,62,2463,CA,"SANTA CLARA",95054
