"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"10T HOLDINGS LLC",0,0,1,0,52,6555,CT,GREENWICH,06830
2022,"208 FOOT SPA LLC",1,0,0,0,71,3558,CT,MANCHESTER,06042
2022,"360 PROPERTIES LLC",1,0,0,0,54,1343,CT,"WEST HARTFORD",06107
2022,"3GTMS LLC",1,0,1,0,54,5120,CT,SHELTON,06484
2022,"9TO9 SOFTWARE SOLUTIONS LLC",1,0,15,0,54,6747,CT,"EAST BERLIN",06023
2022,"AB ELECTRONICS LLC",1,0,0,0,33,2998,CT,BROOKFIELD,06804
2022,"ABLE HOME HEALTH CARE LLC",0,0,1,0,62,,CT,WESTPORT,06880
2022,"ACCUTRON INC",0,0,1,0,33,1754,CT,WINDSOR,06095
2022,"ACE DENTAL GROUP LLC DBA ACE DENTAL ASSOCIATES",0,0,1,0,62,8894,CT,WATERBURY,06705
2022,"ACHIEVEMENT FIRST BROOKLYN CHARTER",1,0,0,0,61,8947,CT,"NEW HAVEN",06513
2022,"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL",1,0,0,0,61,8947,CT,"NEW HAVEN",06513
2022,"ACHIEVEMENT FIRST INC",0,0,4,0,55,3744,CT,"NEW HAVEN",06513
2022,"ACRO SYSTEMS INC",1,0,0,0,54,4149,CT,"VERNON ROCKVILLE",06066
2022,"ACRO SYSTEMS INC",1,0,0,0,54,4149,CT,VERNON,06066
2022,"ACT CONSULTING",0,0,1,0,54,8852,CT,SOUTHINGTON,06489
2022,"ACTIVE TELEPHONES INC",0,0,1,0,51,6817,CT,MILFORD,06460
2022,"ADELA INC",0,0,1,0,32,3916,CT,"NEW HAVEN",06511
2022,"ADMIRE DENTAL LLC",1,0,0,0,62,4941,CT,BRISTOL,06010
2022,"ADPI LLC",1,0,0,0,54,3887,CT,SOUTHINGTON,06489
2022,"ADVANCED CARDIOVASCULAR SPECIALISTS P C",1,0,0,0,62,9696,CT,BRIDGEPORT,06610
2022,"ADVANCED ROBOT SOLUTIONS LLC",1,0,0,0,54,7421,CT,STRATFORD,06615
2022,"ADVANCED SYSTEM DESIGN LLC",0,0,1,0,54,0363,CT,STAMFORD,06902
2022,"AFTER INC",0,0,1,0,54,0222,CT,NORWALK,06855
2022,"AI ENGINEERS INC",2,0,3,0,54,7598,CT,MIDDLETOWN,06457
2022,"AIRCASTLE ADVISOR LLC",0,0,1,0,53,3825,CT,STAMFORD,06901
2022,"AKDO INTERTADE INC",1,0,2,0,23,6558,CT,BRIDGEPORT,06605
2022,"ALBERTUS MAGNUS COLLEGE",1,0,0,0,61,6520,CT,"NEW HAVEN",06511
2022,"ALBION-HANCOCK PHARMACY LLC DBA AL",0,0,1,0,44,2534,CT,BRIDGEPORT,06605
2022,"ALL AGES MEDICAL CARE PC",0,0,1,0,62,5971,CT,STAMFORD,06905
2022,"ALLEXCEL INC",1,0,0,0,54,5386,CT,"WEST HAVEN",06516
2022,"ALPHA DENTAL PLLC",0,0,1,0,62,1490,CT,"NEW BRITAIN",06051
2022,"ALSBRIDGE INC",0,0,1,0,54,9887,CT,STAMFORD,06902
2022,"ALTUS POWER AMERICA MANAGEMENT LLC",0,0,1,0,22,9476,CT,STAMFORD,06902
2022,"AMERICAN CLADDING TECHNOLOGIES  INC",1,0,0,0,33,7663,CT,"EAST GRANBY",06026
2022,"ANB PTSMA HOLDINGS INC D/B/A PHYSICAL THERAPY & SPORTS MEDICINE CENTERS",1,0,0,0,62,9920,CT,"WEST HARTFORD",06107
2022,"ANVIL ENERGY PARTNERS LLC",1,0,0,0,54,6131,CT,STAMFORD,06902
2022,"APEX DENTAL LLC",0,0,1,0,62,1718,CT,HARTFORD,06106
2022,"AQR CAPITAL MANAGEMENT LLC",10,0,20,0,52,7414,CT,GREENWICH,06830
2022,"AQUILINE DRONES CORPORATION",1,0,0,0,33,1692,CT,HARTFORD,06103
2022,"ARGA INVESTMENT MGMT LP",1,0,0,0,52,1610,CT,STAMFORD,06901
2022,"ARISTEIA CAPITAL LLC",1,0,2,0,52,3132,CT,GREENWICH,06830
2022,"ARVINAS INC",0,0,3,0,32,9663,CT,"NEW HAVEN",06511
2022,"AS SEEN ON PC INC",0,0,1,0,45,6489,CT,FAIRFIELD,06824
2022,"ASCHETTINO ASSOCIATES LLC",0,0,1,0,54,7126,CT,"WEST HAVEN",06516
2022,"ASL CAPITAL MARKETS INC.",1,0,0,0,52,0925,CT,STAMFORD,06901
2022,"ASPEN INSURANCE US SERVICES INC",0,0,0,1,52,5193,CT,"ROCKY HILL",06067
2022,"ASSOCIATES IN DENTISTRY PC",0,0,1,0,62,8315,CT,ENFIELD,06082
2022,"ASTATINE CAPITAL PARTNERS LLC",0,0,1,0,52,3500,CT,GREENWICH,06830
2022,"ATANE ENGINEERS PC",1,0,0,0,54,2087,CT,WETHERSFIELD,06109
2022,"ATLAS FRM LLC",0,0,1,0,55,3695,CT,GREENWICH,06830
2022,"ATOMYZE LLC",1,0,0,0,52,5170,CT,GREENWICH,06830
2022,"ATRAJ TECHNOLOGIES INC",1,0,0,0,51,7812,CT,"NEW HAVEN",06510
2022,"AURORA OPERATIONS INC",0,0,1,0,52,6464,CT,HARTFORD,06103
2022,"AVANGRID MANAGEMENT COMPANY LLC",0,0,2,0,22,3049,CT,ORANGE,06477
2022,"AVANGRID SERVICE COMPANY",0,0,8,0,22,6408,CT,ORANGE,06477
2022,"AVENTRI INC",0,0,1,0,54,6551,CT,NORWALK,06854
