"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"57 STARS LLC",0,0,1,0,52,3783,DC,WASHINGTON,20001
2022,AARP,1,0,5,0,81,5500,DC,WASHINGTON,20049
2022,"ACCION IMPACT MANAGEMENT LLC",0,0,1,0,52,4816,DC,WASHINGTON,20005
2022,"ACCION INTERNATIONAL",2,0,1,0,52,5763,DC,WASHINGTON,20005
2022,"ACCOLADE CAPITAL MANAGEMENT LLC",1,0,0,0,52,7070,DC,WASHINGTON,20036
2022,"ACCOUNTING ASSOCIATES DC LLC",1,0,0,0,54,4954,DC,WASHINGTON,20036
2022,"ADVANCED NETWORK CONSULTING INC",0,0,1,0,51,4209,DC,WASHINGTON,20005
2022,"AFINITI INC",10,0,5,0,51,2266,DC,WASHINGTON,20006
2022,"AFRICAN WILDLIFE FOUNDATION",0,0,1,0,81,1390,DC,WASHINGTON,20003
2022,"AGA KHAN FOUNDATION USA",0,0,1,0,81,1983,DC,WASHINGTON,20006
2022,"AGGREGATE ARCHITECTURE DESIGN PLLC",0,1,0,0,54,5939,DC,WASHINGTON,20001
2022,"AI JAZEERA INTERNATIONAL USA LLC",0,0,1,0,51,7003,DC,WASHINGTON,20036
2022,"AKIN GUMP STRAUSS HAUER & FELD LLP",1,0,3,0,54,8644,DC,WASHINGTON,20006
2022,"AKIRA TECHNOLOGIES INC",0,0,1,0,54,1924,DC,WASHINGTON,20006
2022,"ALAGANT TECH LLC",1,0,0,0,54,7778,DC,WASHINGTON,20001
2022,"ALBRIGHT STONEBRIDGE GROUP LLC",0,0,2,0,54,5157,DC,WASHINGTON,20006
2022,"AMERICAN ASSN OF STATE COLLEGES &",0,0,1,0,81,7578,DC,WASHINGTON,20036
2022,"AMERICAN COUNCIL FOR AN ENERGY EFF",0,0,1,0,54,1707,DC,WASHINGTON,20045
2022,"AMERICAN ECONOMIC LIBERTIES PROJECT",0,0,1,0,54,9657,DC,WASHINGTON,20036
2022,"AMERICAN ENTERPRISE INSTITUTE FOR",2,0,0,0,54,8495,DC,WASHINGTON,20036
2022,"AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH",3,0,1,0,54,8495,DC,WASHINGTON,20036
2022,"AMERICAN PSYCHIATRIC ASSOCIATION",0,0,1,0,81,8499,DC,WASHINGTON,20024
2022,"AMERICAN PSYCHOLOGICAL ASSN",0,0,1,0,54,5890,DC,WASHINGTON,20002
2022,"AMERICAN PSYCHOLOGICAL ASSOCIATION",0,0,3,0,54,5890,DC,WASHINGTON,20002
2022,"AMERICAN SOCIETY FOR ENGINEERING EDUCATION",1,0,0,0,81,6584,DC,WASHINGTON,20036
2022,"AMERICAN SOCIETY FOR ENGRG ED",0,0,1,0,81,0118,DC,WASHINGTON,20036
2022,"AMERICAN UNIV",8,0,3,0,61,6549,DC,WASHINGTON,20016
2022,"AMOS JONES LAW FIRM",0,0,1,0,54,8421,DC,WASHINGTON,20005
2022,"AMS TRADE LLP",2,0,0,0,54,5975,DC,WASHINGTON,20036
2022,"ANCHOR CONSTRUCTION CORPORATION",0,0,1,0,54,5303,DC,WASHINGTON,20018
2022,"ANYBILL FINANCIAL SERVICES",0,0,1,0,52,7272,DC,WASHINGTON,20024
2022,"AQUICORE INC",0,0,1,0,54,9989,DC,WASHINGTON,20004
2022,"ARCHITRAVE PC",1,0,0,0,54,0765,DC,WASHINGTON,20003
2022,"ARDAGH GLASS INC",1,0,0,0,32,8205,DC,WASHINGTON,20037
2022,"ARENTFOX SCHIFF LLP",0,0,1,0,54,4923,DC,WASHINGTON,20006
2022,"ARNOLD & PORTER KAYE SCHOLER LLP",3,0,5,0,54,8605,DC,WASHINGTON,20001
2022,"ART ENGINEERING LLC",0,0,1,0,23,3595,DC,WASHINGTON,20037
2022,"ASSN OF AMERICAN MED COLLEGES",0,0,1,0,81,9124,DC,WASHINGTON,20001
2022,"ASSOCIATION FOR COMPETITIVE TECHNOLOGY",1,0,0,0,81,6531,DC,WASHINGTON,20005
2022,"ASSOCIATION OF AMERICAN MEDICAL COLLEGES",1,0,6,0,81,9124,DC,WASHINGTON,20001
2022,"ATMOS SOLUTIONS INC",0,1,0,0,54,1304,DC,WASHINGTON,20009
2022,"AUTISTIC SELF ADVOCACY NETWORK INC",0,1,0,0,81,0198,DC,WASHINGTON,20005
2022,"AVALERE HEALTH LLC",1,0,3,0,54,0787,DC,WASHINGTON,20005
2022,"AVID SYSTEMS LLC",0,0,1,0,99,0233,DC,WASHINGTON,20005
2022,"BACIO LLC",1,0,0,0,72,7600,DC,WASHINGTON,20001
2022,"BAIN & COMPANY DC LLC",1,0,2,1,54,4293,DC,WASHINGTON,20036
2022,"BAKER CONSTRUCTION DC LLC",0,0,1,0,23,5151,DC,WASHINGTON,20007
2022,"BAKER DC LLC",1,0,1,0,23,7805,DC,WASHINGTON,20007
2022,"BAKER MCKENZIE CONSULTING LLC",0,0,1,0,54,3842,DC,WASHINGTON,20006
2022,"BAKER MCKENZIE LLP",1,1,0,0,54,7456,DC,WASHINGTON,20006
2022,"BANJO HEALTH INC",1,0,1,0,51,9478,DC,WASHINGTON,20036
2022,"BAT CONSERVATION INTL",1,0,1,0,81,3144,DC,WASHINGTON,20005
2022,"BATES WHITE LLC",4,0,5,0,54,3096,DC,WASHINGTON,20006
2022,"BAUMANN CONSULTING INC",0,0,1,0,54,4790,DC,WASHINGTON,20005
2022,"BEVILACQUA PLLC",1,0,0,0,54,3684,DC,"WASHINGTON DC",20036
2022,"BLUE LABS ANALYTICS INC",1,0,0,0,54,6906,DC,WASHINGTON,20005
2022,"BLUE STAR STRATEGIES LLC",1,0,0,0,54,9570,DC,WASHINGTON,20006
2022,"BLUETEXT LLC",0,0,1,0,54,5308,DC,WASHINGTON,20007
2022,"BOARD OF GOVERNORS OF THE FRS",9,0,3,1,92,2454,DC,WASHINGTON,20551
