"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"AIC INTERNATIONAL INC",2,0,7,0,23,7583,GU,HAGATNA,96932
2022,"AMROS INC",1,0,0,0,42,0103,GU,TAMUNING,96913
2022,"ARCHDIOCESE OF AGANA/ACADEMY OF OU",1,0,0,0,61,1985,GU,HAGATNA,96910
2022,"ARCHDIOCESE OF AGANA/SANTA BARBARA",0,0,1,0,61,3032,GU,DEDEDO,96929
2022,"ARCHDIOCESE OF AGANA/SANTA BARBARA",0,0,1,0,61,3032,GU,YIGO,96929
2022,"ART CONSTRUCTORS LLC",0,0,1,0,23,7620,GU,TAMUNING,96913
2022,"BLACK CONSTRUCTION CORPORATION",23,0,5,0,23,4616,GU,BARRIGADA,96921
2022,"BLACK MICRO CORP",0,0,1,0,23,8454,GU,BARRIGADA,96921
2022,"BLACK MICRO CORPORATION",3,0,2,0,23,8454,GU,BARRIGADA,96921
2022,"BLAIR STERLING JOHNSON & MARTINEZ P C",2,0,0,0,54,2822,GU,HAGATNA,96910
2022,"BME & SON S INC",2,0,4,0,23,5903,GU,BARRIGADA,96921
2022,"CABRAS MARINE CORP",2,0,1,0,48,9859,GU,PITI,96915
2022,"CABRAS MARINE CORPORATION",2,0,2,0,48,9859,GU,PITI,96915
2022,"CALIFORNIA PACIFIC TECHNICAL SERVICES LLC",1,0,0,0,23,5492,GU,TAMUNING,96931
2022,"CATALYST CONSTRUCTION DBA CATCON",0,0,1,0,99,3428,GU,TAMUNING,96913
2022,"CHOICE PHONE LLC",0,0,0,1,99,8109,GU,TAMUNING,96931
2022,"CITI DEVELOPMENT & CONSTRUCTION IN",0,0,1,0,23,4649,GU,TAMUNING,96913
2022,"CITI DEVELOPMENT AND CONSTRUCTION",1,0,1,0,23,4649,GU,TAMUNING,96913
2022,"CLAYARCH INC",3,0,0,0,23,8680,GU,TAMUNING,96913
2022,"CLAYARCH INC",1,0,0,0,23,8680,GU,BARRIGADA,96913
2022,"CORE TECH CONSTRUCTION CORPORATION",20,0,0,0,23,0454,GU,BARRIGADA,96913
2022,"CORE TECH CONSTRUCTION CORPORATION",16,0,1,0,23,0454,GU,TAMUNING,96913
2022,"CORE TECH CONSTRUCTION CORPORATION",1,0,0,0,23,0454,GU,BARRIGADA,96913
2022,"CORE TECH INTERNATIONAL CORP",18,0,9,0,23,9341,GU,BARRIGADA,96913
2022,"CORE TECH INTERNATIONAL CORP",20,0,13,0,23,9341,GU,TAMUNING,96913
2022,"DELOITTE & TOUCHE LLP",1,0,1,2,54,7535,GU,BARRIGADA,96913
2022,"DELOITTE & TOUCHE LLP",1,0,1,0,54,7535,GU,TAMUNING,96913
2022,"DOCOMO PACIFIC INC",0,0,1,0,99,4074,GU,TAMUNING,96913
2022,"DOMINGO C CAACBAY JR D B A I BUILT CONSTRUCTION",1,0,0,0,23,5887,GU,YIGO,96929
2022,"DOOSAN UKUDU POWER LLC",23,0,0,0,22,8410,GU,TAMUNING,96931
2022,"DYLAN MECHANICAL CONSTRUCTION SVCS",1,0,0,0,23,9291,GU,HAGATNA,96932
2022,"DYLAN MECHANICAL CONSTRUCTION SVCS INC DBA DYLAN ENGINEERING",4,0,0,0,23,9291,GU,HAGATNA,96932
2022,"E COMMUNICATIONS LLC",1,0,0,0,51,9846,GU,TAMUNING,96931
2022,"E M B ELECTRICAL INC",3,0,1,0,23,1247,GU,BARRIGADA,96921
2022,"EMC2 ELECTRICAL INC D B A EMC CONS",1,0,0,0,54,0132,GU,TAMUNING,96931
2022,"ENGINEERING MGMT AND PLANNING SVCS CORP DBA EMPSCO ENGINEERING CONSULTANTS",1,0,0,0,54,0953,GU,BARRIGADA,96921
2022,"ERNST & YOUNG LLP EY GUAM",1,0,2,0,54,6565,GU,BARRIGADA,96913
2022,"ERNST & YOUNG LLP EY GUAM",3,0,3,0,54,6565,GU,TAMUNING,96913
2022,"FARGO PACIFIC INC",4,0,1,0,23,6018,GU,HAGATNA,96932
2022,"FRONTIER SUPPLY INC",0,0,1,0,42,0107,GU,BARRIGADA,96913
2022,"GENERAL CONFERENCE OF SEVENTH DAY ADVENTISTS",1,0,0,0,51,3036,GU,AGAT,96928
2022,"GENEROSO P UNSAY D.B.A UNITED MECH",0,0,1,0,23,0225,GU,BARRIGADA,96921
2022,"GIANT CONSTRUCTION CORPORATION",2,0,0,0,23,2672,GU,TAMUNING,96931
2022,"GOODWIND DEVELOPMENT CORP",1,0,0,0,53,9426,GU,TAMUNING,96913
2022,"GOODWIND DEVELOPMENT CORP",6,0,0,0,53,9426,GU,BARRIGADA,96913
2022,"GREENHILL INC DBA AMERICAN BAKERY",2,0,0,0,31,2507,GU,TAMUNING,96913
2022,"GUAM ADVANCE ENTERPRISES INC",8,0,1,0,23,2527,GU,BARRIGADA,96921
2022,"GUAM CLEANING MASTERS INC",0,0,1,0,56,5074,GU,DEDEDO,96929
2022,"GUAM HEALTHCARE DEVELOPMENT INC",0,0,4,0,62,8469,GU,DEDEDO,96929
2022,"GUAM HEALTHCARE DEVELOPMENT INC",0,0,2,0,62,8469,GU,YIGO,96929
2022,"GUAM HEALTHCARE DEVELOPMENT INC DB",0,0,1,0,62,8469,GU,YIGO,96929
2022,"GUAM MICRONESIA MISSION OF SEVENTH DAY ADVENTISTS",1,0,0,0,81,1490,GU,"AGANA HEIGHTS",96910
2022,"GUAM S BAKERY INC",0,0,1,0,31,0126,GU,YIGO,96929
2022,"GUAM UKUDU POWER LLC",1,0,0,0,23,8586,GU,DEDEDO,96929
2022,"GUAM UKUDU POWER LLC",1,0,0,0,23,8586,GU,YIGO,96929
2022,"GUAM UKUDU POWER LLC",3,0,0,0,22,8586,GU,TAMUNING,96913
2022,"GUCCI GROUP GUAM INC",0,0,1,0,44,2467,GU,TUMON,96913
2022,"GURUSAMY INC DBA HEALTH SERVICES O",1,0,1,0,62,4343,GU,TAMUNING,96931
2022,"HAEVICHI HOSPITALITY GUAM INC D/B/A THE WESTIN RESORT GUAM",1,0,0,0,72,2298,GU,TUMON,96913
2022,"HEAVENLY FOODS INC",1,0,0,0,72,8991,GU,TAMUNING,96931
2022,"HENSEL PHELPS CONSTRUCTION CO",2,0,0,0,23,6644,GU,TAMUNING,96931
2022,"HEXEL WORKS INC",4,0,2,0,54,1277,GU,TAMUNING,96931
2022,"HONHUI GUAM LLC",1,0,0,0,23,3399,GU,TAMUNING,96913
2022,"IAN CORPORATION",4,0,1,0,23,8628,GU,BARRIGADA,96921
2022,"ILEARN ACADEMY CHARTER SCHOOL INC",0,0,1,0,61,3030,GU,TAMUNING,96931
2022,"INFRATECH INTERNATIONAL LLC",0,0,1,0,23,6947,GU,BARRIGADA,96913
2022,"INFRATECH INTERNATIONAL LLC",1,0,0,0,23,6947,GU,TAMUNING,96931
2022,"INTERTEK TESTING SERVICES PHILIPPINES INC DBA INTERTEK TESTING SERVICES GUAM",1,0,0,0,54,2433,GU,TAMUNING,96931
2022,"IP&E HOLDINGS LLC",0,0,1,0,42,6146,GU,TAMUNING,96913
2022,"ISLAND CERTS CORPORATION",1,0,1,0,54,8241,GU,TAMUNING,96913
2022,"ISLAND CERTS CORPORATION",0,0,1,0,54,8241,GU,BARRIGADA,96913
2022,"JMSI ELECTRICAL GUAM LLC",0,0,1,0,23,6482,GU,TAMUNING,96931
2022,"JOEL T OLLET DBA ELECTRICAL INSTRUMENTATION CONTROL SERVICES",1,0,0,0,23,1718,GU,HAGATNA,96932
2022,"JOHNDEL INTL INC D B A JMI EDISON",1,0,0,0,23,8337,GU,BARRIGADA,96913
2022,"JOHNDEL INTL INC D B A JMI EDISON",1,0,0,0,23,8337,GU,TAMUNING,96913
2022,"JWG CONSTRUCTION LLC",1,0,1,0,23,2577,GU,TAMUNING,96931
2022,"KHLG & ASSO INC",1,0,0,0,54,9715,GU,HAGATNA,96910
2022,"KIAN CORPORATION",1,0,0,0,23,4886,GU,TUMON,96913
2022,"KINDEN CORP",4,0,2,0,23,8314,GU,TAMUNING,96931
2022,"KINDEN CORPORATION",0,0,1,0,23,8314,GU,TAMUNING,96931
2022,"KORANDO CORPORATION",1,0,0,0,23,5445,GU,BARRIGADA,96921
2022,"LANDSCAPE MANAGEMENT SYSTEMS INC",2,0,0,0,56,6348,GU,BARRIGADA,96913
2022,"LANDSCAPE MANAGEMENT SYSTEMS INC",2,0,0,0,23,6348,GU,BARRIGADA,96913
2022,"LGI PACIFIC GUAM INC",0,0,1,0,53,0636,GU,BARRIGADA,96913
2022,"LOTTE HOTEL GUAM LLC",1,0,0,0,56,7930,GU,TAMUNING,96913
2022,"MACKS CONSTRUCTION CO",1,0,0,0,23,7123,GU,TAMUNING,96931
2022,"MARIANAS GAS CORP",0,0,1,0,32,9007,GU,TAMUNING,96913
2022,"MARIANO PRIME LTD LIABILITY CO D B A M D WHOLESALE",0,0,1,0,42,8829,GU,TAMUNING,96913
2022,"MC PAULINO INC DBA JMC EQUIPMENT",1,0,0,0,23,1293,GU,TALOFOFO,96915
2022,"MEILBERT DE VERA LOPEZ D B A NORTHERN CONSTRUCTION",1,0,0,0,23,8106,GU,YIGO,96929
2022,"MICRONESIAN EXOTIC ANIMAL SPECIALTY SVCS P C DBA WISE OWL ANIMAL HOSPITAL",1,0,0,0,54,5361,GU,BARRIGADA,96913
2022,"MID PACIFIC LIQUOR DISTRIBUTING CO",0,0,1,0,99,0160,GU,BARRIGADA,96913
2022,"MODERN INTERNATIONAL INC",0,0,3,0,23,9503,GU,TAMUNING,96931
2022,"N C MACARIO AND ASSOCIATES INC",1,0,0,0,54,7938,GU,HAGATNA,96932
2022,"NAN INC",1,0,0,0,23,7519,GU,HAGATNA,96932
2022,"NAN INC",4,0,0,0,23,7519,GU,BARRIGADA,96921
2022,"OBAYASHI CORP",0,0,1,0,23,4699,GU,YIGO,96929
2022,"ORION CONSTRUCTION CORPORATION GUA",1,0,1,0,23,9604,GU,BARRIGADA,96921
2022,"PACIFIC BIOMEDICAL SVCS INC",1,0,1,0,81,8498,GU,TAMUNING,96913
2022,"PACIFIC ENERGY CORP",3,0,1,0,23,2659,GU,TAMUNING,96931
2022,"PACIFIC ENERGY CORPORATION",1,0,0,0,23,2659,GU,TAMUNING,96931
2022,"PACIFIC FEDERAL MANAGEMENT INC",1,0,1,0,23,8988,GU,BARRIGADA,96913
2022,"PACIFIC FEDERAL MANAGEMENT INC",2,0,1,0,23,8988,GU,TUMON,96913
2022,"PACIFIC MAX CORPORATION",1,0,0,0,23,8522,GU,TAMUNING,96913
2022,"PACIFIC MED & NEPHROLOGY",0,0,1,0,62,0953,GU,HAGATNA,96910
2022,"PACIFIC MODAIR CORP",1,0,0,0,23,3197,GU,TAMUNING,96931
2022,"PACIFIC RIM CONSTRUCTORS INC",4,0,4,0,23,1187,GU,TAMUNING,96931
2022,"PACIFIC UNLIMITED INC",0,0,1,0,31,5957,GU,TAMUNING,96931
2022,"PLUS MARKETING INC",1,0,0,0,42,8605,GU,TAMUNING,96913
2022,"POLYPHASE SYSTEM INC",2,0,1,0,23,7004,GU,BARRIGADA,96921
2022,"PREMIER INTERNATIONAL INC",0,0,1,0,23,5738,GU,TAMUNING,96931
2022,"PROPACIFIC BUILDER CORPORATION",0,0,1,0,23,9075,GU,BARRIGADA,96913
2022,"PTI PACIFICA INC DBA IT&E",0,0,2,0,51,9232,GU,BARRIGADA,96921
2022,"REACTION CO",1,0,0,0,23,4784,GU,BARRIGADA,96921
2022,"SAINT PAUL CHRISTIAN SCHOOL",1,0,0,0,61,6633,GU,DEDEDO,96929
2022,"SAINT PAUL CHRISTIAN SCHOOL",1,0,0,0,61,6633,GU,YIGO,96929
2022,"SHIMIZU CORP",3,0,0,0,23,8563,GU,BARRIGADA,96921
2022,"SIFA LEARNING ACADEMY CHARTER SCHO",0,0,1,0,61,7393,GU,TAMUNING,96931
