"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACERAND THERAPEUTICS USA LIMITED",0,0,1,0,99,8663,IN,CARMEL,46032
2022,"ADESA INC",2,0,9,0,42,2546,IN,CARMEL,46032
2022,"ADIDAS INDY LLC",0,0,1,0,33,0093,IN,INDIANAPOLIS,46219
2022,"ADVANCED ENGINEERING CONSULTANTS ME LLC",1,0,0,0,54,9829,IN,INDIANAPOLIS,46250
2022,"AE BOYCE COMPANY INC",1,0,0,0,54,1530,IN,DALEVILLE,47334
2022,"AEROSTAR MACHINE & TOOLS LLC DBA W",0,0,1,0,99,7119,IN,"FORT WAYNE",46818
2022,"AES ALAMITOS LLC",0,0,1,0,22,3053,IN,INDIANAPOLIS,46204
2022,"AES CLEAN ENERGY SERVICES LLC",2,0,12,0,22,4391,IN,INDIANAPOLIS,46204
2022,"AES SERVICES INC",1,0,1,0,22,5292,IN,INDIANAPOLIS,46204
2022,"AES US SERVICES LLC",0,0,4,0,22,5169,IN,INDIANAPOLIS,46204
2022,"AISIN U S A MFG INC",1,0,1,0,33,3991,IN,SEYMOUR,47274
2022,"ALDERING & CO LLC",0,0,1,0,54,3580,IN,INDIANAPOLIS,46240
2022,"ALL STAR TRUCK LINES USA INC",1,0,0,0,48,9090,IN,GREENWOOD,46143
2022,"ALLEN MEDICAL SYSTEMS INC",0,0,1,0,33,9715,IN,BATESVILLE,47006
2022,"ALLIED SOLUTIONS LLC",1,0,0,0,51,5376,IN,CARMEL,46032
2022,"ALLIED SOLUTIONS LLC",0,0,1,0,52,5376,IN,CARMEL,46032
2022,"ALLISON TRANSMISSION INC",1,0,6,0,33,3897,IN,INDIANAPOLIS,46222
2022,"ALOTTA THERAPY LLC",0,0,1,0,62,6862,IN,LAFAYETTE,47905
2022,"AMERICAN CONTRACTING & SERVICES IN",0,0,1,0,54,8530,IN,JEFFERSONVILLE,47130
2022,"AMERICAN IMAGING MANAGEMENT INC",0,0,2,0,52,2630,IN,INDIANAPOLIS,46204
2022,"AMERICAN SPECIALTY HEALTH INCORPOR",0,0,6,0,52,3241,IN,CARMEL,46032
2022,"AMERICAN SPECIALTY HEALTH INCORPORATED",1,0,14,0,52,3241,IN,CARMEL,46032
2022,"AMERICAN STRUCTUREPOINT INC",0,0,1,0,54,7317,IN,INDIANAPOLIS,46240
2022,"AMERICAN UNITED LIFE INSURANCE COMPANY",0,0,2,0,52,5825,IN,INDIANAPOLIS,46206
2022,"AMPLIO SUPPLY CHAIN INC",0,0,1,0,54,5595,IN,INDIANAPOLIS,46204
2022,"ANABAPTIST MENNONITE BIBLICAL SEMINARY",1,0,0,0,61,2148,IN,ELKHART,46517
2022,"ANGIES LIST INC DBA ANGI",1,0,1,0,54,0197,IN,INDIANAPOLIS,46204
2022,"ANTHEM INC",0,0,3,0,52,5715,IN,INDIANAPOLIS,46201
2022,"ANTHEM INC",0,0,1,0,51,5715,IN,INDIANAPOLIS,46204
2022,"ANTHEM INC",62,0,593,0,52,5715,IN,INDIANAPOLIS,46204
2022,"ANTHEM INC",0,0,1,0,52,5715,IN,INDIANAPOLIS,46250
2022,"ARCELORMITTAL USA RESEARCH LLC",2,0,3,0,33,4815,IN,"EAST CHICAGO",46312
2022,"ARDAGH GLASS INC",6,0,8,0,32,8205,IN,INDIANAPOLIS,46256
2022,"ARRK TECHNOLOGIES LLC",1,0,0,0,54,7544,IN,VALPARAISO,46383
2022,"ASW LLC DBA AMARICAN LANDMASTER",0,0,1,0,33,8448,IN,"COLUMBIA CITY",46725
2022,"AUNALYTICS INC",6,0,1,0,54,9420,IN,"SOUTH BEND",46601
2022,"AUTHOR SOLUTIONS LLC",0,0,1,0,51,1724,IN,BLOOMINGTON,47403
2022,"AUTOMOTIVE FINANCE CORPORATION",0,0,1,0,52,9152,IN,CARMEL,46032
2022,"AUTONIQ LLC",0,0,1,0,54,4710,IN,CARMEL,46032
2022,"AVTECH SOLUTIONS INC",7,0,2,0,54,2119,IN,INDIANAPOLIS,46268
2022,"AVTECH SOLUTIONS INC",0,0,1,0,54,2119,IN,INDIANAPOLIS,46204
2022,"BALL STATE UNIVERSITY",3,0,8,0,61,0221,IN,MUNCIE,47306
2022,"BANJO CORPORATION",0,0,1,0,42,5775,IN,CRAWFORDSVILLE,47933
2022,"BARIL COATINGS USA LLC",0,0,1,0,32,5557,IN,ANGOLA,46703
2022,"BARNES AND THORNBURG LLP",0,0,0,1,54,0596,IN,"SOUTH BEND",46601
2022,"BASTIAN SOLUTIONS LLC",1,0,3,0,33,4131,IN,INDIANAPOLIS,46290
2022,"BASTIAN SOLUTIONS LLC",1,0,0,0,33,4131,IN,CARMEL,46290
2022,"BATESVILLE COMMUNITY SCHOOL CORP",2,1,1,0,61,3045,IN,BATESVILLE,47006
2022,"BEACON MEDICAL GROUP INC",1,0,1,0,62,6132,IN,"SOUTH BEND",46617
2022,"BEAM LONGEST AND NEFF L L C",1,0,1,0,54,1487,IN,INDIANAPOLIS,46250
