"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACI MECHANICAL INC",0,0,1,0,23,9303,IA,AMES,50014
2022,"ACT INC",1,0,12,1,61,1485,IA,"IOWA CITY",52243
2022,"ADAIR COUNTY MEMORIAL HOSPITAL",2,0,0,0,62,7639,IA,GREENFIELD,50849
2022,"ADAMAS INC",0,0,1,0,54,8486,IA,"CEDAR RAPIDS",52401
2022,"AEGON GLOBAL SERVICES LLC",0,0,5,0,52,6921,IA,"CEDAR RAPIDS",52499
2022,"AEGON USA REALTY ADVISORS LLC",1,0,1,0,52,5796,IA,"CEDAR RAPIDS",52499
2022,"AGWORKS, LLC",1,0,0,0,54,7566,IA,DAVENPORT,52806
2022,"ALBAUGH LLC",0,0,1,0,32,7980,IA,ANKENY,50021
2022,"ALEGENT HEALTH BERGAN MERCY HEALTH",1,0,0,0,62,4764,IA,"COUNCIL BLUFFS",51503
2022,"ALEGENT HEALTH MERCY HOSPITAL CORNING IOWA",0,0,1,0,62,2518,IA,CORNING,50841
2022,"ALLEN MEMORIAL HOSPITAL CORPORATION D/B/A UNITY POINT HEALTH ALLEN HOSPITAL",1,0,0,0,62,8265,IA,WATERLOO,50703
2022,"ALLSTEEL INC",0,0,2,0,33,7079,IA,MUSCATINE,52761
2022,"AMERICAN ENTERPRISE SERVICES COMPANY",0,0,1,0,52,6393,IA,"DES MOINES",50309
2022,"AMERICAN EQUITY INVESTMENT LIFE IN",1,0,0,0,52,3896,IA,WDM,50266
2022,"AMERICAN EQUITY INVESTMENT LIFE IN",0,0,3,0,52,3896,IA,"WEST DES MOINES",50266
2022,"AMERICAN TECHNOLOGY CONSULTING LLC",0,0,10,1,54,5518,IA,CLIVE,50325
2022,"AMES IT AND NUMERIC SOLUTIONS LLC",0,12,0,2,54,8122,IA,AMES,50010
2022,"APTALOGIC INC",0,0,1,0,54,8933,IA,AMES,50014
2022,"ATHENE ANNUITY AND LIFE COMPANY",3,0,17,0,52,5020,IA,"WEST DES MOINES",50266
2022,"ATHENE ANNUITY AND LIFE COMPANY",0,0,1,0,52,5020,IA,WDM,50266
2022,"ATWOOD ENERGY SERVICES LLC",0,0,1,0,23,8895,IA,SIGOURNEY,52591
2022,"AUTOTECH TECHNOLOGIES LP",1,0,0,0,33,8451,IA,BETTENDORF,52722
2022,"BANKERS TRUST COMPANY",1,0,0,0,52,7385,IA,"DES MOINES",50309
2022,"BARNTOOLS LLC",0,0,1,0,33,8566,IA,"WEST DES MOINES",50266
2022,"BERKLEY TECHNOLOGY SERVICES LLC",0,0,1,0,52,6485,IA,URBANDALE,50322
2022,"BOONE COUNTY HOSPITAL",1,0,0,0,62,7625,IA,BOONE,50036
2022,"BRANDFX, LLC",1,0,0,0,33,7062,IA,"SWEA CITY",50590
2022,"BRIAR CLIFF UNIVERSITY",3,0,0,0,61,7124,IA,"SIOUX CITY",51104
2022,"BSB DESIGN INC",0,0,1,0,54,8469,IA,"WEST DES MOINES",50266
2022,"BUSH CONSTRUCTION COMPANY INC",0,0,1,0,54,5522,IA,DAVENPORT,52807
2022,"BUSINESSOLVER.COM INC",1,0,2,0,54,3807,IA,"WEST DES MOINES",50265
2022,"CAM COMMUNITY SCH DIST",1,0,0,0,61,6700,IA,ANITA,50020
2022,"CAMBREX CHARLES CITY INC",2,0,7,1,32,1455,IA,"CHARLES CITY",50616
2022,"CANDEO COUNSELING CENTER INC",1,0,0,0,62,1558,IA,"CEDAR FALLS",50613
2022,"CASEYS RETAIL COMPANY D B A CASEYS",0,0,4,0,44,5921,IA,ANKENY,50021
2022,"CATHOLIC HEALTH INITIATIVES IOWA CORP",4,0,1,0,62,0448,IA,"DES MOINES",50314
2022,"CATHOLIC HLTH INITIATIVES IA CORP",1,0,0,0,62,0448,IA,"DES MOINES",50314
2022,"CDS GLOBAL INC",0,0,2,0,54,7783,IA,"DES MOINES",50315
2022,"CEDAR VALLEY MEDICAL SPECIALISTS P C",0,0,1,0,62,7307,IA,WATERLOO,50701
2022,"CEDAR VALLEY MEDICAL SPECIALISTS PC",0,0,2,0,62,7307,IA,WATERLOO,50701
2022,"CENTER FOR NATIONAL INDEPENDENCE I",1,0,0,0,81,4261,IA,"DES MOINES",50311
2022,"CEREBRAL GROUP LLC",2,0,0,1,54,6044,IA,"DES MOINES",50309
2022,"CIRCLE COMPUTER RESOURCES INC",0,0,1,0,54,4024,IA,"CEDAR RAPIDS",52404
2022,"CJ BIO AMERICA INC",1,0,0,0,31,1026,IA,"FORT DODGE",50501
2022,"CLARINDA REGIONAL HEALTH CENTER",1,0,1,0,62,5819,IA,CLARINDA,51632
2022,"CLEAR CREEK AMANA COMMUNITY SCH DI",1,0,0,0,61,8125,IA,OXFORD,52322
2022,"COE COLLEGE",1,0,1,0,61,6467,IA,"CEDAR RAPIDS",52402
2022,"COMMUNITY CPA AND ASSOCIATES INC",0,0,2,0,54,1302,IA,"DES MOINES",50312
2022,"COMMUNITY HEALTH CARE INC",0,0,4,0,62,0724,IA,DAVENPORT,52801
2022,"CONCAT SYSTEMS INC",2,0,0,0,54,4406,IA,URBANDALE,50322
2022,"CONFLUENCE INC",0,0,1,0,54,5404,IA,"DES MOINES",50309
2022,"CONTROLTECH CORPORATION",0,0,1,0,33,3953,IA,BONDURANT,50035
2022,"CORNELL COLLEGE",1,0,1,0,61,0335,IA,"MOUNT VERNON",52314
2022,"COUNCIL BLUFFS COMMUNITY SCHOOL DISTRICT",0,0,1,0,61,1281,IA,"COUNCIL BLUFFS",51503
2022,"COVENANT MEDICAL CENTER INC D/B/A MERCYONE WATERLOO MEDICAL CENTER",5,0,2,0,62,4647,IA,WATERLOO,50702
2022,"CRAWFORD COUNTY MEMORIAL HOSPITAL",2,0,0,0,62,7896,IA,DENISON,51442
2022,"CRST EXPEDITED INC DBA CRST THE TRANSPORTATION SOLUTION INC",0,0,1,0,48,0182,IA,"CEDAR RAPIDS",52401
2022,"DANFOSS POWER SOLUTIONS US COMPANY",6,0,9,0,33,5015,IA,AMES,50010
2022,"DAVIS COUNTY HOSPITAL",2,0,0,0,62,6219,IA,BLOOMFIELD,52537
2022,"DELTA DENTAL OF IOWA",0,0,1,0,52,9302,IA,JOHNSTON,50131
2022,"DES MOINES AREA COMMUNITY COLLEGE",3,0,0,0,61,6354,IA,ANKENY,50023
2022,"DES MOINES INDEPENDENT COMMUNITY S",0,0,1,0,61,1433,IA,"DES MOINES",50312
2022,"DES MOINES INDEPENDENT COMMUNITY SCHOOL DISTRICT D/B/A DES MOINES PUBLIC SCHOOLS",0,0,1,0,61,1433,IA,"DES MOINES",50312
2022,"DES MOINES INDEPENDENT COMMUNITY SCHOOL DISTRICT D/B/A DES MOINES PUBLIC SCHOOLS",2,0,0,0,61,1433,IA,"DES MOINES",50321
