"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACADIA CENTER",1,0,0,0,81,8193,ME,ROCKPORT,04856
2022,"ACADIA HOSPITAL",0,0,1,0,62,9837,ME,BANGOR,04402
2022,"AMERICAN IND CONSTRUCTION LLC",0,0,1,0,99,7688,ME,GRAY,04039
2022,"AMERICAN INDUSTRIAL CONSTRUCTION LLC",1,0,1,0,23,7688,ME,GRAY,04039
2022,ARKATECHTURE,0,0,1,0,54,9415,ME,PORTLAND,04101
2022,"BANGOR SAVINGS BANK",0,0,1,0,52,4610,ME,BANGOR,04401
2022,"BATES COLLEGE",3,0,1,0,61,1781,ME,LEWISTON,04240
2022,"BIGELOW LABORATORY FOR OCEAN SCIENCES",0,1,1,0,54,6001,ME,"EAST BOOTHBAY",04544
2022,"BOWDOIN COLLEGE",4,0,4,1,61,5213,ME,BRUNSWICK,04011
2022,"CENTRAL MAINE DENTAL PC DBA ANDROS",1,0,0,0,62,0002,ME,LEWISTON,04240
2022,"CENTRAL MAINE MEDICAL CENTER",2,0,0,0,62,1494,ME,LEWISTON,04240
2022,"COLBY COLLEGE",1,0,0,0,51,1497,ME,WATERVILLE,04901
2022,"COLBY COLLEGE",10,1,4,0,61,1497,ME,WATERVILLE,04901
2022,"CONVERGE TECHNOLOGY SOLUTIONS US LLC",0,0,1,0,42,2457,ME,WILTON,04294
2022,"EASTERN MAINE MEDICAL CENTER",1,0,0,0,52,1501,ME,BANGOR,04401
2022,"EASTERN MAINE MEDICAL CENTER",11,0,21,2,62,1501,ME,BANGOR,04401
2022,"FHC INC",1,0,0,0,33,0884,ME,BOWDOIN,04287
2022,"FISH RIVER RURAL HEALTH",1,0,0,0,62,2749,ME,"EAGLE LAKE",04739
2022,"GENTLE DENTAL P C",1,0,0,0,62,6739,ME,PORTLAND,04102
2022,"GREENPAGES INC",0,0,1,0,54,4323,ME,KITTERY,03904
2022,"HEALTH ACCESS NETWORK INC",0,0,1,0,62,0708,ME,LINCOLN,04457
2022,"HUSSON UNIVERSITY",1,0,0,0,61,1210,ME,BANGOR,04401
2022,"IDEXX DISTRIBUTION INC",1,0,0,0,54,6625,ME,WESTBROOK,04092
2022,"IDEXX LABORATORIES INC",3,0,19,1,54,3723,ME,WESTBROOK,04092
2022,"ILLINOIS TOOL WORKS INC",0,0,1,0,33,8310,ME,"MECHANIC FALLS",04256
2022,"INLAND HOSPITAL",2,0,0,0,62,7211,ME,WATERVILLE,04901
2022,"JOHNNYS SELECTED SEEDS",1,0,0,0,11,2731,ME,WINSLOW,04901
2022,"KATAHDIN VALLEY HEALTH CENTER",2,0,1,0,62,1014,ME,PATTEN,04765
2022,"KENNEBEC VALLEY COUNCIL OF GOVERNM",0,0,0,1,92,8478,ME,FAIRFIELD,04937
2022,"LANCO ASSEMBLY SYSTEMS INC",0,0,1,0,23,4214,ME,WESTBROOK,04092
2022,"LL BEAN INC",0,0,2,0,44,6590,ME,FREEPORT,04033
2022,"LL BEAN INC",0,0,3,0,33,6590,ME,FREEPORT,04033
2022,"LLBEAN INC",0,0,3,0,33,6590,ME,FREEPORT,04033
2022,"LLBEAN INC",0,0,1,0,44,6590,ME,FREEPORT,04033
2022,"MAINE INFORMATION NETWORK LLC",1,0,0,0,51,2581,ME,AUGUSTA,04330
2022,"MAINE SCHOOL ADMINISTRATIVE DISTRICT 15 M S A D 15",1,0,0,0,61,6147,ME,GRAY,04039
2022,"MAINEGENERAL MEDICAL CENTER",0,0,4,0,62,9653,ME,AUGUSTA,04330
2022,MAINEHEALTH,1,0,5,0,62,8552,ME,PORTLAND,04102
2022,"ME COLLEGE OF ART",0,0,1,0,61,8758,ME,PORTLAND,04101
2022,"MEDRHYTHMS INC",1,0,0,0,62,8808,ME,PORTLAND,04101
2022,"MOOSE RIVER LUMBER INC",0,1,0,0,32,4663,ME,"DOVER FOXCROFT",04426
2022,"MOUNT DESERT ISLAND HOSPITAL",1,0,1,0,62,1797,ME,"BAR HARBOR",04609
2022,"MRH CORP D/B/A NORTHERN LIGHT MAYO HOSPITAL",1,0,0,0,62,9003,ME,"DOVER FOXCROFT",04426
2022,"NEW ENGLAND LIFE CARE INC D/B/A ADVANCED COMPOUNDING SOLUTIONS",1,1,0,0,62,5337,ME,"SOUTH PORTLAND",04106
2022,"NORTHERN MAINE MEDICAL CENTER",1,0,1,0,62,4189,ME,"FORT KENT",04743
2022,"OPAL GLOBAL LLC",1,0,0,0,54,4687,ME,BELFAST,04915
2022,"PENOBSCOT RESPIRATORY",1,0,3,0,62,7467,ME,BANGOR,04401
