"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"0 NORTH AVE WAKEFIELD LLC",1,0,0,0,53,4694,MA,WAKEFIELD,01880
2022,"19 VARNUM ST OPERATING CO LLC",0,0,1,0,62,1991,MA,LOWELL,01850
2022,"1910 GENETICS INC",1,0,0,0,99,2635,MA,BOSTON,02210
2022,"1DATASCIENCE INC D/B/A THINC360",0,0,1,0,56,8493,MA,WOBURN,01801
2022,"1UPHEALTH INC",1,0,0,0,54,1133,MA,BOSTON,02108
2022,"1UPHEALTH INC",2,0,0,0,54,1133,MA,BOSTON,02210
2022,"24M TECHNOLOGIES INC",3,0,1,0,54,7875,MA,CAMBRIDGE,02139
2022,"2SEVENTY BIO INC",0,0,1,0,32,8454,MA,CAMBRIDGE,02142
2022,"2SEVENTY BIO INC",3,0,10,0,54,8454,MA,CAMBRIDGE,02142
2022,"312 MILLBURY OPERATING CO LLC DBA",0,0,1,0,62,1977,MA,MILLBURY,01527
2022,"3IC RESEARCH LLC",0,0,1,0,54,6320,MA,BOSTON,02109
2022,"3PLAY MEDIA INC",1,0,1,0,54,7422,MA,BOSTON,02114
2022,"3SHARE INC",0,0,3,0,54,7074,MA,BOSTON,02109
2022,"42 NORTH DENTAL CARE LLC",7,0,3,0,62,9875,MA,WALTHAM,02451
2022,"42 NORTH DENTAL CARE PLLC",0,0,5,0,62,0969,MA,WALTHAM,02451
2022,"47 BRAND LLC",0,0,1,0,42,3847,MA,WESTWOOD,02090
2022,"4G CLINICAL LLC",0,0,1,0,54,2554,MA,WELLESLEY,02481
2022,"4G CLINICAL LLC",0,0,2,0,54,2554,MA,"WELLESLEY HILLS",02481
2022,"4SCHOOLERS, LLC",1,0,0,0,61,3852,MA,BROOKLINE,02446
2022,"58 BAKERY INC DBA PARIS BAGUETTE",1,0,0,0,72,5251,MA,CAMBRIDGE,02139
2022,"6 RIVER SYSTEMS LLC",4,0,16,0,51,6724,MA,WALTHAM,02452
2022,"617MEDIGROUP LLC DBA 617MEDIAGROUP",0,0,2,0,54,2805,MA,BOSTON,02109
2022,"89 DEGREES INC DBA IRIS CONCISE",0,0,0,1,54,7128,MA,BURLINGTON,01803
2022,"A CHEMTEK INC",0,0,1,0,54,2636,MA,WORCESTER,01606
