"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"AI TROOPERS LLC",0,0,1,0,54,0179,MS,MADISON,39110
2022,"ALCORN STATE UNIVERSITY",2,0,4,0,61,0013,MS,LORMAN,39096
2022,"BLUE CROSS & BLUE SHIELD OF MISSIS",0,0,2,0,52,5748,MS,FLOWOOD,39232
2022,"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI",1,0,15,0,52,5748,MS,FLOWOOD,39232
2022,"BORGWARNER EMISSIONS SYSTEMS LLC",0,0,1,0,33,2406,MS,"WATER VALLEY",38965
2022,"BUTLER SNOW LLP",1,0,0,0,54,1849,MS,RIDGELAND,39157
2022,"CENTRAL NEPHROLOGY CLINIC PLLC",0,0,1,0,62,1174,MS,FLOWOOD,39232
2022,"CENTRAL SERVICES ASSOCIATION",1,0,0,0,54,2815,MS,TUPELO,38801
2022,"CHANNEL CONTROL MERCHANTS LLC",0,0,1,0,45,3319,MS,HATTIESBURG,39402
2022,"COASTAL FAMILY HEALTH CENTER INC",1,0,0,0,62,2416,MS,BILOXI,39533
2022,"CONFORTAIRE INC",1,0,0,0,32,2014,MS,TUPELO,38804
2022,"COPIAH COUNTY SCHOOL DISTRICT",0,0,1,0,61,0291,MS,HAZLEHURST,39083
2022,"DMC POWER INC",3,0,0,0,33,6832,MS,"OLIVE BRANCH",38654
2022,"DR SCOTT DICKINSON DMD PC",1,0,0,0,62,3914,MS,TUPELO,38804
2022,"DUTCH PHARMACIES INC",0,0,1,0,44,9296,MS,GREENVILLE,38702
2022,"EAST MISSISSIPPI COMMUNITY COLLEGE",1,0,0,0,61,0330,MS,SCOOBA,39358
2022,"ELSOHLY LABORATORIES INC",1,0,0,0,62,2325,MS,OXFORD,38655
2022,"ENTERGY OPERATIONS INC",0,0,2,0,22,8106,MS,JACKSON,39213
2022,"ERGON INC",1,0,0,0,21,3423,MS,FLOWOOD,39232
2022,"ERGON REFINING INC",1,0,0,0,21,5354,MS,FLOWOOD,39232
2022,"FHS PROVIDER SERVICES INC",0,0,1,0,62,9177,MS,CENTREVILLE,39631
2022,"FORREST GEN HOSP D/B/A PINE GROVE",0,0,2,0,62,1587,MS,HATTIESBURG,39402
2022,"FOWLER ENGINEERING LLC",1,0,0,0,54,4676,MS,HERNANDO,38632
2022,"GREENVILLE PUBLIC SCHOOL DISTRICT",1,0,0,0,61,0600,MS,GREENVILLE,38701
