"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"8TH AVENUE FOOD @ PROVISIONS INC",0,0,1,0,31,5288,MO,FENTON,63026
2022,"A ZAHNER COMPANY",0,0,1,0,33,6085,MO,"KANSAS CITY",64106
2022,"A.T. STILL UNIV OF HEALTH SCIENCES",2,0,1,0,61,6250,MO,KIRKSVILLE,63501
2022,"ABACUS CPAS LLC",1,0,0,0,54,8447,MO,SPRINGFIELD,65804
2022,"ACADEMIE LAFAYETTE",10,0,2,0,61,4141,MO,"KANSAS CITY",64111
2022,"ACCENT CONTROLS, INC",0,0,1,0,54,3815,MO,"NORTH KANSAS CITY",64116
2022,"ACERA SURGICAL INC",0,0,1,0,33,8439,MO,"SAINT LOUIS",63131
2022,"ACLARA SMART GRID SOLUTIONS LLC",0,0,2,0,33,7202,MO,"SAINT LOUIS",63146
2022,"ACLARA TECHNOLOGIES LLC",0,0,1,0,33,6600,MO,"SAINT LOUIS",63143
2022,"ACLARA TECHNOLOGIES LLC",0,0,1,0,33,6600,MO,"SAINT LOUIS",63146
2022,"ADAPTIVE TECHNOLOGY INSIGHTS LLC",0,0,1,0,54,9757,MO,"SAINT LOUIS",63141
2022,"ADEPOJU DMD LLC",1,0,0,0,62,2681,MO,SPRINGFIELD,65804
2022,"AFFINIA HEALTHCARE FKA GRACE HILL HEALTH CENTER INC",1,0,0,0,62,7642,MO,"SAINT LOUIS",63106
2022,"AGGIO LLC",1,0,0,0,51,3833,MO,"SAINT LOUIS",63132
2022,"AI SOFTWARE LLC D B A CAPACITY",0,0,1,0,51,5297,MO,"SAINT LOUIS",63130
2022,"ALBERICI CONSTRUCTORS INC",0,0,1,0,23,4621,MO,"SAINT LOUIS",63114
2022,"ALLSTATE CONSULTANTS LLC",0,0,1,0,54,9539,MO,COLUMBIA,65201
2022,"ALPHA SYNOPSYS INC",0,0,3,0,54,3763,MO,CHESTERFIELD,63005
2022,"ALPHAINFOSYS INC",6,0,0,0,54,8398,MO,"SAINT LOUIS",63146
2022,"ALPS ALTERNATIVE INVESTMENT SERVIC",0,0,1,0,52,8398,MO,"KANSAS CITY",64105
2022,"ALPS ALTERNATIVE INVESTMENT SERVICES LLC",0,0,2,0,52,8398,MO,"KANSAS CITY",64105
2022,"ALSTOM SIGNALING OPERATION LLC",1,0,0,0,33,8036,MO,"GRAIN VALLEY",64029
2022,"ALUBAR METALS MISSOURI, LLC",1,0,0,0,33,3646,MO,MARSTON,63866
2022,"AMDOCS INC",0,0,2,0,54,9487,MO,"SAINT LOUIS",63141
2022,"AMDOCS INC",3,0,24,0,54,9487,MO,CHESTERFIELD,63017
2022,"AMDOCS INC",10,0,32,0,54,9487,MO,"SAINT LOUIS",63141
2022,"AMEREN SERVICES COMPANY",0,0,13,0,22,9279,MO,"SAINT LOUIS",63103
2022,"AMEREN SERVICES COMPANY",0,0,1,0,22,9279,MO,"ST LOUIS",63103
2022,"AMERICAN CENTURY INVESTMENT MANAGEMENT INC",1,0,1,0,52,0487,MO,"KANSAS CITY",64111
2022,"AMERICAN CENTURY INVESTMENT MANAGEMENT INC",0,0,1,0,52,0487,MO,"KANSAS CITY",64141
2022,"AMERICAN CRICKET ACADEMY AND CLUB",1,0,0,0,71,5223,MO,"DARDENNE PR",63368
2022,"AMITECH SOLUTIONS INC",1,0,0,0,54,6620,MO,"ST LOUIS",63141
2022,"AMITECH SOLUTIONS INC",3,0,3,1,54,6620,MO,"SAINT LOUIS",63141
2022,"ANGUS GENETICS INC",1,0,0,0,54,8448,MO,"SAINT JOSEPH",64506
2022,"ANHEUSER BUSCH COMMERCIAL STRATEGY LLC",0,0,1,0,31,1621,MO,"SAINT LOUIS",63118
2022,"ANHEUSER BUSCH COMPANIES LLC",0,0,1,0,31,2835,MO,"SAINT LOUIS",63118
2022,"ANHEUSER BUSCH INBEV SERVICES LLC",1,0,0,0,31,9638,MO,"SAINT LOUIS",63118
2022,"ANHEUSER BUSCH LLC",5,0,2,0,31,1000,MO,"SAINT LOUIS",63118
2022,"APPLICATION ENGINEERING GROUP INC",0,0,1,0,54,3000,MO,"SAINT LOUIS",63128
2022,"ARCTIC FOOD SERVICES INC",1,0,0,0,42,3449,MO,"SAINT LOUIS",63129
2022,"ASCENSION HEALTH ALLIANCE",0,0,1,0,56,8926,MO,"SAINT LOUIS",63134
2022,"ASCENSION HEALTH ALLIANCE",0,0,1,0,62,8926,MO,"SAINT LOUIS",63134
2022,"ASCENSION HEALTH IS INC D B A ASCE",0,0,7,0,62,7719,MO,"SAINT LOUIS",63134
2022,"ASCENSION HEALTH IS INC D B A ASCENSION TECHNOLOGIES",0,0,11,0,62,7719,MO,"SAINT LOUIS",63134
2022,"ASCENSION INVESTMENT MANAGEMENT LLC",0,0,1,0,52,6815,MO,"SAINT LOUIS",63134
2022,"ASPYRETECH INC",1,0,0,0,54,4047,MO,"ST PETERS",63376
2022,"ASPYRETECH INC",0,0,1,0,54,4047,MO,"SAINT PETERS",63376
2022,"ASSURED PARTNERS CAPITAL INC",1,0,0,0,52,2335,MO,"KANSAS CITY",64111
2022,"AUTOALERT LLC",0,0,1,0,54,4925,MO,"KANSAS CITY",64105
2022,"AVOCADO BIKE LLC",1,0,0,0,33,3101,MO,WASHINGTON,63090
2022,"BAKER CREEK HEIRLOOM SEED COMPANY",1,0,0,0,42,1231,MO,MANSFIELD,65704
2022,"BALTO SOFTWARE INC",0,0,1,0,54,6471,MO,"SAINT LOUIS",63103
2022,"BARNES JEWISH HOSPITAL",1,0,0,0,62,9937,MO,"ST LOUIS",63110
2022,"BARNES JEWISH HOSPITAL",4,0,19,1,62,9937,MO,"SAINT LOUIS",63110
2022,"BARRY WEHMILLER COMPANIES INC",0,0,4,0,33,2560,MO,"SAINT LOUIS",63105
2022,"BASS PRO LLC",4,0,10,0,45,9775,MO,SPRINGFIELD,65898
2022,"BAYER CROPSCIENCE LP",0,0,4,0,54,4873,MO,"SAINT LOUIS",63167
2022,"BAYER CROPSCIENCE LP",1,0,0,0,32,4873,MO,"ST LOUIS",63141
2022,"BAYER CROPSCIENCE LP",2,0,6,2,32,4873,MO,"SAINT LOUIS",63141
2022,"BAYER CROPSCIENCE LP",1,0,5,0,32,4873,MO,"SAINT LOUIS",63167
2022,"BAYER RESEARCH AND DEVELOPMENT SER",0,0,3,0,32,6278,MO,"SAINT LOUIS",63141
2022,"BAYER RESEARCH AND DEVELOPMENT SER",3,0,6,0,32,6278,MO,"SAINT LOUIS",63167
2022,"BAYER RESEARCH AND DEVELOPMENT SERVICES LLC",1,1,8,0,32,6278,MO,"SAINT LOUIS",63141
2022,"BAYER RESEARCH AND DEVELOPMENT SERVICES LLC",2,0,10,0,54,6278,MO,"SAINT LOUIS",63167
2022,"BAYER RESEARCH AND DEVELOPMENT SERVICES LLC",2,0,0,0,32,6278,MO,"ST LOUIS",63167
2022,"BAYER RESEARCH AND DEVELOPMENT SERVICES LLC",9,0,11,0,32,6278,MO,"SAINT LOUIS",63167
2022,"BAYER RESEARCH AND DEVELOPMENT SERVICES LLC",0,0,1,0,54,6278,MO,"ST LOUIS",63167
2022,"BAYER RESEARCH AND DEVELOPMENT SERVICES LLC",1,0,0,0,32,6278,MO,"ST. LOUIS",63167
2022,"BAYER U S LLC",1,0,0,0,32,3779,MO,"ST. LOUIS",63167
2022,"BAYER U S LLC",0,0,1,0,54,3779,MO,"SAINT LOUIS",63141
2022,"BAYER U S LLC",8,0,65,0,32,3779,MO,"SAINT LOUIS",63167
2022,"BAYER U S LLC",7,0,0,0,32,3779,MO,"ST LOUIS",63167
2022,"BAYER U S LLC",1,0,0,0,32,3779,MO,"ST. LOUIS",63141
2022,"BAYER U S LLC",0,0,1,0,32,3779,MO,CHESTERFIELD,63017
2022,"BEHAVIORAL HEALTH RESPONSE INC",1,0,0,0,62,8980,MO,"SAINT LOUIS",63112
2022,"BELDEN INC",0,0,3,0,33,1505,MO,"SAINT LOUIS",63105
2022,"BENEFIT FINANCE PARTNERS LLC",1,0,0,0,52,6357,MO,"SAINT LOUIS",63141
2022,"BENSON HILL INC",1,0,1,0,54,3749,MO,"SAINT LOUIS",63132
2022,"BETTY JEAN KERR PEOPLE S HEALTH CENTERS",2,0,1,0,62,6785,MO,"SAINT LOUIS",63112
2022,BIOGENERATOR,1,0,0,0,54,9805,MO,"SAINT LOUIS",63110
2022,"BITRODE CORPORATION",1,0,0,0,33,1617,MO,"ST LOUIS",63123
2022,"BJC HEALTH SYSTEM",0,0,1,0,62,7558,MO,"SAINT LOUIS",63144
2022,"BLUE CROSS AND BLUE SHIELD OF KANSAS CITY",0,0,2,0,52,7251,MO,"KANSAS CITY",64108
2022,"BLUERIBBON GLOBAL TECHNOLOGIES LLC",1,0,0,0,54,2711,MO,"ST LOUIS",63146
2022,"BLUERIBBON GLOBAL TECHNOLOGIES LLC",2,0,0,0,54,2711,MO,"SAINT LOUIS",63146
2022,"BLUESCOPE BUILDINGS NORTH AMERICA",1,0,1,0,33,3911,MO,"KANSAS CITY",64102
2022,"BLUESCOPE CONSTRUCTION INC",0,0,1,0,33,9971,MO,"KANSAS CITY",64102
2022,"BOEING DIGITAL SOLUTIONS INC D/B/A",1,0,0,0,33,2974,MO,HAZELWOOD,63166
2022,"BOEING DIGITAL SOLUTIONS INC D/B/A",1,0,0,0,33,2974,MO,HAZELWOOD,63042
2022,"BOEING DIGITAL SOLUTIONS INC D/B/A",0,0,1,0,33,2974,MO,"SAINT LOUIS",63166
2022,"BOHN & DAWSON INC",0,0,1,0,33,8730,MO,"SAINT LOUIS",63122
2022,"BRAVE LLC DBA BRAVE COUNSELING AND PSYCHIATRY",1,0,0,0,62,6500,MO,COLUMBIA,65201
2022,"BREWER SCIENCE INC",4,0,1,0,54,0668,MO,ROLLA,65401
2022,"BREWER SCIENCE, INC.",2,0,0,0,54,0668,MO,ROLLA,65401
2022,"BUFF ENTERPRISES LLC DBA 1ST PHORM",1,0,0,0,44,9876,MO,FENTON,63026
2022,"BUILD ASSET MANAGEMENT LLC",0,1,0,0,52,1301,MO,"JEFFERSON CTY",65109
