"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ADVISR INC",0,0,1,0,54,2633,MT,BOZEMAN,59715
2022,"AGRI SYSTEMS",1,0,0,0,23,2692,MT,BILLINGS,59101
2022,"ATRIUM INSIGHT INC",0,0,1,0,54,1741,MT,BOZEMAN,59718
2022,"BAYLISS ARCHITECTS PC",1,0,0,0,54,4128,MT,BOZEMAN,59718
2022,"BEARTOOTH RADIO INC",0,0,1,0,33,2776,MT,BOZEMAN,59715
2022,"BENEFIS HEALTH SYSTEM INC",4,0,5,0,62,8104,MT,"GREAT FALLS",59405
2022,"BILLINGS CLINIC",3,0,2,0,62,1784,MT,BILLINGS,59107
2022,"BROCKTON SCHOOL DISTRICT",1,0,0,0,61,0892,MT,BROCKTON,59213
2022,"CENTRAL MONTANA MEDICAL CENTER",1,0,1,0,62,9043,MT,LEWISTOWN,59457
2022,"CLASSPASS INC",1,0,0,0,71,9319,MT,MISSOULA,59802
2022,"CRIME PREVENTION RESEARCH CENTER",0,0,1,0,81,7179,MT,MISSOULA,59803
2022,"DISCOVERY COMMUNICATIONS LLC",0,0,1,0,51,4298,MT,GREENVILLE,59601
2022,"DROVER INC",0,0,1,0,33,1531,MT,"BIG SKY",59716
2022,"FAIR ISAAC CORPORATION",0,0,15,0,54,9887,MT,BOZEMAN,59715
2022,"FORT BELKNAP PLANNING AND DVLP",0,0,1,0,54,1463,MT,HAYS,59527
2022,"GALILEO FINANCIAL TECHNOLOGIES LLC",0,0,1,0,52,8078,MT,HELENA,59601
2022,"GLACIER EYE CLINIC PC",1,0,0,0,62,1208,MT,KALISPELL,59901
2022,"HGFA ARCHITECTS PLLC",0,0,1,0,54,1214,MT,BILLINGS,59101
2022,"INIMMUNE CORPORATION",1,0,0,0,54,8845,MT,MISSOULA,59802
2022,"JLC SOLUTIONS LLC",2,0,0,0,23,2410,MT,WILSALL,59086
2022,"KARROS TECHNOLOGIES LLC",0,0,1,0,51,5028,MT,MISSOULA,59808
2022,"LIBERTY COUNTY HOSPITAL AND NURSING HOME INC",0,0,1,0,62,5463,MT,CHESTER,59522
2022,"LUMENAD INC",0,0,1,0,54,0131,MT,MISSOULA,59802
2022,"MAGRIS TALC USA INC",0,0,1,0,21,2985,MT,"THREE FORKS",59752
2022,"MINISTRAT LLC DBA ORATIUM",1,0,0,0,81,5250,MT,BILLINGS,59102
2022,"MONTANA STATE UNIVERSITY",13,0,6,0,61,0045,MT,BOZEMAN,59717
2022,"MONTANA STATE UNIVERSITY BILLINGS",1,0,0,0,61,,MT,BILLINGS,59101
2022,"MOUNTAIN HEALTH COOPERATIVE D/B/A",0,0,1,0,52,5465,MT,HELENA,59601
2022,"NEURO-ID, INC.",0,0,2,0,54,5300,MT,WHITEFISH,59937
2022,"NORTHEAST MONTANA HEALTH SERVICES INC",1,0,0,0,62,6578,MT,"WOLF POINT",59201
2022,"NORTHERN MONTANA HEALTH CARE INC D/B/A NORTHERN MONTANA HOSPITAL",1,0,0,0,62,1787,MT,HAVRE,59501
2022,"PIONEER MEDICAL CENTER",1,0,0,0,62,7700,MT,"BIG TIMBER",59011
2022,"REID SMITH ARCHITECTS INC",1,0,0,0,54,9694,MT,BOZEMAN,59715
2022,"RESOURCE AMERICA INFORMATION TECHN",0,0,1,0,54,0522,MT,"SAINT PETERS",63004
2022,"ROCKY MOUNTAIN COLLEGE",0,0,1,0,61,5407,MT,BILLINGS,59102
2022,"SCL HLTH MED GROUP BILLINGS LLC",0,0,1,0,62,6262,MT,BILLINGS,59101
2022,"SIDNEY HEALTH CENTER",2,0,0,0,62,3499,MT,SIDNEY,59270
2022,"SNOWFLAKE INC",0,0,2,0,51,6374,MT,"SAN MATEO",59715
2022,"SNOWFLAKE INC",0,0,5,0,51,6374,MT,BOZEMAN,59715
2022,"SOCIAL FINANCE INC",0,1,0,0,55,9523,MT,HELENA,59601
2022,"SOCIAL FINANCE INC",1,0,12,0,52,9523,MT,HELENA,59601
2022,"SOCIAL FINANCE INC",0,0,1,0,52,9852,MT,HELENA,59601
2022,"ST PETERS HEALTH",0,0,1,0,62,3121,MT,HELENA,59601
2022,"TANA SYSTEMS INC",5,0,0,0,33,0793,MT,"WOLF CREEK",59648
2022,"TANA SYSTEMS INC",15,0,2,0,54,0793,MT,"WOLF CREEK",59648
2022,"THE UNIVERSITY OF MONTANA MONTANA TECHNOLOGICAL UNIVERSITY",1,0,0,0,61,1713,MT,BUTTE,59701
2022,"UNIVERSITY OF MONTANA",1,0,2,0,61,1713,MT,BUTTE,59701
2022,"UNIVERSITY OF MONTANA",2,0,2,0,61,1713,MT,MISSOULA,59812
2022,"WILDFIRE DEFENSE SYSTEMS INC",1,0,0,0,11,0864,MT,BOZEMAN,59718
