"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"3D TECHNOLOGIES LLC",8,1,0,0,54,3952,NE,MCCOOK,69001
2022,"3D TECHNOLOGIES LLC",5,0,2,0,54,3952,NE,"MC COOK",69001
2022,"ACI WORLDWIDE CORP",2,0,13,1,54,7215,NE,ELKHORN,68022
2022,"AGI SURETRACK LLC",0,0,1,0,11,0563,NE,"FALLS CITY",68355
2022,"AGILE SPORTS TECHNOLOGIES INC DBA HUDL",2,0,1,0,51,8054,NE,LINCOLN,68508
2022,"ALEGENT CREIGHTON CLINIC",4,0,17,1,62,5154,NE,OMAHA,68154
2022,"ALEGENT CREIGHTON HEALTH D/B/A CHI",1,0,0,0,62,7164,NE,OMAHA,68130
2022,"ALEGENT CREIGHTON HEALTH D/B/A CHI",1,0,0,0,62,7164,NE,PLAINVIEW,68769
2022,"ALEGENT HEALTH BERGAN MERCY HEALTH",4,0,0,0,62,4764,NE,OMAHA,68122
2022,"ALEGENT HEALTH BERGAN MERCY HEALTH",4,0,0,0,62,4764,NE,OMAHA,68124
2022,"ALEGENT HEALTH BERGAN MERCY HEALTH",1,0,0,0,62,4761,NE,OMAHA,68122
2022,"ALEGENT HEALTH MEMORIAL HOSPITAL SCHUYLER",0,0,1,0,62,9853,NE,SCHUYLER,68661
2022,"ALEGENT HEALTH MERCY HOSPITAL CORNING IOWA",2,0,0,0,62,2518,NE,OMAHA,68154
2022,"ALEGENT HLTH BERGAN MERCY HLTH D/B",4,0,0,0,62,4764,NE,OMAHA,68122
2022,"ALEGENT HLTH IMMANUEL MED CTR",2,0,0,0,62,6615,NE,OMAHA,68122
2022,"AMERICAN SHIZUKI CORPORATION",2,0,0,0,33,9225,NE,OGALLALA,69153
2022,"AMERICAN TECHNOLOGY GROUP LLC",6,0,0,0,54,8071,NE,"GRAND ISLAND",68801
2022,"AMERITAS LIFE INSURANCE CORP",2,0,15,0,52,8400,NE,LINCOLN,68510
2022,"ANDERSON INDUSTRIAL ENGINES COMPANY INC",0,0,1,0,42,7609,NE,OMAHA,68138
2022,"APEX INFORMATICS LLC",5,1,1,0,54,7343,NE,OMAHA,68131
2022,"APPLIED UNDERWRITERS INC",2,0,0,0,52,2393,NE,OMAHA,68154
