"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,,1,0,0,0,54,0492,NV,RENO,89511
2022,"1047 GAMES INC DBA SPLITGATE",1,0,0,0,51,5678,NV,"ZEPHYR COVE",89448
2022,"1POINT3ACRES LLC",1,0,0,0,51,0301,NV,"LAS VEGAS",89109
2022,"2600HZ INC",1,0,0,1,51,7748,NV,HENDERSON,89052
2022,"2K VEGAS, INC.",0,0,1,0,51,7833,NV,"LAS VEGAS",89101
2022,"ABSOLUTE DENTAL & ORTHODONTICS PRADA, PLLC",1,0,0,0,62,5197,NV,"LAS VEGAS",89102
2022,"ACTUS HOLDINGS",0,0,1,0,54,0360,NV,"LAS VEGAS",89120
2022,"ADVANCED TECH LABORATORIES INC",2,0,0,1,54,8004,NV,"LAS VEGAS",89118
2022,"ADVANCED TECHNOLOGY LABORATORIES INC",3,0,0,1,54,8004,NV,"LAS VEGAS",89118
2022,"AG IMMIGRATION LAW GROUP PA",1,0,0,0,54,3246,NV,"LAS VEGAS",89149
2022,"AGS LLC",1,0,3,0,71,6691,NV,"LAS VEGAS",89118
2022,"ALL IN BITS INC",0,0,1,0,54,3192,NV,"LAS VEGAS",89146
2022,"ALLEGIANT AIR",1,0,2,0,48,8621,NV,"LAS VEGAS",89144
2022,"ALLEGIANT AIR LLC",2,0,7,0,48,8621,NV,"LAS VEGAS",89144
2022,"ALLISON CURTIS KINGSLEY MEOZ MICHA",0,0,3,0,62,4712,NV,HENDERSON,89014
2022,"AMERICAN GEM SOCIETY",1,0,0,0,81,9272,NV,"LAS VEGAS",89117
2022,"AMERICAN WAGERING INC DBA WILLIAM HILL US",1,0,9,0,71,4658,NV,"LAS VEGAS",89118
2022,"AMERICAN WHEELCHAIR FOUNDATION",1,0,0,0,81,1639,NV,HENDERSON,89052
2022,"ANIMAL CARE CLINIC INC",2,0,0,0,54,7191,NV,HENDERSON,89012
2022,"ANVSYS INC",1,1,0,0,54,9140,NV,"CARSON CITY",89701
2022,"AQUAVIT PHARMACEUTICALS INC",1,0,0,0,32,1071,NV,"LAS VEGAS",89169
2022,"ARISTOCRAT TECHNOLOGIES INC",11,0,22,0,54,7390,NV,"LAS VEGAS",89135
2022,"ARMAND AGRA INC",0,0,1,0,42,2710,NV,RENO,89502
2022,"ARROWEYE SOLUTIONS INC",0,0,1,0,52,0532,NV,"LAS VEGAS",89119
2022,"ARTIFICIAL INTELLIGENCE FOUNDATION",1,0,0,0,51,6265,NV,"LAS VEGAS",89103
2022,"AUTHENTICATED USER DATA INC",0,0,1,0,52,2166,NV,"LAS VEGAS",89117
2022,"BATTLE MOUNTAIN GENERAL HOSPITAL",1,0,0,0,62,6024,NV,"BATTLE MOUNTAIN",89820
2022,"BAYSTONE INC",1,0,1,0,32,9061,NV,RENO,89512
2022,"BETWORKS LLC",0,0,1,0,51,6058,NV,"CARSON CITY",89703
2022,"BEX SUNGLASSES LLC",0,0,1,0,33,0225,NV,LOGANDALE,89021
2022,"BIR SOLUTIONS LLC",1,0,0,0,54,1575,NV,RENO,89501
2022,"BIR SOLUTIONS LLC",1,0,0,0,54,1575,NV,RENO,89509
2022,"BL DISTRIBUTION WEST LLC",1,0,0,0,42,8057,NV,"LAS VEGAS",89115
2022,"BLOCKCHAINS INC DBA BLOCKCHAINS",0,0,1,0,51,0429,NV,SPARKS,89437
2022,"BMM NORTH AMERICA INC DBA BMM TEST",0,0,1,0,71,0757,NV,"LAS VEGAS",89119
2022,"BREADWARE HOLDING LLC",2,0,0,0,54,7825,NV,RENO,89501
2022,"BRINC DRONES INC",1,0,0,0,33,5449,NV,"LAS VEGAS",89118
2022,"CA GROUP INC",0,0,1,0,54,8684,NV,"LAS VEGAS",89146
2022,"CAESARS ENTERPRISE SERVICES LLC",0,0,1,0,72,2354,NV,"LAS VEGAS",89109
2022,"CAESARS ENTERPRISE SVCS LLC",0,0,2,0,72,2354,NV,"LAS VEGAS",89109
2022,"CALTROL INC",1,0,0,0,42,6313,NV,"LAS VEGAS",89119
2022,"CARSON TAHOE PHYSICIAN CLINICS DBA CARSON TAHOE MEDICAL GROUP",0,0,1,0,62,6741,NV,"CARSON CITY",89703
2022,"CARSON VALLEY MEDICAL CENTER",2,0,1,0,62,5927,NV,GARDNERVILLE,89410
2022,"CARSON VALLEY MEDICAL CTR",1,0,1,0,62,5927,NV,GARDNERVILLE,89410
2022,"CASEY NEILON INC",1,0,0,0,54,0744,NV,"CARSON CITY",89703
2022,"CELL NUTRITION DIRECT LLC",1,0,0,0,44,2331,NV,"CARSON CITY",89703
2022,"CEO DEVELOPMENT LLC",0,0,1,0,53,6707,NV,"LAS VEGAS",89183
2022,"CITADEL ID INC",4,0,1,0,51,1244,NV,"LAS VEGAS",89107
2022,"CITY OF LAS VEGAS",0,0,3,0,92,0198,NV,"LAS VEGAS",89101
2022,"CIVIC CTR PEDIATRICS",0,0,2,0,62,4470,NV,"NORTH LAS VEGAS",89030
2022,"CLEARCAPITAL COM INC",0,0,9,0,52,4135,NV,RENO,89501
2022,"CONCRETE VALUE CORP OF NEVADA",1,0,0,0,23,6997,NV,SPARKS,89431
2022,"CONNOR GROUP INC",1,0,7,0,56,5452,NV,RENO,89511
2022,"CONNOR GROUP INC",1,0,2,0,54,5452,NV,RENO,89511
2022,"CORAL ACADEMY OF SCIENCE LAS VEGAS",1,0,0,0,61,0294,NV,"LAS VEGAS",89123
2022,"CREDIT ONE BANK N A",15,0,38,1,52,1595,NV,"LAS VEGAS",89113
2022,"CYRUS TANG FOUNDATION",1,0,0,0,81,1180,NV,"LAS VEGAS",89148
2022,"DISTINCTIVE CONTRACTORS LLC",0,0,1,0,54,6345,NV,"LAS VEGAS",89120
2022,"DYNAMIC ISOLATION SYSTEMS INC",1,0,0,0,33,3614,NV,SPARKS,89437
2022,"ECHELON DIAGNOSTICS INC.",1,0,0,0,99,9715,NV,RENO,89511
2022,"ED VANCE AND ASSOCIATES ARCHITECTS",0,0,1,0,54,7293,NV,"LAS VEGAS",89144
2022,"EDULOKA LIMITED DBA INLUMON",1,0,2,1,54,1278,NV,RENO,89511
2022,"EID NEVADA CRITICAL CARE PLLC UNITED CRITICAL CARE",2,0,0,0,62,4581,NV,"LAS VEGAS",89148
2022,"EIG SVCS INC",0,0,2,0,52,5445,NV,RENO,89521
2022,"ELEKS INC",1,0,0,0,54,1720,NV,"LAS VEGAS",89145
2022,"ELEPHANT TECHNOLOGIES, INC.",1,0,0,0,51,2773,NV,RENO,89509
2022,"ELIVATE AMERICA CORPORATION",2,0,0,0,42,5953,NV,"LAS VEGAS",89119
2022,"ELLIANSE LLC",2,0,6,1,54,7919,NV,HENDERSON,89074
2022,"ELLIS BANDT BIRKIN KOLLINS AND WONG PLLC D/B/A DESERT RADIOLOGY",1,0,0,0,62,8322,NV,HENDERSON,89052
2022,"ELY SHOSHONE TRIBE",0,0,1,1,92,8696,NV,ELY,89301
2022,"ENCOMPASS HEALTH REHAB HOSP OF LAS",0,0,1,0,62,3810,NV,"LAS VEGAS",89102
2022,"ENERGY INSPECTORS LLC",0,0,1,0,54,2023,NV,"LAS VEGAS",89117
2022,"ENLIGHTENED SOLUTIONS LLC",6,2,2,2,54,4974,NV,"LAS VEGAS",89101
