"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"9THNETWORKS INC",9,0,3,0,54,4220,NH,SOMERSWORTH,03878
2022,"ADIMAB SERVICE COMPANY LLC",0,0,1,0,99,8503,NH,LEBANON,03766
2022,"ADIMAB SERVICE COMPANY, LLC",1,0,1,0,54,8503,NH,LEBANON,03766
2022,"ADMIX INC",0,0,1,0,33,1092,NH,LONDONDERRY,03053
2022,"AKKEN INC",8,0,2,0,54,0527,NH,NASHUA,03062
2022,"ALLEGRO MICROSYSTEMS LLC",8,0,17,0,33,6180,NH,MANCHESTER,03103
2022,"ALLOGY INTERACTIVE LLC",1,0,0,0,51,5949,NH,LEE,03861
2022,"ALUMNI VENTURES SERVICES COMP LLC",1,0,0,0,52,5612,NH,MANCHESTER,03101
2022,"ALUMNI VENTURES SERVICES COMPANY LLC",1,0,3,0,52,5612,NH,MANCHESTER,03101
2022,"AMADEUS HOSPITALITY AMERICAS INC",0,0,8,0,51,7932,NH,PORTSMOUTH,03801
2022,"AMADEUS HOSPITALITY AMERICAS INC",0,1,3,0,54,7932,NH,PORTSMOUTH,03801
2022,"AMERICAN FOODS LLC",1,0,0,0,42,2007,NH,PELHAM,03076
2022,"AMPHENOL TCS-A DIV OF AMPHENOL COR",0,0,2,0,33,5165,NH,NASHUA,03062
2022,"AMRITA REDDY DMD PC",0,0,1,0,62,6046,NH,NASHUA,03062
2022,"ANDROSCOGGIN VALLEY HOSPITAL",1,0,0,0,62,0367,NH,BERLIN,03570
2022,"ANTIOCH UNIVERSITY",0,0,1,0,99,6640,NH,KEENE,03431
2022,"ARCOVE LLC DBA ARCOVE ARCHITECTS",1,0,0,0,54,9703,NH,PORTSMOUTH,03801
2022,"ATHENIUM LLC",1,0,1,0,54,2753,NH,DOVER,03820
2022,"ATLANTIC DIGESTIVE SPECIALISTS",0,0,1,0,62,,NH,SOMERSWORTH,03878
2022,"ATRIUM MEDICAL CORPORATION",2,0,2,0,33,7322,NH,MERRIMACK,03054
2022,"BARLO SIGNS INTERNATIONAL INC",1,0,0,0,33,1153,NH,HUDSON,03051
2022,"BHANNU HEALTHCARE SYSTEMS INC",0,0,1,0,62,1824,NH,BERLIN,03570
2022,"BID2WIN SOFTWARE INC",0,0,1,0,51,6760,NH,PORTSMOUTH,03801
2022,"BIG SKY GLOBAL LLC",0,0,3,0,54,0707,NH,MANCHESTER,03102
2022,"BILL SCHICK DESIGN LLC",1,0,0,0,54,8812,NH,MANCHESTER,03101
2022,"BIZANALYTICA LLC",0,0,4,0,54,8602,NH,LONDONDERRY,03053
2022,"BOSTON ANALYTICAL INC",0,0,2,0,54,0485,NH,SALEM,03079
2022,"BOTTOMLINE TECHNOLOGIES DE INC",0,0,1,0,54,,NH,PORTSMOUTH,03801
2022,"BOTTOMLINE TECHNOLOGIES INC",0,0,4,0,52,3294,NH,PORTSMOUTH,03801
2022,"C & S WHOLESALE GROCERS INC",0,0,43,2,42,0950,NH,KEENE,03431
2022,"C & S WHOLESALE GROCERS INC",0,0,1,0,42,4950,NH,KEENE,03431
2022,"C SQUARED SYSTEMS LLC",2,0,5,0,54,6622,NH,AUBURN,03032
2022,"C SQUARED SYSTEMS LLC",0,0,4,0,99,6622,NH,AUBURN,03032
2022,"CAMP SYSTEMS INTERNATIONAL INC",3,0,2,0,54,6525,NH,MERRIMACK,03054
2022,"CATHOLIC MEDICAL CENTER PHYSICIAN PRACTICE ASSOCIATES",2,0,3,0,62,0245,NH,MANCHESTER,03102
2022,"CCSOLTECH LLC",2,0,1,0,54,3694,NH,NASHUA,03062
2022,"CELESTICA LLC",1,0,0,0,33,8543,NH,MERRIMACK,03054
2022,"CELESTICA PRECISION MACHINING LTD",0,0,2,0,51,6433,NH,MERRIMACK,03054
2022,"CIRRUS SYSTEMS INC",1,0,0,0,33,1827,NH,PORTSMOUTH,03801
2022,"CITY OF KEENE NEW HAMPSHIRE",0,0,1,0,92,0441,NH,KEENE,03431
2022,"CITY OF NASHUA",0,0,1,0,92,0581,NH,NASHUA,03060
2022,"CLASSIC EXTERIOR LLC",1,0,0,0,23,9190,NH,GOFFSTOWN,03045
2022,"CLOUD BRIDGE SOLUTIONS INC",12,0,4,0,54,2372,NH,NASHUA,03062
2022,"COBB HILL CONSTRUCTION INC",1,0,0,0,23,3479,NH,CONCORD,03301
2022,"COMPASS INNOVATIVE BEHAVIOR STRATEGIES LLC DBA PATTERNS BEHAVIORAL SERVICES",1,0,0,0,62,4318,NH,CONCORD,03301
2022,"CONCORD HOSPITAL",1,0,1,0,62,4672,NH,CONCORD,03301
2022,"CONCORD HOSPITAL LACONIA",1,0,1,0,62,3782,NH,CONCORD,03301
2022,"CORE PHYSICIANS LLC",1,0,0,0,62,7914,NH,EXETER,03833
2022,"COUNSELING ASSOCIATES OF NEW LONDON PLLC",1,0,0,0,62,7474,NH,"NEW LONDON",03257
2022,"DARTMOUTH COLLEGE",24,0,21,1,61,2111,NH,HANOVER,03755
2022,"DARTMOUTH HITCHCOCK CLINIC",16,0,11,0,62,9596,NH,LEBANON,03756
2022,"DATASERV INC",5,0,20,0,54,6961,NH,NASHUA,03062
2022,"DECCO INC",0,0,1,0,23,2875,NH,NASHUA,03063
2022,"DECISIONWAVE TECHNOLOGIES INC",0,0,6,0,54,6987,NH,BEDFORD,03110
2022,"DEEBECON INC",9,0,6,2,54,0052,NH,NASHUA,03062
2022,"DEKA RESEARCH & DEVELOPMENT CORP",10,0,5,0,54,1515,NH,MANCHESTER,03101
2022,"DEKA RESEARCH & DEVELOPMENT CORP",3,0,2,0,99,1515,NH,MANCHESTER,03101
2022,"DR YOUNG PARK PC",1,0,0,0,62,4701,NH,PORTSMOUTH,03801
2022,"DRUT TECHNOLOGIES INC",1,0,1,0,54,1145,NH,NASHUA,03062
2022,"ELLIOT PROFESSIONAL SERVICES",0,0,2,0,62,3630,NH,MANCHESTER,03103
2022,"EMR IT SOLUTIONS LLC",1,0,0,0,99,5144,NH,NASHUA,03063
2022,"EPISERVER INC",0,0,1,1,54,7493,NH,NASHUA,03063
2022,"EPISERVER INC",0,0,4,1,51,7493,NH,NASHUA,03063
2022,"EPISERVER INC",0,0,2,0,33,7493,NH,NASHUA,03063
2022,"EPISERVER INC D/B/A OPTIMIZELY",0,0,2,0,51,7493,NH,NASHUA,03063
2022,"EPTAM PLASTICS LTD DBA EPTAM PRECISION SOLUTIONS",1,0,1,0,32,3107,NH,TILTON,03276
2022,"EXETER HOSPITAL INC",0,0,1,0,62,4014,NH,EXETER,03833
2022,"FIVOS INC",1,0,1,0,51,3625,NH,"WEST LEBANON",03784
2022,"FOXX LIFE SCIENCES",4,0,0,0,32,8663,NH,LONDONDERRY,03053
2022,"FRESHAIR SENSOR LLC",1,0,0,0,33,1539,NH,LEBANON,03766
2022,"FUBEUS INC",1,0,0,0,54,0871,NH,NASHUA,03062
2022,"FY INTERNATIONAL LLC",2,0,1,0,45,9612,NH,SALEM,03079
2022,"FY INTERNATIONAL LLC",0,0,1,0,99,9612,NH,SALEM,03079
2022,"GLOBAL SEAFOOD ALLIANCE INC",0,0,1,0,11,3030,NH,PORTSMOUTH,03801
2022,"HAMPSHIRE HILLS RACQUET AND HEALTH CLUB D/B/A HAMPSHIRE HILLS ATHLETIC CLUB",1,0,0,0,71,6025,NH,MILFORD,03055
2022,"HEDGE SOLUTIONS INC",1,0,0,0,52,4026,NH,MANCHESTER,03101
2022,"HIGHDATA SOFTWARE CORPORATION",15,0,10,0,54,5484,NH,SALEM,03079
2022,"HURRICANE HILL DEVELOPMENT COMPANY PLLC",1,0,0,0,54,6789,NH,MASON,03048
