"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"1 800 FLOWERS COM INC",0,0,7,1,45,7311,NY,JERICHO,11753
2022,"10 SOUTH STREET HOTEL OPERATOR LLC",1,0,0,0,72,1655,NY,"NEW YORK",10004
2022,"1010DATA SERVICES LLC",0,0,3,0,54,8507,NY,"NEW YORK",10016
2022,"1199 NATIONAL BENEFIT FUND FOR HEALTH HUMAN SERVICE EMPLOYEES",0,0,1,0,52,8401,NY,"NEW YORK",10018
2022,"1211 WPR MED SVCS PC DBA BRONXDOCS",0,0,1,0,62,9346,NY,BRONX,10472
2022,"1211 WPR MEDICAL SERVICES PC",1,0,1,0,62,9346,NY,BRONX,10472
2022,"13 RATTLES INC",0,0,1,0,42,0721,NY,"NEW YORK",10013
2022,"14 STREET MEDICAL PC",1,0,0,0,62,8803,NY,"NEW YORK",10003
2022,"161 ST PHARMA INC",0,0,1,0,44,0125,NY,BRONX,10451
2022,"188 ONLINE LLC DBA NILI LOTAN",0,0,2,0,54,1458,NY,"NEW YORK",10013
2022,"1970 GROUP INC",0,0,1,0,52,0464,NY,JERICHO,11753
2022,"1STDIBS COM INC",2,0,1,0,45,9618,NY,"NEW YORK",10003
2022,"1STDIBS COM INC",0,0,1,0,45,9618,NY,WANTAGH,11793
2022,"2 SAAB CONSTRUCTION INC",1,0,0,0,23,1256,NY,BROOKLYN,11235
2022,"2 SWEET OF YONKERS INC DBA AUNTIE",0,0,1,0,44,4047,NY,LEVITTOWN,11756
2022,"212 DESIGN INC",0,0,1,0,54,4056,NY,"NEW YORK",10010
2022,"22 STREET SAI LLC",0,0,1,0,72,1802,NY,BROOKLYN,11232
2022,"24X7ESI INCORPORATED",0,0,1,0,54,,NY,"NEW YORK",10014
2022,"33ACROSS INC",0,0,1,0,54,3623,NY,"NEW YORK",10003
2022,"3SIXTY FUNDRAISING LLC",1,0,0,0,56,9974,NY,BROOKLYN,11249
2022,"3XN USA LLC",1,0,0,0,54,7902,NY,BROOKLYN,11205
2022,"400 CAPITAL MANAGEMENT LLC",1,0,0,0,52,9627,NY,"NEW YORK",10022
2022,"5247 BROADWAY DRUGS INC DBA DRUG MART",0,0,1,0,44,5762,NY,BRONX,10463
2022,"55 SANDALWOOD ENTERPRISES DBA MCGUIRES HEARING CENTERS",1,0,0,0,62,1223,NY,CENTEREACH,11720
2022,"605, LLC",1,0,0,0,54,0023,NY,"NEW YORK",10010
2022,"75 BURNSIDE DRUG SURGICAL INC",0,0,1,0,44,9979,NY,BRONX,10453
2022,"7L INTERNATIONAL INC",1,0,0,0,54,0960,NY,"NEW YORK",10017
2022,"7TH ONLINE INC",0,0,2,0,54,9952,NY,"NEW YORK",10018
2022,"97 LABS INC",0,0,1,0,45,5478,NY,"NEW YORK",10028
2022,"A CAP SERVICES LLC",0,0,1,0,52,7163,NY,"NEW YORK",10010
2022,"A E TELEVISION NETWORKS LLC",0,0,9,0,51,1639,NY,"NEW YORK",10017
2022,"A FARKAS LLC",1,0,0,0,54,1628,NY,"NEW YORK",10036
2022,"A FODERA & SON INC DBA FODERA FOOD",1,0,0,0,42,8006,NY,CORONA,11368
2022,"A MILSTEIN LAW GROUP PLLC",0,0,1,0,54,6052,NY,"NEW YORK",10006
2022,"A O FOX MEMORIAL HOSPITAL",0,0,1,0,62,9039,NY,ONEONTA,13820
2022,"A PARTNERSHIP INC",0,0,1,0,54,0638,NY,"NEW YORK",10016
2022,"A PLUS COVERAGE LLC",0,0,1,0,52,5873,NY,FLUSHING,11355
2022,"A PLUS PLUMBING CORP",0,0,1,0,23,7144,NY,"STATEN ISLAND",10304
2022,"A R T ADVISORS LLC",1,0,1,0,52,6796,NY,"NEW YORK",10005
2022,"A T ENGINEERING PC",0,0,1,0,54,8535,NY,FLUSHING,11358
2022,"A W AND S CONSTRUCTION CO INC",0,0,1,0,23,1650,NY,"NEW YORK",10017
2022,"A Z PHARMACEUTICAL INC",1,0,1,0,32,2018,NY,HAUPPAUGE,11788
2022,"A&T IRON WORKS INC",1,0,0,0,33,6176,NY,"NEW ROCHELLE",10801
2022,"A24 STUDIOS LLC",1,0,0,0,51,9833,NY,"NEW YORK",10001
2022,"A4 MEDIA LLC",2,0,5,0,51,8348,NY,"LONG ISLAND CITY",11101
2022,"ABACUS ACCOUNTING GROUP INC",0,0,1,0,54,1060,NY,FLUSHING,11354
2022,"ABC CONSTRUCTION CONTRACTING INC",0,0,1,0,11,8170,NY,ASTORIA,11105
2022,"ABCOMBI BIOSCIENCES INC",0,0,1,0,32,7883,NY,BUFFALO,14260
2022,"ABEL NOSER SOLUTIONS LLC",0,0,1,0,54,1633,NY,"NEW YORK",10004
2022,"ABEL NOSER SOLUTIONS LLC",1,0,1,0,51,1633,NY,"NEW YORK",10004
2022,"ABEL NOSER SOUTIONS LLC",0,0,1,0,54,1633,NY,"NEW YORK",10004
2022,"ABEL NOSER SOUTIONS LLC",0,0,1,0,51,1633,NY,"NEW YORK",10004
2022,"ABG HR LLC",1,0,1,0,54,0510,NY,"NEW YORK",10018
2022,"ABLETO INC",1,0,5,0,62,8224,NY,"NEW YORK",10018
2022,"ABM CONTROLS INC",0,0,1,0,54,6428,NY,"FLORAL PARK",11001
2022,"ABM INDUSTRIES INCORPORATED",0,0,2,0,54,9354,NY,"NEW YORK",10006
2022,"ABN AMRO HOLDINGS USA LLC",1,0,0,0,52,7328,NY,"NEW YORK",10017
2022,"ABOARD EMPLOYEE LLC",1,0,0,0,51,1798,NY,BROOKLYN,11217
2022,"ABOUT INC",0,0,2,0,51,4015,NY,"NEW YORK",10005
2022,"ABSOLUTE CARE PHYSICAL THERAPY GRO",1,0,0,0,62,8695,NY,BROOKLYN,11235
2022,"ACA CARE MANAGEMENT LLC",1,0,0,0,61,0003,NY,"NEW YORK",10032
2022,"ACADEMIC MEDICINE SERVICES INC D/B",1,0,0,0,62,5134,NY,AMHERST,14226
2022,"ACADEMIC MEDICINE SERVICES INC D/B/A UBMD INTERNAL MEDICINE",0,0,1,0,61,5134,NY,AMHERST,14226
2022,"ACADEMIC MEDICINE SERVICES INC D/B/A UBMD INTERNAL MEDICINE",1,0,0,1,62,5134,NY,AMHERST,14226
2022,"ACADEMIC MEDICINE SERVICES INC D/B/A UBMD INTERNAL MEDICINE",1,0,4,0,62,5134,NY,BUFFALO,14226
2022,"ACADEMIC MEDICINE SERVICES INC D/B/A UBMD INTERNAL MEDICINE",3,0,0,0,61,5134,NY,BUFFALO,14226
2022,"ACADEMIC MEDICINE SVCS INC D/B/A UBMD INTERNAL MEDICINE",0,0,1,0,62,5134,NY,BUFFALO,14226
2022,"ACADEMIC MEDICINE SVCS INC D/B/A UBMD INTERNAL MEDICINE",1,0,0,0,62,5134,NY,AMHERST,14226
2022,"ACAI OF AMERICA CORP D/B/A EXPLORE SUPER FOODS",1,0,0,0,31,2052,NY,"NEW YORK",10105
2022,"ACCELERATION EMARKETING INC",0,0,2,0,54,1318,NY,"NEW YORK",10007
2022,"ACCERN CORP",1,0,0,0,54,8457,NY,"NEW YORK",10006
2022,"ACCERN CORPORATION",0,1,1,0,52,8457,NY,"NEW YORK",10006
2022,"ACCERN CORPORATION",1,0,0,0,54,8457,NY,"NEW YORK",10006
2022,"ACCERTIFY INC",0,0,1,0,52,8428,NY,"NEW YORK",10285
2022,"ACCESS CAREERS TRAINING INC",0,0,1,0,92,0079,NY,BROOKLYN,11201
2022,"ACCESS FINTECH INC",0,0,1,0,54,3607,NY,"NEW YORK",10013
2022,"ACCESS PHYSICAL THERAPY LLC",0,0,1,0,62,5300,NY,"CAMPBELL HALL",10916
2022,"ACCESS PHYSICAL THERAPY WELLNESS ROCKLAND PLLC",1,0,0,0,62,2469,NY,"CAMPBELL HALL",10916
2022,"ACCLARIS INC",0,0,5,0,54,4962,NY,"NEW YORK",10281
2022,"ACCLARO INC",1,0,0,0,54,8019,NY,IRVINGTON,10533
2022,"ACCORD SOFTWARE LLC",3,0,2,0,54,0903,NY,ALBANY,12207
2022,"ACCORDION PARTNERS LLC",0,0,6,0,54,9427,NY,"NEW YORK",10017
2022,"ACCOUNTABLE FINANCIAL MANAGEMENT CORPORATION",1,0,0,0,52,4451,NY,"NEW YORK",10044
2022,"ACCOUNTANTS WORLD LLC",0,0,1,0,54,3028,NY,HAUPPAUGE,11788
2022,"ACCRETE INC",0,0,2,0,54,2278,NY,"NEW YORK",10004
