"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ASIA PACIFIC HOTELS INC DBA CROWNE",0,0,1,0,72,6922,MP,SAIPAN,96950
2022,"ASIA PACIFIC HOTELS INC DBA CROWNE PLAZA RESORT SAIPAN",1,0,1,0,72,6922,MP,SAIPAN,96950
2022,"CENTURY INSURANCE COMPANY LTD",0,0,1,0,52,6089,MP,SAIPAN,96950
2022,"CHINESE BIBLE CHURCH INTL INC",1,0,0,0,61,1373,MP,SAIPAN,96950
2022,"COMMONWEALTH HEALTHCARE CORP",1,0,0,0,62,4634,MP,SAIPAN,96950
2022,"COMMONWEALTH HEALTHCARE CORPORATION",0,0,2,0,62,4364,MP,SAIPAN,96950
2022,"CONSOLIDATED TRANSPORTATION SERVIC",1,0,0,0,48,2417,MP,SAIPAN,96950
2022,"FULL CIRCLE SAIPAN LLC",0,0,1,0,42,8296,MP,SAIPAN,96950
2022,"HOFSCHNEIDER ENGINEERING CORP",1,0,0,0,54,9398,MP,SAIPAN,96950
2022,"JOETEN DEVELOPMENT INC DBA JOETEN SUPERSTORE",0,0,1,0,45,8604,MP,SAIPAN,96950
2022,"KEN AQUA HOTEL RESORT INC",1,0,0,0,72,5436,MP,SAIPAN,96950
2022,"L&T GROUP OF COMPANIES LTD",0,0,1,0,53,1183,MP,SAIPAN,96950
2022,"MARIANAS MEAT HARVESTING CORP",1,0,0,0,42,7442,MP,SAIPAN,96950
2022,"MOUNT CARMEL SCHOOL INC",1,0,1,0,61,8566,MP,SAIPAN,96950
2022,"NIIZEKI INTL SAIPAN COMPANY LTD",0,0,1,0,42,9417,MP,SAIPAN,96950
2022,"NORTHERN MARIANAS COLLEGE",0,0,1,0,61,1499,MP,SAIPAN,96950
2022,"NORTHERN MARIANAS TECH INSTITUTE",0,0,1,0,61,7088,MP,SAIPAN,96950
2022,"PARAGON CORP DBA COREPLUS CONSTRUCTION",0,0,1,0,23,2948,MP,SAIPAN,96950
2022,"SAIPAN INTERNATIONAL SCHOOL",1,0,0,0,61,4838,MP,SAIPAN,96950
2022,"SAIPAN STEVEDORE COMPANY INC",1,0,0,0,48,8618,MP,SAIPAN,96950
2022,"TELESOURCE CNMI INC",0,0,1,0,22,9295,MP,SAIPAN,96950
2022,"THE MICRONESIAN TELECOMMUNICATIONS",0,0,0,1,99,8563,MP,SAIPAN,96950
2022,"TRIPLE J SAIPAN INC",0,0,1,0,44,1436,MP,SAIPAN,96950
