"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ABHT LLC DBA ABHT STRUCTURAL ENGINEERS",0,0,1,0,54,1723,OR,PORTLAND,97209
2022,"ACME CONSTRUCTION SUPPLY CO INC",1,0,0,0,99,5825,OR,"LAKE OSWEGO",97035
2022,"ACT ON SOFTWARE INC",1,0,0,0,54,1292,OR,PORTLAND,97204
2022,"ADDICTIONS RECOVERY CENTER",0,0,2,0,62,5605,OR,MEDFORD,97504
2022,"ADIDAS AMERICA INC",3,0,7,0,33,5150,OR,PORTLAND,97217
2022,"ADIDAS AMERICA INC",1,0,2,0,31,5150,OR,PORTLAND,97217
2022,"ADIDAS INTERNATIONAL INC",2,0,3,0,33,9915,OR,PORTLAND,97217
2022,"ADIDAS INTERNATIONAL INC",0,0,2,0,31,9915,OR,PORTLAND,97217
2022,"ADIDAS INTL INC",0,0,2,0,31,9915,OR,PORTLAND,97217
2022,"ADVANTAGE IT INC",14,0,22,1,54,2147,OR,HILLSBORO,97124
2022,"AGILITY ROBOTICS INC",0,0,2,0,54,7432,OR,TANGENT,97389
2022,"AGILITY ROBOTICS INC",1,0,1,0,54,7432,OR,ALBANY,97321
2022,"AGILYX CORP",0,0,1,0,99,8559,OR,PORTLAND,97223
2022,"AGINSKY CAPITAL GROUP LLC",1,0,0,0,52,0844,OR,PORTLAND,97221
2022,"AIRSHIP GROUP INC",2,0,0,0,54,9941,OR,PORTLAND,97209
2022,"AJINOMOTO FOODS NORTH AMERICA INC",0,0,1,0,42,1609,OR,PORTLAND,97203
2022,"AJINOMOTO TOYO FROZEN NOODLES INC",1,0,0,0,42,4926,OR,PORTLAND,97203
2022,"ALLIED SYSTEMS COMPANY",0,0,1,0,33,6721,OR,SHERWOOD,97140
2022,"ALLIED TECHNOLOGIES INTL",0,0,1,0,54,7991,OR,WILSONVILLE,97070
2022,"AMERICAN CHASE LLC",6,0,0,0,54,5635,OR,PORTLAND,97210
2022,"ANDERSEN CONSTRUCTION COMPANY LLC",0,0,1,0,23,3331,OR,PORTLAND,97217
2022,"ANDERSON KRYGIER INC DBA KNOT",0,0,1,0,54,8599,OR,PORTLAND,97204
2022,"ANKROM MOISAN ASSOCIATED ARCHITECTS INC",0,0,1,0,54,4387,OR,PORTLAND,97209
2022,"APEX INDUSTRIES INC",0,0,1,0,54,1474,OR,TIGARD,97223
