"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"3 ATHLETICS LLC D/B/A RCW ATHLETIC",0,0,1,0,99,6530,PA,LANCASTER,17603
2022,"3C DRILLING LLC",0,0,1,0,21,7722,PA,QUAKERTOWN,18951
2022,"535MEDIA LLC",0,0,1,0,54,3897,PA,TARENTUM,15084
2022,"A & B MIX LLC",0,1,0,0,99,5520,PA,ALLENTOWN,18109
2022,"A&B MIX LLC",0,2,0,0,99,5520,PA,ALLENTOWN,18109
2022,"AA F TRUCKING INC",0,1,0,0,99,5390,PA,NORWOOD,19074
2022,"AA PACIFIC ACCOUNTANTS INC",0,0,1,0,54,1528,PA,PHILADELPHIA,19107
2022,"AAVISPRO LLC",0,0,2,0,54,6213,PA,"BETHEL PARK",15102
2022,"ABINGTON MEMORIAL HOSPITAL",5,0,14,0,62,2152,PA,ABINGTON,19001
2022,"ABRIDGE AI INC",0,0,1,0,33,7710,PA,PITTSBURGH,15206
2022,"ABRIDGE AI INC",0,0,1,0,33,7710,PA,PITTSBURGH,15219
2022,"ABSOLUTE GENOMICS PHL LLC",1,0,0,0,62,5927,PA,MAYFIELD,18433
2022,"ABSORPTION SYSTEMS LLC",0,0,1,0,54,8779,PA,EXTON,19341
2022,"ABZDENTAL PLLC",1,0,0,0,62,0907,PA,PHILADELPHIA,19149
2022,"ABZENA BRISTOL LLC",1,0,0,0,32,4979,PA,BRISTOL,19007
2022,"ABZENA BRISTOL, LLC.",1,0,0,0,32,4979,PA,BRISTOL,19007
2022,"ABZENA BRISTOL, LLC.",1,0,0,0,54,4979,PA,BRISTOL,19007
2022,"ACCION LABS US INC",10,0,6,1,54,7982,PA,BRIDGEVILLE,15017
2022,"ACCLAIM SYSTEMS INC",5,0,10,0,54,2176,PA,"FEASTERVILLE TREVOSE",19053
2022,"ACCLAIM SYSTEMS INC",2,0,1,0,54,2176,PA,FEASTERVILLE,19053
2022,"ACCOLADE INC",2,0,10,0,62,9591,PA,"PLYMOUTH MEETING",19462
2022,"ACCUWEATHER INC",0,0,2,0,54,1071,PA,"STATE COLLEGE",16803
2022,"ACCUWEATHER SALES & SERVICE LLC",0,0,1,0,54,8264,PA,"STATE COLLEGE",16803
2022,"ACCUWEATHER SALES AND SERVICE LLC",3,0,4,0,54,8264,PA,"STATE COLLEGE",16803
2022,"ACE AMERICAN INSURANCE CO CHUBB",0,0,27,0,52,1728,PA,PHILADELPHIA,19106
2022,"ACE AMERICAN INSURANCE COMPANY CHUBB",7,1,70,1,52,1728,PA,PHILADELPHIA,19106
2022,"ACE AMERICAN INSURANCE COMPANY CHUBB",0,0,1,0,52,1728,PA,PHILADELPHIA,19103
2022,"ACS INTERNATIONAL RESOURCES INC",0,0,1,0,54,0841,PA,"CHADDS FORD",19317
2022,"ACTION INSTALLATION AND MAINTENANCE INC",1,0,0,0,23,4829,PA,ALLENTOWN,18109
2022,"ACTIVEWORX INC",0,0,1,0,54,8975,PA,NORRISTOWN,19403
2022,"ACTUATED MEDICAL INC",1,0,0,0,54,1286,PA,BELLEFONTE,16823
2022,"ACUTEC PRECISION AEROSPACE INC",1,0,0,0,33,6100,PA,MEADVILLE,16335
2022,"AD HAWK SOLUTIONS INC",0,0,1,0,54,1222,PA,"GUYS MILLS",16327
2022,"ADAPTIMMUNE LLC",0,0,3,0,54,9915,PA,PHILADELPHIA,19112
2022,"ADARE PHARMACEUTICALS INC",0,0,2,0,32,8732,PA,PHILADELPHIA,19111
2022,"ADIL ANALYTICS INC",0,0,1,0,54,6769,PA,JESSUP,18434
2022,"ADSKATE INC",0,0,1,0,54,7868,PA,PITTSBURGH,15213
2022,"ADUSA DISTRIBUTION LLC",0,0,5,0,44,8792,PA,CARLISLE,17013
2022,"ADUSA SUPPLY CHAIN SERVICES LLC",0,0,7,0,44,9692,PA,CARLISLE,17013
2022,"ADVANCE SMILE DENTAL CREATOR LLC",2,0,0,0,62,6625,PA,EMMAUS,18049
2022,"ADVANCED DENTAL SMILES PC",0,0,1,0,81,8666,PA,WARMINSTER,18974
2022,"ADVANCED DENTISTRY OF CENTER CITY PC",1,0,0,0,62,2980,PA,PHILADELPHIA,19102
2022,"ADVANCED DIAGNOSTIC PATHOLOGY ASSOCIATES",1,0,0,0,62,4691,PA,"NATRONA HEIGHTS",15065
2022,"ADVANCED LAB SOLUTIONS LLC",0,0,1,0,62,9378,PA,EASTON,18045
2022,"ADVANITY TECHNOLOGIES LLC",11,0,18,0,54,5591,PA,PITTSBURGH,15235
2022,"ADVANTAGECARE REHABILITATION INC",0,0,1,0,62,3969,PA,PITTSBURGH,15236
2022,"ADVERTISING SPECIALTY INSTITUTE",0,0,1,0,54,8621,PA,"FEASTERVILLE TREVOSE",19053
2022,"ADWA HOME CARE INC",0,0,1,0,62,9281,PA,PHILADELPHIA,19107
2022,"AETEA INFORMATION TECHNOLOGY INC",3,0,0,0,54,2623,PA,"BLUE BELL",19422
2022,"AFFILIATED INDEPENDENT DISTRIBUTOR",0,0,1,0,42,2931,PA,WAYNE,19087
2022,"AFFILIATED INDEPENDENT DISTRIBUTORS INC",0,0,2,0,42,2931,PA,WAYNE,19087
2022,"AGOT CO",4,0,3,0,54,4507,PA,PITTSBURGH,15221
2022,"AGROFRESH INC",0,0,1,0,52,4051,PA,PHILADELPHIA,19106
2022,"AGROFRESH INC",0,0,1,0,42,4051,PA,PHILADELPHIA,19106
