"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ABARCA TECHNOLOGIES LLC",0,0,1,0,54,5282,PR,"SAN JUAN",00918
2022,"ABARCA TECHNOLOGIES LLC",0,0,1,0,54,5282,PR,"SAN JUAN",00928
2022,"AD PRACTITIONERS LLC",0,0,1,0,54,5069,PR,GUAYNABO,00968
2022,"CNT INFOTECH CORPORATION",0,0,1,0,54,1853,PR,FAJARDO,00738
2022,"COLEGIO SANTA GEMA INC",1,0,0,0,61,5907,PR,CAROLINA,00983
2022,"COLUMBIA COLLEGE CORPORATION",0,1,0,0,61,3741,PR,CAGUAS,00726
2022,"COLUMBIA COLLEGE CORPORATION",0,1,0,0,61,3741,PR,"SAN JUAN",00925
2022,"CONGAR INTERNATIONAL CORP",1,0,0,0,31,1000,PR,CAYEY,00737
2022,"CSA GR NY ARCHITECTS & ENGR PC",0,0,1,0,54,6631,PR,"SAN JUAN",00909
2022,"FEDERACION PUERTORRIQUENA DE FUTBO",0,2,0,0,81,6993,PR,"SAN JUAN",00936
2022,"HOSPITAL MENONITA DE CAGUAS",1,0,0,0,62,6102,PR,CAGUAS,00726
2022,"INTEGRATED PATHOLOGY PSC",0,0,1,0,62,5595,PR,"TRUJILLO ALTO",00976
2022,"MADISON ORTHO INC",1,0,0,0,33,6811,PR,"SAN JUAN",00909
2022,"MEDPHARM SERVICES LLC",0,0,1,0,54,8425,PR,"SAN JUAN",00926
2022,"OLEIN RECOVERY CORP",0,0,1,0,32,4645,PR,YABUCOA,00767
2022,"OMNIPAYMENTS LLC",0,0,1,0,54,7970,PR,"SAN JUAN",00901
2022,"PONTIFICIA UNIVERSIDAD CATOLICA PR",0,0,1,0,61,1965,PR,"SAN JUAN",00908
2022,"POPULAR INC",0,0,0,1,55,7416,PR,"SAN JUAN",00936
2022,"PROPPER INTERNATIONAL INC",0,0,1,0,31,8442,PR,"CABO ROJO",00623
2022,"RED CARIBENA DE VARAMIENTOS INC",0,0,1,0,54,4492,PR,BAYAMON,00957
2022,"ROCK SOLID TECHNOLOGIES INC",0,0,1,0,54,8938,PR,"SAN JUAN",00919
2022,"SAN DIEGO PROJECT MANAGEMENT, PSC",1,0,0,0,54,8292,PR,LUQUILLO,00773
2022,"SARTORIUS STEDIM FILTERS, INC.",1,0,0,0,33,5342,PR,YAUCO,00698
2022,"SIMPLE HEALTH LLC",1,0,0,0,54,6346,PR,"SAN JUAN",00917
2022,"SISTEMA UNIVERSITARIO ANA G MENDEZ",0,0,1,0,61,1206,PR,"SAN JUAN",00928
2022,"SU TIENDA INC",1,0,0,0,44,2181,PR,"SAN JUAN",00936
2022,"SWF SERVICES WEB FACTORY LLC",1,0,0,0,54,5493,PR,GUAYNABO,00969
2022,"TEA INC",0,0,1,0,54,4262,PR,"SAN JUAN",00901
2022,"TOLOMEO BANK INTERNATIONAL CORP",1,0,0,0,52,7121,PR,"SAN JUAN",00918
2022,"UNIVERSAL INSURANCE COMPANY",0,0,1,0,52,3825,PR,GUAYNABO,00968
2022,"UNIVERSIDAD DE PUERTO RICO EN AGUADILLA",1,0,0,0,61,0807,PR,AGUADILLA,00604
2022,"UNIVERSIDAD INTERAMERICANA DE PR",2,0,2,1,61,7776,PR,"SAN JUAN",00936
2022,"UNIVERSIDAD POLITECNICA DE PUERTO",1,0,0,0,61,,PR,"SAN JUAN",00918
2022,"UNIVERSIDAD POLITECNICA DE PUERTO RICO INC",1,0,0,0,61,2666,PR,"SAN JUAN",00919
2022,"UNIVERSITY OF PR MED SCIENCES",1,0,0,0,61,3762,PR,"SAN JUAN",00936
2022,"UNIVERSITY OF PUERTO RICO HUMACAO CAMPUS",0,0,1,0,61,3765,PR,HUMACAO,00792
2022,"UNIVERSITY OF PUERTO RICO MAYAGUEZ",1,0,0,1,61,3761,PR,MAYAGUEZ,00681
2022,"UPR RIO PIEDRAS CAMPUS",4,0,0,0,61,3760,PR,"SAN JUAN",00925
