"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"1 POINT SYSTEM LLC",1,0,0,0,54,6496,SC,"FORT MILL",29708
2022,"3D SYSTEMS INC",0,0,1,0,33,7939,SC,"ROCK HILL",29730
2022,"3D SYSTEMS INC",5,0,13,1,33,8939,SC,"ROCK HILL",29730
2022,"AAC EAST LLC",0,0,1,0,32,0148,SC,BENNETTSVILLE,29512
2022,"AARKAY TECHNOLOGIES INC",0,0,1,0,54,2868,SC,"FORT MILL",29715
2022,"ABBEVILLE COUNTY SCHOOL DISTRICT",0,0,2,0,61,1577,SC,ABBEVILLE,29620
2022,"ACCESSONE MEDCARD INC",0,0,1,0,52,0958,SC,"FORT MILL",29715
2022,"ADVANCED IT SOLUTIONS INC",1,0,0,0,54,4561,SC,COLUMBIA,29201
2022,"ADVANCED IT SOLUTIONS INC",11,1,0,0,54,4651,SC,COLUMBIA,29201
2022,"AFL TELECOMMUNICATIONS LLC",0,0,2,0,51,8212,SC,DUNCAN,29334
2022,"AGFIRST FARM CREDIT BANK",0,0,11,0,52,6947,SC,COLUMBIA,29201
2022,"AIKEN PROFESSIONAL ASSOCIATION LLC",2,0,2,0,62,3136,SC,AIKEN,29801
2022,"ALISON W LOCKHART DMD PA",0,0,1,0,62,6526,SC,COLUMBIA,29206
2022,"ALLENDALE COUNTY SCHOOL DISTRICT",3,0,0,0,61,4178,SC,FAIRFAX,29827
2022,"ALLIE CAPITAL LLC",0,0,1,0,53,5190,SC,GREENVILLE,29607
2022,"AMBIOPHARM INC",2,0,8,0,32,0281,SC,"BEECH ISLAND",29842
2022,"AMERICAN CREDIT ACCEPTANCE LLC",9,0,11,1,52,0727,SC,SPARTANBURG,29302
2022,"APPSTREAM TECHNOLOGIES LLC",19,2,3,0,54,9476,SC,"ROCK HILL",29730
2022,"ARNTZ INC",0,0,1,0,99,0556,SC,SUMMERVILLE,29483
2022,"ARTIFICIAL INVENTIONS LLC",19,0,1,0,54,3913,SC,GREENVILLE,29601
2022,"AUGUSTA FIBERGLASS COATINGS INC",0,0,1,0,32,6791,SC,BLACKVILLE,29817
2022,"AURIGA POLYMERS INC",0,0,1,1,32,1295,SC,SPARTANBURG,29307
2022,"AVTRADE LLC",1,0,0,0,42,8302,SC,INMAN,29349
2022,"BAMBERG COUNTY SCHOOL DISTRICT",4,0,1,0,61,0459,SC,DENMARK,29042
2022,"BAMBERG SCHOOL DISTRICT TWO",1,0,0,0,61,0290,SC,DENMARK,29042
2022,"BARNWELL COUNTY CONSOLIDATED SCHOOL DISTRICT",0,0,1,0,61,6187,SC,BLACKVILLE,29817
2022,"BARNWELL COUNTY CONSOLIDATED SCHOOL DISTRICT",0,0,1,0,61,6187,SC,WILLISTON,29853
2022,"BARNWELL COUNTY CONSOLIDATED SD",1,0,0,0,61,6187,SC,BLACKVILLE,29817
2022,"BARNWELL SCHOOL DISTRICT 19",0,0,2,0,61,0126,SC,BLACKVILLE,29817
2022,"BARNWELL SCHOOL DISTRICT 45",0,0,3,0,61,0087,SC,BARNWELL,29812
2022,"BASWARE INC",0,0,1,0,51,3758,SC,"FORT MILL",29707
2022,"BASWARE INC",0,0,1,0,54,3758,SC,"FORT MILL",29707
2022,"BEACONMEDAES LLC",1,0,1,0,33,7998,SC,"ROCK HILL",29730
2022,"BEDGEAR LLC",1,0,0,0,42,2988,SC,"ROCK HILL",29730
2022,"BEEMOK HOSPITALITY HOLDINGS LLC",0,0,1,0,54,3586,SC,CHARLESTON,29401
2022,"BENEFITFOCUS.COM INC",4,0,5,0,54,9948,SC,CHARLESTON,29492
2022,"BERTANDT US INC",1,0,0,0,54,6632,SC,GREENVILLE,29615
2022,"BERTRANDT US INC",2,0,0,0,54,6632,SC,GREENVILLE,29615
2022,"BETHUNE NONWOVENS INC",0,0,1,0,31,0583,SC,BETHUNE,29009
2022,"BLACKBAUD INC",0,0,1,0,54,7163,SC,"DANIEL ISLAND",29492
2022,"BLACKBAUD INC",1,0,9,0,54,7163,SC,CHARLESTON,29492
2022,"BLUE ACORN LLC DBA BLUE ACORN ICI",0,0,2,0,54,6072,SC,CHARLESTON,29403
2022,"BLUE CROSS & BLUE SHIELD OF SC",0,0,1,0,52,7419,SC,COLUMBIA,29229
2022,"BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA",0,0,2,0,52,7419,SC,COLUMBIA,29219
2022,"BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA",0,0,2,0,52,7419,SC,COLUMBIA,29229
2022,"BLUE EYE SOFT CORP",2,1,1,0,54,3495,SC,GREER,29650
2022,"BMW US HOLDING CORP",0,0,1,0,33,3053,SC,GREER,29651
2022,"BOB JONES UNIVERSITY INC",1,0,0,0,61,8101,SC,GREENVILLE,29614
2022,"BOOMTOWN ROI LLC",0,0,2,0,54,7213,SC,"NORTH CHARLESTON",29405
2022,"BPG SYSTEMS LLC",1,0,0,0,54,3236,SC,LEXINGTON,29072
