"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"AUGUSTANA UNIVERSITY",2,0,3,0,61,4588,SD,"SIOUX FALLS",57197
2022,"AVERA MCKENNAN",4,0,11,0,62,4743,SD,"SIOUX FALLS",57105
2022,"AVERA ST MARY S HOSPITAL",1,0,0,0,62,0199,SD,PIERRE,57501
2022,"BLACK HILLS COMMUNITY BANK N A",1,0,0,0,52,1163,SD,"RAPID CITY",57701
2022,"BOWDLE SCHOOL DISTRICT 22 1",2,0,0,0,61,1527,SD,BOWDLE,57428
2022,"BROWN CLINIC PLLP",1,0,0,0,62,1752,SD,WATERTOWN,57201
2022,"BUSINESS RESOURCES LTD",0,0,2,0,54,5557,SD,"SIOUX FALLS",57107
2022,"C LOCK INC",1,0,0,0,54,6973,SD,"RAPID CITY",57703
2022,"CARROLL INSTITUTE",1,0,0,0,62,3475,SD,"SIOUX FALLS",57104
2022,"EAGLE CREEK SOFTWARE SERVICES INC",0,0,1,0,54,0017,SD,VERMILLION,57069
2022,"EVIDENCE BASED ORIENTAL MEDICINE L",1,0,0,0,62,9214,SD,"SIOUX FALLS",57105
2022,"EXPERITY INC",2,0,1,0,62,6532,SD,"SIOUX FALLS",57104
2022,"GAGE BROTHERS CONCRETE PRODUCTS INC",0,0,1,0,32,3879,SD,"SIOUX FALLS",57104
2022,"GENPRO ENERGY SOLUTIONS LLC",0,0,1,0,23,0128,SD,PIEDMONT,57769
2022,"HENJES CONNER & WILLIAMS PC",1,0,0,0,54,2483,SD,"NORTH SIOUX CITY",57049
2022,"HORIZON HLTH CARE INC",0,0,1,0,62,1255,SD,HOWARD,57349
2022,"HURON REGIONAL MEDICAL CENTER",1,0,0,0,62,5312,SD,HURON,57350
2022,"LOWER BRULE DAY SCHOOL",1,0,0,0,61,2351,SD,"LOWER BRULE",57548
2022,"MCLAUGHLIN SCHOOL DISTRICT 15 2",1,0,0,0,61,1278,SD,"MC LAUGHLIN",57642
2022,"MIDCONTINENT COMMUNICATIONS DBA MI",1,0,0,0,51,7148,SD,"SIOUX FALLS",57107
2022,"MIDCONTINENT COMMUNICATIONS DBA MIDCO",4,0,0,0,51,7148,SD,"SIOUX FALLS",57107
2022,"MONUMENT HEALTH RAPID CITY HOSPITA",0,0,1,0,62,9070,SD,"RAPID CITY",57701
2022,"MONUMENT HEALTH RAPID CITY HOSPITAL INC",3,0,1,0,62,9070,SD,"RAPID CITY",57701
2022,"MOUNT MARTY UNIVERSITY",1,0,0,0,61,3336,SD,YANKTON,57078
2022,"MY3TECH INC",1,0,18,0,54,4283,SD,PIERRE,57501
2022,"NORTH CENTRAL HEART INSTITUTE",0,0,1,0,62,0966,SD,"SIOUX FALLS",57108
2022,"PHILIP HEALTH SERVICES",3,0,1,0,62,1016,SD,PHILIP,57567
2022,"PHILIP HEALTH SVCS INC",0,0,1,0,62,1016,SD,PHILIP,57567
