"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"906 STUDIO PLLC",0,0,1,0,54,7456,TN,FRANKLIN,37064
2022,"AADG INC D B A CECO DOOR PRODUCTS",0,0,1,0,33,2404,TN,MILAN,38358
2022,"AADG INC D/B/A CECO DOOR PRODUCTS",0,0,2,0,33,5179,TN,MILAN,38358
2022,"ABB INSTALLATION PRODUCTS INC",1,0,0,0,42,6940,TN,MEMPHIS,38120
2022,"ABG OPERATING LLC D B A AMERICAN BATH GROUP LLC",0,0,1,0,32,4265,TN,SAVANNAH,38372
2022,"ACE IT WORLD INC",1,0,0,0,54,6683,TN,FRANKLIN,37067
2022,"AD FONTES INC",1,0,0,0,54,5055,TN,NASHVILLE,37211
2022,"ADDIGURU LLC",1,0,0,0,51,4434,TN,KNOXVILLE,37919
2022,"ADHEREHEALTH LLC",1,0,1,0,62,5915,TN,FRANKLIN,37067
2022,"ADMINISTRATIVE OFFICE OF THE COURTS TN SUPREME COURT",1,0,2,0,92,1445,TN,NASHVILLE,37219
2022,"ADMINISTRATIVE OFFICE OF THE COURTS TN SUPREME COURT",0,0,1,0,92,1445,TN,NASHVILLE,37243
2022,"ADVANCED DIAGNOSTIC IMAGING P C",0,0,1,0,62,4165,TN,GOODLETTSVILLE,37072
2022,"ADVANCED THERAPY SOLUTIONS LLC",1,0,0,0,62,7982,TN,GOODLETTSVILLE,37072
2022,"ADVENT HEALTH PARTNERS INC",0,0,1,0,52,3121,TN,NASHVILLE,37217
2022,"AIRXCEL INC - SUBURBAN DIVISION",1,0,0,0,33,1795,TN,DAYTON,37321
2022,"AKZO NOBEL COATINGS INC",1,0,5,0,32,7291,TN,NASHVILLE,37214
2022,"ALLIANCEBERNSTEIN L P",14,0,67,1,52,4930,TN,NASHVILLE,37203
2022,"ALLIANCEBERNSTEIN L P",0,0,5,0,52,4930,TN,NASHVILLE,37219
2022,"ALON USA GP LLC",0,0,1,0,32,9832,TN,NASHVILLE,37207
2022,"ALSAC/ST JUDE CHILDREN S RESEARCH",0,0,3,0,56,4585,TN,MEMPHIS,38105
2022,"ALSAC/ST JUDE CHILDRENS RESEARCH HOSPITAL",1,0,23,0,56,4585,TN,MEMPHIS,38105
2022,"AMERICA PLASTICS LLC DBA OMEGA PLA",0,0,0,2,32,5324,TN,KNOXVILLE,37931
2022,"AMERICAN ADDICTION CENTERS",0,0,2,0,62,3320,TN,BRENTWOOD,37027
2022,"AMERICAN APPLIANCE PRODUCTS LLC",0,0,1,0,44,3135,TN,NEWPORT,37821
2022,"AMERICAN HOME SHIELD CORPORATION",2,0,19,0,52,6654,TN,MEMPHIS,38103
2022,"AMERICAN RESIDENTIAL SERVICES LLC",1,0,0,0,23,4801,TN,MEMPHIS,38120
2022,"AMERICAS COLLECTIBLES NETWORK IN",1,0,1,0,51,3085,TN,KNOXVILLE,37922
2022,"AMERICAS COLLECTIBLES NETWORK INC",2,0,9,0,51,3085,TN,KNOXVILLE,37922
2022,"AMERICOLD LOGISTICS LLC",0,0,1,0,49,1006,TN,BRENTWOOD,37027
2022,"AMERITEAM SERVICES LLC",0,0,1,0,62,9748,TN,KNOXVILLE,37919
2022,"AMG SOUTHERN TN LLC",1,0,0,0,62,3648,TN,MANCHESTER,37355
2022,"AMG SOUTHERN TN LLC",0,0,1,0,62,3648,TN,WINCHESTER,37398
2022,"AMS OSRAM AUTOMOTIVE LIGHTING SYSS",1,0,0,0,33,9012,TN,HENDERSONVILLE,37075
2022,"ANCORE LLC",0,0,1,0,54,5908,TN,FRANKLIN,37064
2022,"ANESTHESIOLOGISTS OF GREATER ORLANDO INC",0,0,1,0,62,2796,TN,NASHVILLE,37215
2022,"ANJ AMERICA INC",1,0,0,0,54,9862,TN,MEMPHIS,38103
2022,"AOC LLC ALPHA CORPORATION OF TENNESSEE",1,0,0,0,32,3820,TN,COLLIERVILLE,38017
2022,"APP OF ALABAMA HM LLC",1,0,1,0,56,7366,TN,BRENTWOOD,37027
2022,"APP OF ILLINOIS HM PLLC",0,0,1,0,62,1710,TN,BRENTWOOD,37027
2022,"APP OF ILLINOIS HM PLLC",2,0,0,0,56,1710,TN,BRENTWOOD,37027
2022,"APP OF ILLINOIS HM PLLC DBA AMERIC",0,0,1,0,62,1710,TN,BRENTWOOD,37027
2022,"APP OF NEW MEXICO HM PLLC",2,0,3,0,56,8428,TN,BRENTWOOD,37027
2022,"APP OF NEW MEXICO HM PLLC",0,0,1,0,62,8428,TN,BRENTWOOD,37027
2022,"APP OF SOUTHERN ARIZONA HM LLC",0,0,1,0,56,7161,TN,BRENTWOOD,37027
2022,"APP OF TENNESSEE HM PLLC",3,0,3,0,56,8242,TN,BRENTWOOD,37027
2022,"APPALACHIAN VACATIONS LLC",0,1,0,0,53,4369,TN,"JOHNSON CITY",37604
2022,"APPLIED GRATITUDE INC D/B/A THNKS",0,0,1,0,54,6636,TN,FRANKLIN,37064
2022,"APPLIED HEALTH ANALYTICS LLC",1,0,0,0,54,5300,TN,NASHVILLE,37219
2022,"ARC THERAPY SERVICES LLC",0,0,1,0,62,4518,TN,NASHVILLE,37203
2022,"ARCH MEDICAL SOLUTIONS MEMPHIS LLC",0,0,1,0,33,3986,TN,MEMPHIS,38133
2022,"ARCH PLASTICS PACKAGING LLC",1,0,0,0,32,4110,TN,CHATTANOOGA,37421
2022,"ARCH WELL HEALTH PROFESSIONAL SVCS OF ALABAMA LLC",1,0,0,0,62,2173,TN,NASHVILLE,37205
2022,"ARKANA INFOTECH INC",8,0,0,0,54,4956,TN,MEMPHIS,38119
2022,"ARROYO CONSULTING LLC",2,0,1,0,54,0592,TN,NASHVILLE,37209
2022,"ARS INTERMEDIATE HOLDINGS LLC",0,0,1,0,23,4188,TN,MEMPHIS,38120
2022,"ASP WEB SOLUTIONS LLC",1,0,0,0,54,4948,TN,BARTLETT,38134
2022,"ASP WEB SOLUTIONS LLC",0,0,1,0,54,4948,TN,MEMPHIS,38134
2022,"AST GLOBAL INC",1,0,1,0,54,8305,TN,MEMPHIS,38125
2022,"ASTEC INDUSTRIES INC",0,0,1,0,33,3631,TN,CHATTANOOGA,37410
2022,"ASURION LLC",0,0,24,0,52,7174,TN,NASHVILLE,37211
2022,"ASURION LLC",0,0,1,0,52,2162,TN,NASHVILLE,37211
2022,"ASURION LLC",9,0,102,1,52,7174,TN,NASHVILLE,37203
2022,"ATN HOELZEL LP",0,0,2,0,54,3477,TN,CHATTANOOGA,37421
2022,"AUGUST BIOSERVICES LLC",0,0,2,0,54,9988,TN,NASHVILLE,37210
2022,"AUSTIN PEAY STATE UNIVERSITY",4,0,6,0,61,6576,TN,CLARKSVILLE,37044
2022,"AUTOMATION NTH",2,0,0,0,54,7738,TN,"LA VERGNE",37086
2022,"AUTOZONE INC",0,0,1,0,44,1055,TN,MEMPHIS,38103
