"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,,0,0,1,0,33,1389,TX,AUSTIN,78746
2022,,0,0,0,1,54,2535,TX,IRVING,75063
2022,,1,0,0,0,54,0288,TX,PLANO,75024
2022,"10BITS LLC",10,0,10,0,54,5441,TX,IRVING,75063
2022,"1788 CHICKEN LLC",0,0,1,0,72,8911,TX,AUSTIN,78746
2022,"1898 CAPITAL MANAGEMENT LLC",2,0,0,0,52,4471,TX,"MISSOURI CITY",77459
2022,"1ST RANKING TECHNOLOGIES",0,0,1,0,54,3403,TX,LEWISVILLE,75067
2022,"2H OFFSHORE INC",2,0,1,0,54,3800,TX,HOUSTON,77079
2022,"2M RESEARCH SERVICES LLC",1,0,1,0,54,3188,TX,ARLINGTON,76011
2022,"2M SOLUTIONS INC",1,0,0,0,56,6900,TX,"GRAND PRAIRIE",75050
2022,"3BEES TECHNOLOGIES INC",27,0,0,0,54,9920,TX,IRVING,75039
2022,"3C ENVIRONMENTAL SOLUTIONS INC",1,0,0,0,42,7450,TX,CARROLLTON,75006
2022,"3CORE SYSTEMS INC",0,0,5,0,54,1170,TX,AUSTIN,78758
2022,"3D MARINE USA INC",0,0,1,0,54,2764,TX,HOUSTON,77067
2022,"3J INTERNATIONAL LTD CO",2,0,0,0,42,4451,TX,IRVING,75038
2022,"3S BUSINESS CORPORATION",16,1,28,1,54,9464,TX,HOUSTON,77082
2022,"3S ENGINEERING AND DESIGN LLC",1,0,0,0,54,3060,TX,MIDLAND,79705
2022,"4A SOLUTIONS LLC",1,0,0,0,54,6006,TX,AUSTIN,78759
2022,"4CONSULTING INC",3,0,1,0,54,9552,TX,MCKINNEY,75070
2022,"4CONSULTING INC",1,0,1,0,54,9552,TX,RICHARDSON,75080
2022,"4CONSULTING INC",0,0,1,0,54,9552,TX,PLANO,75024
2022,"4M ANALYTICS INC",0,0,1,0,54,2784,TX,AUSTIN,78750
2022,"4M CAPITAL LTD D/B/A ARTERIORS HOM",0,0,1,0,54,7834,TX,"THE COLONY",75056
2022,"4WEB INC",0,0,1,0,99,8520,TX,FRISCO,75034
2022,"547 ENERGY MANAGEMENT LLC",0,0,1,0,55,5317,TX,HOUSTON,77002
2022,"6TH AVE HOMES LLC",0,0,1,0,53,8046,TX,"FORT WORTH",76104
2022,"7 ELEVEN INC",0,0,1,0,44,5130,TX,IRVING,75063
2022,"7 ELEVEN INC",0,0,2,0,45,5131,TX,IRVING,75063
2022,"7 ELEVEN INC",12,0,85,0,44,5131,TX,IRVING,75063
2022,"A & B ENVIRONMENTAL SERVICES INC",8,0,7,0,54,1001,TX,HOUSTON,77029
2022,"A & P PHARMACY INC D B A ROANOKE PHARMACY",0,0,1,0,44,6686,TX,ROANOKE,76262
2022,"A MAX INSURANCE SERVICES INC",0,0,1,0,54,5276,TX,DALLAS,75247
2022,"A PLUS PHYSICAL THERAPY LLC",0,0,1,0,62,2372,TX,MCKINNEY,75071
2022,"A R ALL GODS CHILDREN LLC DBA SHOUT HOUSE",2,0,0,0,72,8288,TX,CONROE,77301
2022,"A&A INFOSYSTEMS INC",0,5,0,0,54,1678,TX,IRVING,75062
2022,"A&A INFOSYSTEMS INC",0,1,2,0,54,1678,TX,IRVING,75039
2022,"A&G LLP",0,0,1,0,54,7374,TX,RICHARDSON,75080
2022,"A&H TECHNOLOGIES, LLC",1,0,0,0,54,0093,TX,FRISCO,75035
2022,"A&P PHARMACY INC DBA ROANOKE PHARMACY",0,0,2,0,44,6686,TX,ROANOKE,76262
2022,"A-MAX INSURANCE SERVICES INC",0,0,1,0,52,5276,TX,DALLAS,75247
2022,"A-MAX INSURANCE SERVICES INC",0,0,1,0,54,5276,TX,DALLAS,75247
2022,"AA SOFTWARE AND NETWORKING INC",2,0,0,0,54,8908,TX,"THE WOODLANDS",77380
2022,"AA SOFTWARE AND NETWORKING INC",1,0,3,0,54,8908,TX,SPRING,77380
2022,"AA SOLUTIONS INC",0,1,1,0,54,3625,TX,"SUGAR LAND",77479
2022,"AA SOTWARE & NETWORKING INC",0,0,2,0,54,8908,TX,SPRING,77380
2022,"AA SOTWARE & NETWORKING INC",1,0,0,0,54,8908,TX,"THE WOODLANDS",77380
2022,"AARC ENVIRONMENTAL INC",0,0,2,0,54,0323,TX,HOUSTON,77042
2022,"AARNA TECHNOLOGIES LLC",0,0,1,0,54,5072,TX,MCKINNEY,75070
2022,"AAXY LLC",0,0,2,0,52,2652,TX,AUSTIN,78729
2022,"AB TECHNOLOGIES INC",1,0,1,0,54,9220,TX,IRVING,75039
2022,"ABACUS TECHNICAL SERVICES LLC",0,0,3,0,54,9829,TX,PLANO,75024
2022,"ABACUS TECHNICAL SERVICES LLC",0,0,1,0,54,9829,TX,PLANO,75093
2022,"ABC FITNESS SOLUTIONS LLC",0,0,2,0,54,2737,TX,FRISCO,75034
