"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"1 800 CONTACTS INC",0,0,1,0,42,1643,UT,DRAPER,84020
2022,"ACADEMY MORTGAGE CORPORATION",0,0,1,0,52,6375,UT,DRAPER,84020
2022,"ACCUPULSE MEDICAL INC",0,0,1,0,42,1216,UT,OGDEN,84401
2022,"ALLY BANK",0,0,3,0,52,1796,UT,MIDVALE,84047
2022,"ALPINE DESIGN AND FLOORING LLC",0,0,1,0,23,1641,UT,ALPINE,84004
2022,"ALPINE SCHOOL DISTRICT",7,0,4,0,61,0478,UT,"AMERICAN FORK",84003
2022,"ALSCO INC",1,0,0,0,81,2999,UT,"SALT LAKE CITY",84102
2022,"ALTIUS TECHNOLOGIES INC",1,1,2,0,54,7807,UT,SANDY,84070
2022,"ALTIUS TECHNOLOGIES INC",1,0,1,0,54,7807,UT,"SOUTH JORDAN",84095
2022,"AMERICA FIRST CREDIT UNION",0,0,1,0,52,6202,UT,OGDEN,84405
2022,"AMERICAN CRAFTS L C",1,0,0,0,42,3741,UT,LINDON,84042
2022,"ANCESTRY COM OPERATIONS INC",13,2,57,0,51,2473,UT,LEHI,84043
2022,"ANDES PRODUCTIONS INC",0,0,1,0,51,2375,UT,OREM,84058
2022,"ANESTA LLC",1,0,1,0,32,4798,UT,"SALT LAKE CITY",84116
2022,"ANJ INFOTECH INC",0,1,0,0,54,2263,UT,OREM,84057
2022,"APTIVE ENVIRONMENTAL",1,0,0,0,56,1416,UT,PROVO,84604
2022,"AQUABELLA LLC DBA AQUABELLA TILE",0,0,1,0,42,9869,UT,ALPINE,84004
2022,"AQUAVEO LLC",1,0,0,0,54,8279,UT,PROVO,84604
2022,"ARUP LABORATORIES",108,0,21,2,62,3206,UT,"SALT LAKE CITY",84108
2022,"ARUP LABORATORIES",5,0,1,0,62,3206,UT,"SALT LAKE CTY",84108
2022,"ASIAN MARKET COMPANY INC",1,0,0,0,99,3646,UT,PROVO,84601
2022,"ASSIST INC",1,0,0,0,54,5967,UT,"SALT LAKE CITY",84111
2022,"ASSURANCE HOSPITALITY LLC",1,0,0,0,72,7322,UT,"SALT LAKE CITY",84111
2022,"ATTAIN CONSULTING INC",0,0,1,0,54,3027,UT,RIVERTON,84065
2022,"AVALON HEALTH CARE MANAGEMENT INC",1,0,1,0,62,2037,UT,"SALT LAKE CITY",84116
2022,"AVENUE CONSULTANTS INC",1,0,1,0,54,3543,UT,"SALT LAKE CITY",84123
2022,"AVENUE CONSULTANTS INC",0,0,1,0,54,3543,UT,TAYLORSVILLE,84123
2022,"AVETTA LLC",1,0,1,0,54,8180,UT,OREM,94097
2022,"AXIELL ALM INC",0,0,1,0,51,7657,UT,"WOODS CROSS",84087
2022,"BACKCOUNTRY COM LLC",0,0,2,1,45,9954,UT,"PARK CITY",84098
2022,"BALANCED ROCK POWER LLC",0,0,1,0,53,3688,UT,MOAB,84532
2022,"BANK OF UTAH",2,0,0,0,52,8467,UT,OGDEN,84401
2022,"BEACON DATA INC",1,0,0,0,51,3431,UT,"SALT LAKE CITY",84121
2022,"BEACON DATA INC",0,0,0,1,54,3431,UT,HOLLADAY,84121
2022,"BEATBREAD LIMITED LLC",1,0,0,0,99,7807,UT,"SAINT GEORGE",84770
2022,"BELTECH INC",0,1,0,0,54,2768,UT,SANDY,84070
2022,"BETTERBODY FOODS & NUTRITION LLC",0,0,1,0,99,9542,UT,LINDON,84042
2022,"BHB CONSULTING ENGINEERS INC",1,0,3,0,54,8292,UT,"SALT LAKE CITY",84115
2022,"BIG D CORP",0,0,1,0,23,2628,UT,"SALT LAKE CITY",84101
2022,"BIG D CORPORATION",1,0,3,0,23,2628,UT,"SALT LAKE CITY",84101
2022,"BLACKROCK MICROSYSTEMS LLC DBA BLACKROCK NEUROTECH",5,0,1,0,54,9394,UT,"SALT LAKE CITY",84108
2022,"BLACKSMITH INTERNATIONAL LLC",0,0,0,1,54,3194,UT,"SALT LAKE CITY",84102
2022,"BLENDTEC INC",1,0,0,0,33,1667,UT,OREM,84058
2022,"BLUE SOURCE LLC",1,0,0,0,54,6638,UT,"COTTONWOOD HEIGHTS",84121
2022,"BLUEWIND MEDICAL INC",1,0,0,0,33,0823,UT,"PARK CITY",84098
2022,"BNA LLC DBA BNA CONSULTING",0,0,1,0,54,8972,UT,"SALT LAKE CITY",84120
2022,"BOART LONGYEAR",1,0,3,0,23,3343,UT,"WEST VALLEY CITY",84119
2022,"BOART LONGYEAR",0,0,1,0,23,3343,UT,"SALT LAKE CITY",84119
2022,"BOOM INTERACTIVE INC",1,0,1,0,54,0178,UT,"SALT LAKE CITY",84101
