"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"BALLERINA INC",0,0,1,0,44,5376,VI,"ST THOMAS",00802
2022,"BLISS JEWELERS INC",1,0,0,0,44,1282,VI,"ST THOMAS",00802
2022,"CHARMS INTERNATIONAL INC",0,0,1,0,42,0495,VI,"ST THOMAS",00802
2022,"HOUSE OF RAJAH INC",0,0,1,0,44,9889,VI,"ST THOMAS",00802
2022,"N CARIBBEAN CONFERENCE OF SEVENTH",1,0,0,0,81,4408,VI,CHRISTIANSTED,00821
2022,"NORTH CARIBBEAN CONFERENCE OF SEVE",1,0,1,0,81,4408,VI,CHRISTIANSTED,00821
2022,"NORTH CARIBBEAN CONFERENCE OF SEVENTH DAY ADVENTISTS",1,0,1,0,81,4408,VI,CHRISTIANSTED,00821
2022,"NORTH CARIBBEAN CONFERENCE OF SEVENTH DAY ADVENTISTS",0,0,1,1,81,4408,VI,"ST CROIX",00821
2022,"SKAGWAY JEWELRY CO LLC",0,0,1,0,44,5921,VI,"ST THOMAS",00802
2022,"UNIVERSITY OF THE VIRGIN ISLANDS",0,0,2,0,61,2514,VI,"CHARLOTTE AMALIE",00802
2022,"US VIRGIN ISLANDS DEPARTMENT OF ED",7,0,2,0,92,1678,VI,"ST THOMAS",00802
2022,"VIRGIN ISLANDS TELEPHONE CORP DBA",1,0,0,0,51,1357,VI,"ST THOMAS",00802
