"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,,0,0,1,0,42,0475,WA,TUKWILA,98188
2022,"0965688 BC LTD DBA PROCOGIA",1,0,1,0,51,0209,WA,SEATTLE,98101
2022,"110 HOLDINGS LLC",1,0,1,0,54,9516,WA,BELLEVUE,98005
2022,"3MD INC DBA DENALI ADVANCED",1,0,0,0,54,0116,WA,REDMOND,98052
2022,"3SHARP LLC",0,0,1,0,51,8148,WA,REDMOND,98052
2022,"404 LABS INC",0,0,1,0,54,9656,WA,BOTHELL,98011
2022,"42LAYERS CORP",0,0,1,0,54,0317,WA,SEATTLE,98122
2022,"98POINT6 INC",1,0,4,0,54,0194,WA,SEATTLE,98104
2022,"9LLABS LLC",1,0,2,0,54,3249,WA,BELLEVUE,98004
2022,"9LOGIC TECHNOLOGIES INC",12,1,21,0,54,1040,WA,REDMOND,98052
2022,"A ALPHA BIO INC",0,0,1,0,54,0666,WA,SEATTLE,98195
2022,"A CARING DOCTOR MINNESOTA P A DBA BANFIELD PET HOSPITAL",0,0,2,0,54,8368,WA,VANCOUVER,98683
2022,"A CARING DOCTOR NEW JERSEY P C DBA BANFIELD PET HOSPITAL",0,0,1,0,54,0576,WA,VANCOUVER,98683
2022,"A CARING DOCTOR TEXAS PC",1,0,0,0,54,1410,WA,VANCOUVER,98683
2022,"A CARING DOCTOR TEXAS PC DBA BANFIELD PET HOSPITAL",1,0,1,0,54,1410,WA,VANCOUVER,98683
2022,"A CARING DOCTOR TEXAS, P.C.",2,1,1,0,54,1410,WA,VANCOUVER,98683
2022,"A CARING DR PC DBA BANFIELD PET HO",1,0,0,0,54,8919,WA,VANCOUVER,98683
2022,"A PLACE FOR MOM INC",0,0,3,0,62,9153,WA,SEATTLE,98104
2022,"A9 COM INC",0,0,3,0,45,7176,WA,SEATTLE,98121
2022,"A9.COM INC",0,0,4,0,45,7176,WA,SEATTLE,98121
2022,"ABSCI CORPORATION",1,0,0,0,32,3487,WA,VANCOUVER,98683
2022,"ABSCI CORPORATION",0,0,1,0,54,3487,WA,VANCOUVER,98683
2022,"ABSHER CONSTRUCTION CO",0,0,1,0,23,8333,WA,PUYALLUP,98372
2022,"ACCELALPHA INC",3,0,19,0,54,1177,WA,BELLEVUE,98005
