"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"AAMPE INC",0,0,1,0,54,3419,WV,HUNTINGTON,25719
2022,"AAPG LLC DBA FOOTBALL FACTORY",1,0,0,0,61,3621,WV,"SOUTH CHARLESTON",25303
2022,"ALDERSON BROADDUS UNIVERSITY",0,0,1,0,61,7072,WV,PHILIPPI,26416
2022,"AMERICAN PUBLIC EDUCATION INC",1,0,6,0,61,4376,WV,"CHARLES TOWN",25414
2022,"BETHANY COLLEGE",1,0,0,0,61,6985,WV,BETHANY,26032
2022,"CABELL HUNTINGTON HEALTH DEPARTMENT",1,0,0,0,92,0653,WV,HUNTINGTON,25701
2022,"CAMDEN CLARK PHYSICIAN CORP INC",4,0,1,0,62,8719,WV,PARKERSBURG,26101
2022,"CHARLESTON AREA MEDICAL CENTER INC",3,0,4,0,62,6150,WV,CHARLESTON,25301
2022,"CHARLESTON AREA MEDICAL CTR INC",2,0,3,0,62,6150,WV,CHARLESTON,25301
2022,"CHARLESTON INTERNAL MEDICINE INC",0,0,1,0,62,9702,WV,CHARLESTON,25304
2022,"COALFIELD DEVELOPMENT CORP",0,0,1,0,62,6207,WV,WAYNE,25570
2022,"CONCORD UNIVERSITY",2,0,0,0,61,0761,WV,ATHENS,24712
2022,"CONSTELLIUM ROLLED PRODUCTS RAVENWOOD LLC",0,0,1,0,33,3018,WV,RAVENSWOOD,26164
2022,"DAVIS MEMORIAL HOSPITAL D/H/A DAVIS MEDICAL CENTER",1,0,0,0,62,5433,WV,ELKINS,26241
2022,"DIAMOND ELECTRIC MFG CORPORATION",1,0,0,0,33,4874,WV,ELEANOR,25070
2022,"DLIFLC US ARMY",1,0,0,0,62,5142,WV,HUNTINGTON,25704
2022,"E L ROBINSON ENGINEERING CO",0,0,1,0,54,4633,WV,CHARLESTON,25313
2022,"FITNESS FUN AND FREEDOM INC",1,0,0,0,71,3559,WV,CHARLESTON,25309
2022,"GESTAMP WEST VIRGINIA, LLC",1,0,0,0,33,5498,WV,"S CHARLESTON",25303
2022,"GILMER COUNTY HIGH SCHOOL",0,0,1,0,61,0316,WV,GLENVILLE,26351
2022,"GLENVILLE STATE COLLEGE",0,0,1,0,61,0779,WV,GLENVILLE,26351
2022,"GLENVILLE STATE UNIVERSITY",0,0,2,0,61,0779,WV,GLENVILLE,26351
2022,"JH FLETCHER & CO",1,0,0,0,42,5959,WV,HUNTINGTON,25705
2022,"KANAWHA COUNTY BOARD OF EDUCATION",0,0,1,0,61,0337,WV,CHARLESTON,25311
2022,"KANAWHA VALLEY RADIOLOGISTS INC",0,0,1,0,62,6457,WV,CHARLESTON,25301
2022,"KEYLOGIC SYSTEMS",3,0,4,0,54,4837,WV,MORGANTOWN,26505
2022,"KUREHA PGA LLC",0,0,1,1,32,8031,WV,BELLE,25015
2022,"M&S CONSULTING LLC",0,0,1,0,54,6563,WV,MORGANTOWN,26505
2022,"MAHANTECH CORPORATION",1,0,8,1,54,5567,WV,CHARLESTON,25301
2022,"MARSHALL UNIVERSITY",5,0,5,1,61,0789,WV,HUNTINGTON,25701
2022,"MARSHALL UNIVERSITY",1,0,10,0,61,0789,WV,HUNTINGTON,25755
2022,"MARSHALL UNIVERSITY RESEARCH CORPORATION",1,1,0,0,54,3361,WV,HUNTINGTON,25755
2022,"MARSHALL UNIVERSITY SCHOOL OF MEDI",1,0,0,0,61,0789,WV,HUNTINGTON,25701
2022,"MONONGALIA COUNTY BOARD OF EDUCATION",0,0,1,0,61,0366,WV,MORGANTOWN,26505
2022,"MONONGALIA COUNTY GENERAL HOSPITAL",1,0,0,0,62,1353,WV,MORGANTOWN,26505
2022,"MONONGALIA COUNTY GENERAL HOSPITAL COMPANY",2,0,1,0,62,1353,WV,MORGANTOWN,26505
2022,"MOUNTAIN STATE JUSTICE INC",1,0,0,0,54,8332,WV,CHARLESTON,25301
2022,"MOUNTAIN STATE SOFTWARE SOLUTIONS LLC",0,0,2,0,54,6667,WV,"CHARLES TOWN",25414
2022,"MUSTAFA RAHIM MD INC",0,0,1,0,62,4489,WV,BECKLEY,25801
2022,"OFC OF THE CHIEF MEDICAL EXAMINER",1,0,0,0,92,5326,WV,CHARLESTON,25302
2022,"OHIO VALLEY PHYSICIANS INC DBA OVP",0,0,1,0,62,8412,WV,HUNTINGTON,25701
2022,"OHIO VALLEY PHYSICIANS INC DBA OVP HEALTH",1,0,1,0,62,8412,WV,HUNTINGTON,25701
2022,"PRATT & WHITNEY ENGINE SERVICES INC",0,0,1,0,33,1794,WV,BRIDGEPORT,26330
2022,"PRESTON MEMORIAL HOSPITAL CORP",1,0,0,0,62,7818,WV,KINGWOOD,26537
2022,"PUTNAM COUNTY SCHOOLS",0,0,1,0,61,0387,WV,WINFIELD,25213
2022,"RALEIGH GENERAL HOSPITAL LLC",0,0,1,0,62,1260,WV,BECKLEY,25801
2022,"SANESO INC",4,0,1,0,33,9677,WV,ELKINS,26241
2022,"SANJAY BHARTI MD PLLC",1,0,0,0,62,4974,WV,FAIRMONT,26554
2022,"SHEPHERD UNIVERSITY",1,0,0,0,61,0799,WV,SHEPHERDSTOWN,25443
