"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"1540 VISION DRIVE LLC DBA MOUNDVIEW DAIRY",1,0,0,0,31,7656,WI,PLATTEVILLE,53818
2022,"A A ANDERSON & CO INC DBA ANDERSON",1,0,0,0,54,7863,WI,BROOKFIELD,53045
2022,"A O SMITH CORPORATION",0,0,5,0,33,9790,WI,MILWAUKEE,53224
2022,"ABC SUPPLY CORPORATION INC",0,0,8,0,42,3708,WI,BELOIT,53511
2022,"ABL AUTOMATION INC",0,0,1,0,33,0272,WI,"OAK CREEK",53154
2022,"ABS GLOBAL INC",2,0,2,0,11,3574,WI,"DE FOREST",53532
2022,"ABSOLUTE ELECTRONICS INC",0,0,1,0,33,0367,WI,"MENOMONEE FALLS",53051
2022,"ADAM INFORMATION TECHNOLOGIES LLC",2,0,6,0,54,7124,WI,MADISON,53719
2022,"AFE INC",2,0,0,0,33,1573,WI,STURTEVANT,53177
2022,"AFE INC",0,0,1,0,33,1573,WI,MILWAUKEE,53202
2022,"AFFILIATED ENGINEERS INC",0,0,3,0,54,7168,WI,MADISON,53705
2022,"AFFILIATED ENGINEERS METRO DC INC",1,0,1,0,54,4182,WI,MADISON,53705
2022,"AFFILIATED ENGINEERS SE INC",1,0,0,0,54,3912,WI,MADISON,53705
2022,"AFFILIATED ENGINEERS W INC",0,0,1,0,54,6364,WI,MADISON,53705
2022,"AGRACE HOSPICECARE INC",0,0,1,0,62,9537,WI,MADISON,53711
2022,"AGROPUR INC",0,0,1,0,31,2306,WI,APPLETON,54915
2022,"AIQ GLOBAL INC DBA AIQ SOLUTIONS",1,0,0,0,54,7617,WI,MADISON,53717
2022,"AIR MOTION SYSTEMS INC",0,0,1,0,32,4903,WI,"RIVER FALLS",54022
2022,"AIR WISCONSIN AIRLINES LLC",1,0,1,0,48,7281,WI,APPLETON,54914
2022,"AKSCELLENCE INFO SOLUTIONS LLC",9,0,0,0,54,0139,WI,MADISON,53711
2022,"ALAN BARRY CONSULTANTS LLC",1,0,0,0,54,2068,WI,MILWAUKEE,53224
2022,"ALL STATES AG PARTS LLC",0,0,1,0,33,8789,WI,HUDSON,54016
2022,"ALLIANCE LAUDRY SYSTEMS LLC",0,0,1,0,33,7923,WI,RIPON,54971
2022,"ALLIANCE LAUNDRY SYSTEMS LLC",1,0,1,0,33,7923,WI,RIPON,54971
2022,"ALTA GENETICS USA INC",1,0,0,0,54,9230,WI,WATERTOWN,53094
2022,"AMBA SYSTEMS LLC",5,0,3,0,54,6563,WI,"GREEN BAY",54304
2022,"AMCOR FLEXIBLES NORTH AMERICA INC",0,0,2,0,32,8130,WI,OSHKOSH,54904
