"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"ACCELERATED FOCUS USA INC",1,0,0,0,54,5042,WY,SHERIDAN,82801
2022,"AMERICAN STAFFING LLC",1,0,0,0,54,7416,WY,CHEYENNE,82009
2022,"AVJ SOLUTIONS INC",2,0,0,0,54,1292,WY,SHERIDAN,82801
2022,"BRAIN FOOD CLINIC INC",1,0,0,0,62,3567,WY,JACKSON,83001
2022,"CASPER CARDIOLOGY LLC",0,0,2,0,62,3312,WY,CASPER,82601
2022,"CHEYENNE REGIONAL PHYSICIANS GROUP LLC DBA CHEYENNE REGIONAL MEDICAL GROUP",0,0,4,0,62,1661,WY,CHEYENNE,82001
2022,"COMMERCIUM FINANCIAL INC",1,0,0,0,52,3118,WY,CHEYENNE,82001
2022,"CONCORDANT LLC",1,0,0,0,54,5074,WY,LARAMIE,82070
2022,"ENDERA MOTORS, LLC",1,0,0,0,33,6335,WY,CASPER,82601
2022,"FIXCODE TECH LLC",1,0,0,0,54,4264,WY,CASPER,82609
2022,"FORCE OPTIMIZED LLC DBA FORTIMIZE",0,0,1,0,52,5139,WY,JACKSON,83001
2022,"INNOVER GLOBAL INC",2,0,0,0,54,5365,WY,CHEYENNE,82001
2022,"LA FAMILIA COUNSELING SVCS LLC DBA",0,0,1,0,62,8759,WY,JACKSON,83001
2022,"M3IOX LLC",1,0,1,0,54,8483,WY,CHEYENNE,82001
2022,"MEMORIAL HOSPITAL OF CARBON COUNTY",0,0,1,0,62,0025,WY,RAWLINS,82301
2022,"MEMORIAL HOSPITAL OF LARAMIE COUNTY D/B/A CHEYENNE REGIONAL MEDICAL CENTER",1,0,5,0,62,0194,WY,CHEYENNE,82001
2022,"MEMORIAL HOSPITAL OF LARAMIE COUNTY DBA CHEYENNE REGIONAL MEDICAL CENTER",3,0,5,0,62,0194,WY,CHEYENNE,82001
2022,"MWES LLC",3,0,0,0,54,4602,WY,SHERIDAN,82801
2022,"NATRONA COUNTY SCHOOL DISTRICT 1",3,0,2,0,61,0543,WY,CASPER,82601
2022,"NAVS TECHNOLOGIES LLC",0,0,1,0,54,9049,WY,SHERIDAN,82801
2022,"NIOBRARA COUNTY HOSPITAL DISTRICT",0,0,1,0,62,5536,WY,LUSK,82225
2022,"NORALOGIC INC",0,1,0,0,54,5316,WY,CHEYENNE,82001
2022,"PINGORA CONSTRUCTION MANAGEMENT LLC",1,0,0,0,23,9791,WY,JACKSON,83002
2022,"PUBLISHINGLIFECOM LLC",1,0,0,0,99,4339,WY,SHERIDAN,82801
2022,"PYXELCHAIN TECHNOLOGY CORPORATION RICHARD SILVER",0,0,1,0,54,2396,WY,SHERIDAN,82801
2022,"QUANTUM AI FINANCIAL & INSURANCE AGENCY CORP",1,0,0,0,52,6103,WY,LARAMIE,82070
2022,"RAPID TECHNOLOGIES LLC",1,0,1,1,56,9165,WY,SHERIDAN,82801
2022,"RIKO WORLD LLC",1,0,0,0,42,6902,WY,CHEYENNE,82001
2022,"ST JOSEPH PHYSICIAN SERVICES LLC",1,0,0,0,62,6127,WY,RIVERTON,82501
2022,"SYMPRIO INC",0,0,1,0,54,5380,WY,SHERIDAN,82801
2022,"TACEN INC",0,0,1,0,54,8343,WY,CHEYENNE,82001
2022,"TECH MAHINDRA AMERICAS INC",0,0,0,1,54,2696,WY,SHERIDAN,82801
2022,"TEXAU LLC",0,0,1,0,54,3786,WY,SHERIDAN,82801
2022,"TOPHEO INC",0,0,1,0,51,6069,WY,SHERIDAN,82801
2022,"TRIPLE A BUILDING SERVICES INC",1,0,0,0,23,1571,WY,LARAMIE,82072
2022,"UNIVERSITY OF WYOMING",20,0,2,2,61,0331,WY,LARAMIE,82071
2022,"VOESTALPINE RAILWAY SYS NORTRAK",0,0,1,0,23,7459,WY,CHEYENNE,82007
2022,"WESTERN RESEARCH INST",1,0,0,0,54,9704,WY,LARAMIE,82072
2022,"WYOMING CARDIOPULMONARY SVCS PC",0,1,0,0,62,8214,WY,CASPER,82601
2022,"WYOMING CATHOLIC COLLEGE",0,0,1,0,61,4307,WY,LANDER,82520
2022,"WYOMING CATHOLIC COLLEGE",1,0,0,0,21,4307,WY,LANDER,82520
2022,"WYOMING LEGISLATIVE SVC OFC",1,0,0,0,92,8667,WY,CHEYENNE,82002
