Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP,Cleaned Employer Name,LinkedIn ID
2022,3 GIS LLC,5,0,21,0,54,965,AL,DECATUR,35601,3 GIS,296951
2022,ADVENTA CORPORATION,4,0,9,0,54,1020,AL,HARVEST,35749,ADVENTA CORPORATION,
2022,ALABAMA A&M UNIVERSITY,4,0,5,0,61,1097,AL,NORMAL,35762,ALABAMA A&M UNIVERSITY,
2022,ALFA MUTUAL INSURANCE COMPANY,1,0,9,0,52,2164,AL,MONTGOMERY,36116,ALFA MUTUAL INSURANCE COMPANY,
2022,AMPHENOL TECVOX LLC,10,1,28,0,54,1856,AL,HUNTSVILLE,35805,AMPHENOL TECVOX,
2022,AUBURN UNIVERSITY,37,0,29,2,61,724,AL,AUBURN,36849,AUBURN UNIVERSITY,
2022,BLUE CROSS AND BLUE SHIELD OF ALAB,0,0,26,0,52,3830,AL,BIRMINGHAM,35244,BLUE CROSS AND BLUE SHIELD OF ALAB,
2022,CAPSTONE HEALTH SERVICES FOUNDATION,5,0,8,1,62,661,AL,TUSCALOOSA,35401,CAPSTONE HEALTH SERVICES FOUNDATION,
2022,CARR RIGGS & INGRAM LLC,1,0,6,0,54,6621,AL,ENTERPRISE,36330,CARR RIGGS & INGRAM,
2022,COMPUTER PROGRAMS AND SYSTEMS INC,6,0,17,0,54,2373,AL,MOBILE,36695,COMPUTER PROGRAMS AND SYSTEMS,
2022,DAXKO LLC,3,0,12,0,54,2193,AL,BIRMINGHAM,35209,DAXKO,
2022,FEDEX CORPORATE SERVICES INC,56,0,320,3,49,8017,AL,CLIO,36017,FEDEX CORPORATE SERVICES,
2022,GD COPPER U S A INC,4,0,5,0,33,9687,AL,PINE HILL,36769,GD COPPER U S A,
2022,GIATTINA AYCOCK ARCHITECTURE STUDIO INC,12,0,45,0,54,3327,AL,BESSEMER,35020,GIATTINA AYCOCK ARCHITECTURE STUDIO,
2022,GOODWYN MILLS & CAWOOD INC,22,0,31,1,54,6620,AL,MOBILE,36602,GOODWYN MILLS & CAWOOD,
2022,GPS IT SOLUTIONS LLC,3,0,17,0,54,8821,AL,TUSCALOOSA,35404,GPS IT SOLUTIONS,
2022,GULF STATES ENGINEERING INC,19,0,63,0,54,8451,AL,MOBILE,36609,GULF STATES ENGINEERING,
2022,GURU GROUP LLC,17,0,16,1,54,228,AL,DOTHAN,36305,GURU GROUP,
2022,HANA FACTORY AUTOMATION CORPORATIO,2,0,6,0,54,7711,AL,OPELIKA,36801,HANA FACTORY AUTOMATION CORPORATIO,
2022,HARGROVE & ASSOCIATES INC DBA HARG,3,0,9,0,54,2530,AL,MOBILE,36602,HARGROVE & ASSOCIATES HARG,
2022,HOUSTON CO HEALTHCARE AUTHORITY D/,2,0,6,0,62,4476,AL,DOTHAN,36301,HOUSTON CO HEALTHCARE AUTHORITY D/,
2022,HUNTSVILLE RENAL CLINIC P C,4,0,12,0,62,194,AL,HUNTSVILLE,35801,HUNTSVILLE RENAL CLINIC P C,
2022,HYUNDAI POWER TRANSFORMERS USA INC,0,0,6,0,33,902,AL,MONTGOMERY,36105,HYUNDAI POWER TRANSFORMERS,
2022,IMC DIAGNOSTIC AND MEDICAL CLINIC LLC,0,0,5,0,62,2832,AL,MOBILE,36601,IMC DIAGNOSTIC AND MEDICAL CLINIC,
2022,INFINITY INSURANCE COMPANY DBA KEMPER AUTO,5,0,8,0,52,3862,AL,BIRMINGHAM,35203,INFINITY INSURANCE COMPANY KEMPER AUTO,
2022,INFODRIVE SYSTEMS INC,4,1,35,1,54,1918,AL,TUSCALOOSA,35404,INFODRIVE SYSTEMS,
2022,INTEGRATED BEHAVIORAL HEALTH,6,0,7,0,62,6113,AL,MADISON,35758,INTEGRATED BEHAVIORAL HEALTH,
2022,INTERGRAPH CORPORATION,4,0,19,0,54,3222,AL,MADISON,35758,INTERGRAPH CORPORATION,
2022,IREPERTOIRE INC,7,0,9,1,54,6096,AL,HUNTSVILLE,35806,IREPERTOIRE,
2022,JACKSONVILLE STATE UNIV,42,0,61,1,61,1099,AL,JACKSONVILLE,36265,JACKSONVILLE STATE UNIV,
